dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,84.08944358617093,84.08944358617093,5.657882597828351,0.8754858451906593,0.15019252885881904,0.11609030159231606,35.01943380762637,9.170029639328922,0.1572457636387204,0.09702019564452076,0.09702019564452076,Transport,1
loop_seattle/5T/medium,contrastive_tiny,272.3184895057715,272.3184895057715,10.880152440727318,1.67237052850085,0.33979323457922433,0.23903736853797733,66.89482114003403,16.50207530905648,0.2936058328466396,0.19358027151318277,0.19358027151318277,Transport,1
loop_seattle/5T/long,contrastive_tiny,191.76962961987292,191.76962961987292,8.719252903102845,1.3499739527424668,0.32558852362342544,0.18258436933870167,53.99895810969867,13.848091190480835,0.244837085580727,0.15415817529454534,0.1541581752945453,Transport,1
loop_seattle/D/short,contrastive_tiny,29.09997411885971,29.09997411885971,4.182509368861054,1.2311786724084317,0.07738431214784455,0.07647774990263738,49.24714689633726,5.394439184832813,0.09640584017360225,0.0747470341074036,0.0747470341074036,Transport,1
loop_seattle/H/short,contrastive_tiny,139.78691305756226,139.78691305756226,7.889389067931156,1.5636557886921971,0.2535955709742052,0.16571231372306894,62.54623154768789,11.823151570438496,0.20928180749039754,0.139650210377061,0.13965021037706102,Transport,1
loop_seattle/H/medium,contrastive_tiny,156.9369182408631,156.9369182408631,9.273936802240318,1.8421475938502343,0.2667937597879124,0.1921020362401565,73.68590375400935,12.527446597007033,0.22142121023559655,0.16391579038070564,0.16391579038070564,Transport,1
loop_seattle/H/long,contrastive_tiny,166.00255455533178,166.00255455533178,8.856401367147722,1.7925355284913573,0.28891758050093397,0.1847365703048274,71.70142113965427,12.884197862316915,0.23025786971158407,0.15827575250722545,0.15827575250722545,Transport,1
m_dense/D/short,contrastive_tiny,17252.601575288012,17252.601575288012,79.29698003062495,1.1105356288149597,0.19525251808146152,0.16340705211444792,44.42142515259839,131.3491590201019,0.22738482334951485,0.13727480199286374,0.13727480199286374,Transport,1
m_dense/H/short,contrastive_tiny,222542.4644161357,222542.4644161357,279.26244549467333,2.2309228924962796,1.4483998671761393,0.5833546059572396,89.23691569985117,471.7440666464558,0.8367564231438961,0.495341990566392,0.495341990566392,Transport,1
m_dense/H/medium,contrastive_tiny,288791.644567978,288791.644567978,314.5906278690861,2.477159917621399,1.8808576667809913,0.6224474539474867,99.08639670485597,537.3933797210177,0.9349965882748047,0.547347948189322,0.5473479481893219,Transport,1
m_dense/H/long,contrastive_tiny,279636.29128510866,279636.29128510866,311.1240084495294,2.448510137213527,1.7585390159668444,0.6195664740870229,97.94040548854107,528.8064781043332,0.9154421854106554,0.5386016511177579,0.538601651117758,Transport,1
sz_taxi/15T/short,contrastive_tiny,19.731341216715165,19.731341216715165,3.0876266718874725,0.6228046753644073,1406174296750.345,0.4347501363180497,24.912187014576293,4.441997435469224,0.41534575785253963,0.288706299053806,0.28870629905380596,Transport,1
sz_taxi/15T/medium,contrastive_tiny,18.66424596730902,18.66424596730902,3.0391801700177687,0.5956255149762077,11318919290840.283,0.4327075370275097,23.82502059904831,4.320213648340673,0.40206799083936845,0.2828464433066243,0.2828464433066243,Transport,1
sz_taxi/15T/long,contrastive_tiny,18.2469013452536,18.2469013452536,3.005853969674444,0.569033408507021,8124475629528.951,0.43064623484559694,22.76133634028084,4.271639187156799,0.39537531401887976,0.27821648905369156,0.27821648905369156,Transport,1
sz_taxi/H/short,contrastive_tiny,8.987669283135753,8.987669283135753,2.1350738913188874,0.6583933434969824,1.3948375781073887,0.3270100667359829,26.3357337398793,2.997944176120655,0.2792769999827295,0.19889530827774607,0.19889530827774604,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1712811.2113364511,1712811.2113364511,186.00451165763755,1.1658206223309815,2.732533121353027,0.7534930578974285,46.63282489323925,1308.7441351679292,4.109132910991001,0.5840081647029775,0.5840081647029778,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,3871715.041918878,3871715.041918878,305.96238811120344,1.222478174358019,5.279927377630609,0.8015071726871765,48.89912697432076,1967.6674114084622,5.978317077843663,0.9295982437975808,0.9295982437975806,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3245853.833684183,3245853.833684183,293.6578399716637,1.2040611394534837,2.5961284744414272,0.8267042379758553,48.162445578139355,1801.6253311063826,4.761157917109848,0.7760500063816572,0.7760500063816572,Web/CloudOps,2
