dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny_B4,86.37364875129765,86.37364875129765,5.707818037558681,0.8815579321086582,0.15393625799272104,0.1173181080299633,35.262317284346324,9.293742451310862,0.15936716524341762,0.09787647819341837,0.09787647819341837,Transport,1
loop_seattle/5T/medium,contrastive_tiny_B4,293.8819022307236,293.8819022307236,11.068931757529661,1.7015570953418095,0.34801913942188945,0.2469283572580491,68.06228381367237,17.14298405268825,0.3050089165151178,0.1969390435158504,0.19693904351585037,Transport,1
loop_seattle/5T/long,contrastive_tiny_B4,208.01694693564377,208.01694693564377,9.066731814983077,1.4037453197920011,0.3356012293381144,0.188776721240469,56.14981279168005,14.42279261917205,0.25499792442446306,0.16030167355111366,0.16030167355111366,Transport,1
loop_seattle/D/short,contrastive_tiny_B4,30.364100636287947,30.364100636287947,4.189710612046091,1.2326445806827013,0.07805522814642615,0.07646481709215909,49.305783227308055,5.510363022187191,0.09847755412817215,0.07487572995061562,0.07487572995061562,Transport,1
loop_seattle/H/short,contrastive_tiny_B4,167.2411189135002,167.2411189135002,8.74948572441284,1.7238219356257554,0.27095538967250604,0.18234022640261408,68.95287742503021,12.932173789177913,0.22891262868913043,0.15487479595498727,0.1548747959549873,Transport,1
loop_seattle/H/medium,contrastive_tiny_B4,143.87630787568952,143.87630787568952,8.195947700496705,1.652070715821103,0.22511493259499027,0.1726730856314013,66.08282863284411,11.994845054259331,0.21200753784391244,0.14486245419758592,0.14486245419758592,Transport,1
loop_seattle/H/long,contrastive_tiny_B4,137.50831764877913,137.50831764877913,7.779563423407869,1.5929437273438172,0.24372450817178568,0.16493981540081507,63.7177490937527,11.726394059930747,0.20956636528652936,0.1390312164018514,0.13903121640185137,Transport,1
m_dense/D/short,contrastive_tiny_B4,24691.879810003924,24691.879810003924,93.24501036961874,1.286210940734342,0.22676506167291963,0.18738363588589466,51.448437629373686,157.13650056560354,0.2720265260122636,0.16142090569361445,0.16142090569361442,Transport,1
m_dense/H/short,contrastive_tiny_B4,436197.0593364985,436197.0593364985,383.8890806280325,3.0071112081510893,2.140104579750059,0.7186149307050591,120.2844483260436,660.4521627919,1.1714775626623186,0.6809235700065472,0.6809235700065472,Transport,1
m_dense/H/medium,contrastive_tiny_B4,199944.5120328181,199944.5120328181,230.04211410401595,1.8147273788262757,1.110565020193649,0.47641645081240874,72.58909515305103,447.15155376317114,0.77798721195149,0.4002442158078674,0.40024421580786745,Transport,1
