dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny_R1,77.94342525190017,77.94342525190017,5.276934144164217,0.8214812030468484,0.1418079931738222,0.10874515491339046,32.85924812187394,8.828557370935535,0.15139026810415046,0.09048777068413752,0.09048777068413753,Transport,1
loop_seattle/5T/medium,contrastive_tiny_R1,298.17235665075606,298.17235665075606,11.111349336885269,1.7084730509051624,0.3487811367308962,0.2486127524235574,68.33892203620651,17.267667956349985,0.3072272993967596,0.1976937394241406,0.1976937394241406,Transport,1
loop_seattle/5T/long,contrastive_tiny_R1,209.00616130622302,209.00616130622302,9.100887959677546,1.4095556736335004,0.3358622737547268,0.18951096215930757,56.38222694534002,14.457045386462028,0.25560352035829964,0.16090556117769256,0.16090556117769256,Transport,1
loop_seattle/D/short,contrastive_tiny_R1,21.22202264082584,21.22202264082584,3.2989021708721715,0.988942982491911,0.0611941858272727,0.06050710915475985,39.55771929967644,4.606736658506305,0.0823285429318632,0.05895579216605975,0.05895579216605974,Transport,1
loop_seattle/H/short,contrastive_tiny_R1,96.43292036803543,96.43292036803543,6.253530583567126,1.2572471322873426,0.18142016980581696,0.136707626466545,50.2898852914937,9.820026495281743,0.1738244563889944,0.11069385145984979,0.11069385145984979,Transport,1
loop_seattle/H/medium,contrastive_tiny_R1,116.31047574137241,116.31047574137241,7.339020171210216,1.490764233922595,0.19240884780612727,0.1583752008158552,59.630569356903806,10.784733457131539,0.19061895140841476,0.1297163564553576,0.12971635645535762,Transport,1
loop_seattle/H/long,contrastive_tiny_R1,126.74627840701783,126.74627840701783,7.424596537387695,1.527413476725911,0.23110399130520515,0.15990918013258418,61.096539069036446,11.25816496623752,0.20119848435184456,0.13268748279370715,0.13268748279370715,Transport,1
m_dense/D/short,contrastive_tiny_R1,13562.993995346098,13562.993995346098,62.95839886771308,0.9041801621850836,0.1609192347493279,0.12921161308378312,36.16720648740334,116.46026788285393,0.2016099504354434,0.10899030120712323,0.10899030120712323,Transport,1
m_dense/H/short,contrastive_tiny_R1,114611.63597989363,114611.63597989363,179.21099465214544,1.4628545814953273,0.797681379244132,0.40733554813561856,58.514183259813095,338.54340339149076,0.600491638007448,0.3178756479953191,0.3178756479953191,Transport,1
m_dense/H/medium,contrastive_tiny_R1,115498.98068847523,115498.98068847523,181.02242206512227,1.4501355198031654,0.7756862421529944,0.3984907067192085,58.0054207921266,339.8514097197115,0.5912985172487143,0.31495614464026006,0.31495614464026006,Transport,1
m_dense/H/long,contrastive_tiny_R1,95592.93993231552,95592.93993231552,168.71090116770915,1.3927336974760531,0.6989326852844195,0.3864039256310961,55.70934789904212,309.18107951864636,0.5352381539212765,0.2920635099275331,0.29206350992753305,Transport,1
sz_taxi/15T/short,contrastive_tiny_R1,21.53255042935316,21.53255042935316,3.188098303297929,0.6413046521123927,1294697733379.6775,0.447277822207311,25.652186084495714,4.640317923305812,0.4338895716468562,0.29810082629005347,0.29810082629005347,Transport,1
sz_taxi/15T/medium,contrastive_tiny_R1,21.597468671442908,21.597468671442908,3.275349340969946,0.6403457318115096,11323942271749.7,0.4550406182338934,25.61382927246039,4.64730767987691,0.4325095501649903,0.30482592668226993,0.30482592668226993,Transport,1
