dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,82.62721816670998,82.62721816670998,5.615090052500152,0.8681077818129567,0.1506126306373593,0.11505384013666548,34.724311272518264,9.089951494189062,0.15587260023810448,0.09628639796525071,0.0962863979652507,Transport,1
loop_seattle/5T/medium,contrastive_tiny,265.90219531784396,265.90219531784396,10.737475683946736,1.6500827430378728,0.34019933645498135,0.2345773708424272,66.00330972151491,16.306507759721086,0.2901262842368425,0.1910417587977893,0.19104175879778929,Transport,1
loop_seattle/5T/long,contrastive_tiny,191.84820974051686,191.84820974051686,8.675215068051621,1.3438681206933236,0.32703360057391523,0.18114645868549809,53.754724827732936,13.850928118379535,0.24488724304641427,0.1533795773606555,0.15337957736065552,Transport,1
loop_seattle/D/short,contrastive_tiny,25.307911938870003,25.307911938870003,3.953725115556589,1.1620987667405727,0.07337794666797519,0.07230927500781188,46.4839506696229,5.030696963530004,0.08990528038419822,0.0706583536343118,0.07065835363431182,Transport,1
loop_seattle/H/short,contrastive_tiny,130.05940163865156,130.05940163865156,7.77564189425359,1.5394648369056494,0.24457280427673775,0.16392115385931139,61.57859347622599,11.404358887664468,0.2018687510737106,0.1376367697168156,0.1376367697168156,Transport,1
loop_seattle/H/medium,contrastive_tiny,147.79628607664463,147.79628607664463,8.844319724654481,1.7584038902298613,0.26284907506901434,0.18322184016872367,70.33615560919444,12.157149586833446,0.21487625221048332,0.15632235683298948,0.15632235683298948,Transport,1
loop_seattle/H/long,contrastive_tiny,160.66078276543269,160.66078276543269,8.550204166188697,1.7309592575927217,0.28568466823088046,0.17858913985655053,69.2383703037089,12.675203460514261,0.22652285987589438,0.1528035984811931,0.15280359848119313,Transport,1
m_dense/D/short,contrastive_tiny,15436.758574720316,15436.758574720316,76.14221613212868,1.065085475901731,0.18823467873547495,0.15673782257877955,42.60341903606923,124.24475270497469,0.21508604513867643,0.13181343903385753,0.1318134390338575,Transport,1
m_dense/H/short,contrastive_tiny,214934.6663302382,214934.6663302382,270.4864194401022,2.1594258031991953,1.394966159933655,0.5681506911729116,86.37703212796784,463.61046831390485,0.8223294464647489,0.47977550719110884,0.47977550719110884,Transport,1
m_dense/H/medium,contrastive_tiny,293750.52314542024,293750.52314542024,315.3627321933872,2.4832353318737814,1.949140191201245,0.6193200353926559,99.32941327495125,541.9875673347316,0.9429898943087325,0.5486913121685889,0.5486913121685889,Transport,1
m_dense/H/long,contrastive_tiny,280363.1481708993,280363.1481708993,310.14448985025473,2.4440062451004096,1.8145997536133753,0.6149490583433027,97.76024980401641,529.493293792187,0.9166311648961509,0.5369059596232345,0.5369059596232346,Transport,1
sz_taxi/15T/short,contrastive_tiny,19.654035108479793,19.654035108479793,3.0833944863045843,0.6214208188157914,1474852709853.248,0.4329423274409509,24.85683275263165,4.433287167382662,0.41453131053417247,0.2883105716014979,0.28831057160149787,Transport,1
sz_taxi/15T/medium,contrastive_tiny,18.96094711084834,18.96094711084834,3.0808815082251177,0.6030725825224854,11267838762509.826,0.43636424767691423,24.122903300899402,4.354416965662377,0.40525118042094416,0.28672744888485113,0.28672744888485113,Transport,1
sz_taxi/15T/long,contrastive_tiny,18.368916049095475,18.368916049095475,3.041276011673392,0.5751075388170258,8432298260436.96,0.43369278603211353,23.004301552681028,4.28589734467538,0.3966950236804984,0.2814950901632215,0.28149509016322155,Transport,1
sz_taxi/H/short,contrastive_tiny,8.740832499001662,8.740832499001662,2.102769544852976,0.6480388713326068,1.374193426966364,0.32412968188062913,25.921554853304272,2.956489894960181,0.2754152778829142,0.19588595905794945,0.19588595905794945,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1687197.9777225838,1687197.9777225838,186.31410846649163,1.1585920358530757,2.8170022546365496,0.7513992560304061,46.34368143412304,1298.9218520459897,4.0782933711964215,0.5849802221145178,0.5849802221145177,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,3898340.035523996,3898340.035523996,308.38520290593476,1.241805433800995,5.475217102034775,0.7969397707231078,49.6722173520398,1974.4214432395117,5.998837692052017,0.9369594243404993,0.9369594243404992,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3222662.9828114575,3222662.9828114575,297.4754489608589,1.2370352509442601,2.8058003486286354,0.8239173723718405,49.48141003777041,1795.177702293413,4.74411875894559,0.7861388072824383,0.7861388072824385,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,2121502.6458148602,2121502.6458148602,281.94867316449233,1.4455396790918091,4.848438272922387,0.6293402098825888,57.82158716367236,1456.5378971433802,4.151606006663488,0.803645279244856,0.803645279244856,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1640340.6362709496,1640340.6362709496,147.1924028476385,2.2973810547391254,1.9905265050798406,0.6898748152575296,91.895242189565,1280.7578367009705,5.240491328265849,0.602268819761092,0.6022688197610923,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2284583.481422929,2284583.481422929,162.17888816426512,4.77753399616977,0.7637005864396421,0.7182824649115872,191.10135984679076,1511.4838674041246,6.359583434224306,0.6823692880835853,0.6823692880835854,Web/CloudOps,2
bitbrains_rnd/5T/long,contrastive_tiny,4544986.827532379,4544986.827532379,292.18330645258106,3.793355922968193,5.810204792198077,0.7236176806801872,151.73423691872767,2131.897471158587,8.166818901678688,1.1192884189665662,1.1192884189665662,Web/CloudOps,2
bitbrains_rnd/H/short,contrastive_tiny,2086533.0686889705,2086533.0686889705,251.80572517761672,6.423644392791236,5.022788718977377,0.654550731259535,256.9457757116494,1444.4836685435287,6.321767255443489,1.102025050768575,1.102025050768575,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,16422162.0673779,16422162.0673779,1723.8979402139453,6.529497243264377,0.09514623887557558,0.0921344952128136,261.1798897305751,4052.4266887110866,0.15628589937118467,0.06648385293705611,0.06648385293705611,Web/CloudOps,2
bizitobs_application/10S/medium,contrastive_tiny,21286034.167335775,21286034.167335775,1996.5008425394694,6.817626461256859,0.09080398204667749,0.09343298708232267,272.70505845027435,4613.679027342038,0.1811655965349979,0.07839671203344727,0.07839671203344727,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,20314364.92587213,20314364.92587213,2300.907873579661,7.2987774051703775,0.0965949744645119,0.10049261486405921,291.9510962068151,4507.145984530802,0.17382260504598102,0.08873681969235364,0.08873681969235364,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,33.07647587762487,33.07647587762487,3.729236840773471,0.3872523802564913,0.2296667324937201,0.2505317650715264,15.490095210259648,5.751215165304187,0.1975200079387091,0.12807708792372108,0.12807708792372108,Web/CloudOps,7
bizitobs_l2c/5T/medium,contrastive_tiny,174.13539177414805,174.13539177414805,9.394446018324883,0.9031240347432632,0.6668926191594551,0.9636813189753575,36.12496138973052,13.196036972293918,0.6943056008703191,0.4942860118755021,0.49428601187550214,Web/CloudOps,7
bizitobs_l2c/5T/long,contrastive_tiny,355.54282799142385,355.54282799142385,13.38091468169838,1.250471563018028,0.9835863361702863,1.2772883569270976,50.01886252072113,18.85584333811203,1.0587274138985612,0.7513183548739795,0.7513183548739796,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,238.09873177739865,238.09873177739865,11.61135258727027,1.1184812358208218,1.203721755789601,0.9429446754951567,44.73924943283287,15.43044820403473,0.8317406762583027,0.6258816416417835,0.6258816416417835,Web/CloudOps,7
bizitobs_l2c/H/medium,contrastive_tiny,353.00740247147326,353.00740247147326,13.600763689542545,1.2963684736652599,1.2159996200241683,1.1707869647178486,51.8547389466104,18.788491223924108,1.1376716816879637,0.8235468997755304,0.8235468997755304,Web/CloudOps,7
bizitobs_l2c/H/long,contrastive_tiny,273.85201712334896,273.85201712334896,12.724324325619946,1.3072898279020184,2.219653167590842,0.8965099888579771,52.29159311608075,16.548474767281395,1.0108286006249534,0.7772384544704156,0.7772384544704156,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,63989.38222952896,63989.38222952896,81.77956764956946,3.6080973903352813,0.7812847143714209,0.1350179196827131,144.32389561341125,252.96122673154667,0.18740176923913418,0.06058491992294535,0.060584919922945346,Web/CloudOps,2
bizitobs_service/10S/medium,contrastive_tiny,127930.89635523857,127930.89635523857,101.224648057628,3.746138473147139,0.1733107870895517,0.1535289567335481,149.84553892588556,357.6742880823817,0.26919409784464793,0.07618405549811004,0.07618405549811004,Web/CloudOps,2
bizitobs_service/10S/long,contrastive_tiny,209003.97246909418,209003.97246909418,126.73105541522777,3.7903633789528715,0.1477983179754303,0.15549049479630705,151.61453515811485,457.16952268178835,0.33868579774494667,0.09388641734160659,0.09388641734160659,Web/CloudOps,2
car_parts/M/short,contrastive_tiny,1.310057593766242,1.310057593766242,0.6484357164124567,1.1676782086354065,0.5816236918983922,1.7545708885927178,46.70712834541626,1.1445774739030303,2.7445793711590025,1.5548823311362094,1.5548823311362097,Sales,1
covid_deaths/D/short,contrastive_tiny,9682230.26496382,9682230.26496382,551.9527495506017,64.2590471555523,0.19831961189940758,0.5012141226799456,2570.3618862220915,3111.628233732915,1.1707652658664347,0.20767490812939665,0.2076749081293966,Healthcare,1
electricity/15T/short,contrastive_tiny,1238474.2948616347,1238474.2948616347,169.9251610005481,2.8936168307635497,0.4647645994501902,0.36724239324206503,115.74467323054199,1112.867599879534,2.1936814104634106,0.3349559883828545,0.33495598838285456,Energy,1
electricity/15T/medium,contrastive_tiny,2436905.0430875435,2436905.0430875435,187.8199265807123,2.844321960580267,0.5060689645866054,0.35981365169878243,113.77287842321067,1561.0589492673053,2.689861820349933,0.32363265323677204,0.3236326532367721,Energy,1
electricity/15T/long,contrastive_tiny,4181114.0574811404,4181114.0574811404,221.6803478560935,2.910975906543148,0.49000832228128205,0.35403321121904974,116.43903626172592,2044.7772635378017,3.2258868960017946,0.3497279346762803,0.3497279346762803,Energy,1
electricity/D/short,contrastive_tiny,4870782307.147792,4870782307.147792,7043.255925649934,1.9047251629413333,0.6602304057717655,0.13358297158972948,76.18900651765333,69790.99015738201,1.1468977991567797,0.1157440910611788,0.11574409106117882,Energy,1
electricity/H/short,contrastive_tiny,10285718.535678376,10285718.535678376,541.6659124284902,2.8501979313192893,0.5589483192750804,0.3179417683436653,114.0079172527716,3207.135565528588,1.5139970279632327,0.25570499431961624,0.25570499431961624,Energy,1
electricity/H/medium,contrastive_tiny,64381182.79807706,64381182.79807706,852.1982419356901,3.2976215789734624,0.6620275433512756,0.33640291232727243,131.90486315893847,8023.788556416293,3.131948954024507,0.33264104277993295,0.3326410427799329,Energy,1
