dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,80.31953379044498,80.31953379044498,5.470041662123596,0.8487200501404977,0.1469776508881942,0.11109291269443862,33.94880200561991,8.96211659098703,0.15368051386932405,0.09379913829364533,0.09379913829364533,Transport,1
loop_seattle/5T/medium,contrastive_tiny,274.57774142574897,274.57774142574897,10.72821805315571,1.6445005180116086,0.342030445256656,0.23681058457988557,65.78002072046434,16.57038748568509,0.2948212468559068,0.19087704652083742,0.19087704652083742,Transport,1
loop_seattle/5T/long,contrastive_tiny,202.16480842459268,202.16480842459268,8.915179550641243,1.3790940562559524,0.33238152646531127,0.1860979890565296,55.1637622502381,14.21846716156818,0.25138540852883784,0.15762219850980827,0.15762219850980827,Transport,1
loop_seattle/D/short,contrastive_tiny,28.607642091634393,28.607642091634393,4.177885225116899,1.2326392548103196,0.0782780835282585,0.07593465862872494,49.30557019241278,5.348611230182503,0.09558683335563257,0.0746643944765793,0.07466439447657931,Transport,1
loop_seattle/H/short,contrastive_tiny,117.67372337587737,117.67372337587737,7.121729801814791,1.4194998568537545,0.20558153659694056,0.15465530108106995,56.779994274150184,10.847751996421994,0.19201624300368883,0.12606186062171512,0.12606186062171515,Transport,1
loop_seattle/H/medium,contrastive_tiny,133.90757369666537,133.90757369666537,7.8612992898221785,1.5847544399271047,0.19812947961104435,0.1711762824964259,63.39017759708419,11.571844005890563,0.2045310418688176,0.13894758116091493,0.13894758116091493,Transport,1
loop_seattle/H/long,contrastive_tiny,128.56894044156746,128.56894044156746,7.498201408515815,1.541731364179303,0.22742924126489164,0.16236574789125513,61.6692545671721,11.338824473531966,0.202639977762616,0.13400290040894927,0.13400290040894927,Transport,1
m_dense/D/short,contrastive_tiny,15409.59449439206,15409.59449439206,72.47978873782688,1.0306363207282423,0.18089348866338464,0.14992184862398059,41.22545282912969,124.13538776026786,0.21489671824219447,0.1254732354703441,0.1254732354703441,Transport,1
m_dense/H/short,contrastive_tiny,139032.44071644061,139032.44071644061,204.48519775329365,1.6436437256299434,0.8125971620167207,0.4503425521926707,65.74574902519774,372.87054149723417,0.661379427232479,0.3627057863690118,0.36270578636901174,Transport,1
m_dense/H/medium,contrastive_tiny,124317.51831569536,124317.51831569536,191.47019423132141,1.5423720486743755,0.8531672892623712,0.42501975613922865,61.69488194697501,352.5868947021363,0.6134566521605622,0.33313394827368026,0.33313394827368026,Transport,1
m_dense/H/long,contrastive_tiny,107818.86014318802,107818.86014318802,181.86012725308353,1.4916719942827443,0.7760174541095011,0.4157913261442111,59.66687977130975,328.3578233317854,0.5684359323000365,0.31482676409038957,0.31482676409038957,Transport,1
sz_taxi/15T/short,contrastive_tiny,21.814699200017646,21.814699200017646,3.2389294750111777,0.651237894127558,1482062977574.5366,0.44714382835390276,26.049515765102313,4.6706208580891735,0.4367230256493847,0.3028537582411593,0.30285375824115923,Transport,1
sz_taxi/15T/medium,contrastive_tiny,20.228758065570315,20.228758065570315,3.1810914076410106,0.6216233111626159,11359485941155.236,0.4460745783864325,24.864932446504636,4.4976391657813455,0.41858039673586994,0.29605365267938766,0.2960536526793877,Transport,1
sz_taxi/15T/long,contrastive_tiny,20.317420555490273,20.317420555490273,3.203433415953137,0.605783175526606,7798165911182.8545,0.44748897517610187,24.231327021064235,4.507484947893922,0.4172047775165979,0.29650409064958144,0.29650409064958144,Transport,1
sz_taxi/H/short,contrastive_tiny,8.92498814486226,8.92498814486226,2.1111009637759426,0.6448189777650324,0.9766511461613124,0.3254876114562742,25.792759110601295,2.9874718651164334,0.27830143958923026,0.19666208214287506,0.19666208214287506,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1828839.8988216494,1828839.8988216494,186.31460579245547,1.1617704469295884,2.8137630859760203,0.7545735952345825,46.47081787718352,1352.3460721359934,4.246032209611688,0.5849817835950476,0.5849817835950475,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,4148540.916715744,4148540.916715744,315.0566013376912,1.3200186210734588,5.696085044824342,0.8087393606522552,52.80074484293836,2036.7967293561094,6.188351039716457,0.9572289754579413,0.9572289754579413,Web/CloudOps,2
