================================================================================================
Periodic-synth-mix — GIFT-Eval comparison (CONTROL vs MIX vs v3b-120k reference)
================================================================================================

Dataset                                      CTRL      MIX      v3b       SN   rel_C   rel_M   rel_v    Δ M-C
------------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long              1.537    1.350    1.365    1.137   1.352   1.187   1.201   -0.188
bitbrains_fast_storage/5T/medium            1.479    1.412    1.377    1.220   1.212   1.157   1.129   -0.067
bitbrains_fast_storage/5T/short             1.116    1.305    1.095    1.136   0.982   1.149   0.964    0.189
bitbrains_fast_storage/H/short              1.367    1.513    1.359    1.298   1.053   1.165   1.047    0.146
bitbrains_rnd/5T/long                       4.019    3.944    3.999    3.501   1.148   1.126   1.142   -0.076
bitbrains_rnd/5T/medium                     4.975    4.997    4.833    4.542   1.095   1.100   1.064    0.023
bitbrains_rnd/5T/short                      2.224    2.430    2.178    1.971   1.129   1.233   1.105    0.205
bitbrains_rnd/H/short                       6.352    6.393    6.311    6.037   1.052   1.059   1.045    0.041
bizitobs_application/10S/long               7.273    7.169    7.402    3.206   2.268   2.236   2.309   -0.104
bizitobs_application/10S/medium             7.746    7.696    7.215    2.691   2.878   2.860   2.681   -0.050
bizitobs_application/10S/short              5.256    5.602    4.958    2.242   2.344   2.498   2.211    0.345
bizitobs_l2c/5T/long                        1.251    1.241    1.257    1.454   0.860   0.853   0.864   -0.010
bizitobs_l2c/5T/medium                      0.889    0.907    0.875    1.244   0.715   0.729   0.704    0.017
bizitobs_l2c/5T/short                       0.353    0.357    0.352    0.986   0.358   0.362   0.357    0.004
bizitobs_l2c/H/long                         1.313    1.298    1.292    1.426   0.920   0.910   0.906   -0.015
bizitobs_l2c/H/medium                       1.337    1.318    1.276    1.510   0.885   0.872   0.845   -0.019
bizitobs_l2c/H/short                        1.084    1.068    1.052    1.214   0.893   0.879   0.867   -0.016
bizitobs_service/10S/long                   3.858    3.846    3.890    1.367   2.822   2.813   2.845   -0.012
bizitobs_service/10S/medium                 4.181    4.126    4.039    1.321   3.166   3.124   3.058   -0.056
bizitobs_service/10S/short                  3.156    3.273    3.071    1.225   2.576   2.671   2.507    0.117
car_parts/M/short                           1.174    1.413    1.069    1.202   0.977   1.176   0.890    0.240
covid_deaths/D/short                       57.820   57.567   55.323   46.912   1.233   1.227   1.179   -0.254
electricity/15T/long                        3.166    2.918    3.247    1.163   2.721   2.508   2.790   -0.248
electricity/15T/medium                      3.052    2.806    3.175    1.151   2.652   2.438   2.759   -0.246
electricity/15T/short                       2.912    2.765    2.900    1.717   1.696   1.611   1.689   -0.147
electricity/D/short                         1.848    1.841    1.806    1.987   0.930   0.926   0.909   -0.007
electricity/H/long                          2.072    2.158    2.020    1.524   1.359   1.416   1.326    0.086
electricity/H/medium                        1.873    1.970    1.837    1.393   1.345   1.414   1.319    0.096
electricity/H/short                         2.009    2.077    2.021    1.358   1.479   1.529   1.488    0.068
electricity/W/short                         2.253    2.120    2.124    2.090   1.078   1.014   1.017   -0.133
ett1/15T/long                               1.928    1.883    1.940    1.191   1.619   1.581   1.629   -0.045
ett1/15T/medium                             1.857    1.840    1.828    1.188   1.563   1.549   1.538   -0.017
ett1/15T/short                              1.834    1.758    1.783    0.934   1.963   1.882   1.909   -0.076
ett1/D/short                                1.804    1.764    1.813    1.778   1.014   0.992   1.019   -0.040
ett1/H/long                                 1.541    1.562    1.535    1.479   1.042   1.056   1.038    0.021
ett1/H/medium                               1.619    1.621    1.586    1.568   1.033   1.034   1.012    0.002
ett1/H/short                                1.230    1.119    1.151    0.977   1.259   1.145   1.178   -0.111
ett1/W/short                                1.859    1.501    1.752    1.769   1.051   0.849   0.990   -0.358
ett2/15T/long                               1.134    1.093    1.126    1.013   1.120   1.079   1.112   -0.042
ett2/15T/medium                             1.136    1.135    1.170    1.051   1.080   1.080   1.113   -0.000
ett2/15T/short                              1.172    1.136    1.175    1.067   1.098   1.064   1.101   -0.036
ett2/D/short                                1.788    1.627    1.756    1.390   1.286   1.171   1.263   -0.161
ett2/H/long                                 1.107    1.099    1.091    1.128   0.981   0.974   0.967   -0.008
ett2/H/medium                               1.247    1.242    1.242    1.238   1.007   1.003   1.003   -0.006
ett2/H/short                                0.862    0.885    0.874    0.923   0.934   0.959   0.947    0.023
ett2/W/short                                1.820    1.537    1.643    0.778   2.338   1.974   2.110   -0.283
hierarchical_sales/D/short                  0.891    0.873    0.844    1.135   0.785   0.769   0.744   -0.019
hierarchical_sales/W/short                  0.892    0.974    0.876    1.025   0.870   0.950   0.854    0.082
hospital/M/short                            0.923    0.889    0.929    0.920   1.003   0.966   1.009   -0.034
jena_weather/10T/long                       0.788    0.763    0.761    0.761   1.035   1.001   0.999   -0.026
jena_weather/10T/medium                     0.847    0.791    0.790    0.716   1.183   1.105   1.104   -0.056
jena_weather/10T/short                      0.440    0.445    0.437    0.743   0.592   0.599   0.588    0.006
jena_weather/D/short                        1.548    1.593    1.328    1.573   0.984   1.012   0.844    0.045
jena_weather/H/long                         1.340    1.243    1.250    1.268   1.057   0.980   0.986   -0.097
jena_weather/H/medium                       0.880    0.853    0.839    0.889   0.991   0.960   0.944   -0.027
jena_weather/H/short                        0.677    0.672    0.667    0.723   0.937   0.930   0.923   -0.005
kdd_cup_2018/D/short                        1.321    1.207    1.311    1.497   0.882   0.806   0.876   -0.114
kdd_cup_2018/H/long                         1.174    1.176    1.197    1.335   0.879   0.880   0.896    0.001
kdd_cup_2018/H/medium                       1.328    1.318    1.311    1.429   0.929   0.923   0.918   -0.010
kdd_cup_2018/H/short                        1.147    1.137    1.117    1.340   0.856   0.848   0.834   -0.010
loop_seattle/5T/long                        1.381    1.399    1.413    1.251   1.104   1.119   1.130    0.018
loop_seattle/5T/medium                      1.653    1.682    1.689    1.153   1.433   1.458   1.465    0.028
loop_seattle/5T/short                       0.876    0.840    0.858    0.762   1.149   1.102   1.125   -0.036
loop_seattle/D/short                        1.203    1.230    1.098    1.732   0.695   0.710   0.634    0.027
loop_seattle/H/long                         1.538    1.590    1.573    1.546   0.995   1.028   1.017    0.052
loop_seattle/H/medium                       1.566    1.597    1.548    1.480   1.057   1.079   1.046    0.031
loop_seattle/H/short                        1.528    1.417    1.454    1.293   1.182   1.096   1.125   -0.111
m4_daily/D/short                            4.974    4.699    4.933    3.278   1.517   1.433   1.505   -0.275
m4_hourly/H/short                           5.790    6.037    5.222    1.193   4.852   5.059   4.377    0.247
m4_monthly/M/short                          1.182    1.174    1.175    1.260   0.939   0.932   0.933   -0.008
m4_quarterly/Q/short                        2.437    2.197    2.243    1.602   1.521   1.371   1.400   -0.240
m4_weekly/W/short                           4.475    4.317    4.385    2.777   1.611   1.554   1.579   -0.159
m4_yearly/A/short                           8.322    6.927    7.336    3.966   2.098   1.747   1.850   -1.395
m_dense/D/short                             1.162    1.016    1.003    1.669   0.696   0.609   0.601   -0.147
m_dense/H/long                              1.420    1.561    1.454    1.478   0.961   1.056   0.984    0.141
m_dense/H/medium                            1.510    1.628    1.533    1.570   0.962   1.037   0.977    0.119
m_dense/H/short                             1.709    1.775    1.697    1.488   1.149   1.193   1.141    0.066
restaurant/D/short                          0.831    0.836    0.808    1.006   0.826   0.831   0.803    0.006
saugeen/D/short                             4.473    4.468    4.151    3.413   1.311   1.309   1.216   -0.005
saugeen/M/short                             1.122    1.447    1.139    0.976   1.150   1.482   1.167    0.324
saugeen/W/short                             1.983    2.234    1.850    1.991   0.996   1.122   0.930    0.250
solar/10T/long                              2.247    2.157    2.080    0.871   2.581   2.476   2.389   -0.091
solar/10T/medium                            3.416    3.244    3.147    0.927   3.685   3.500   3.395   -0.171
solar/10T/short                             2.320    2.321    2.248    1.106   2.099   2.099   2.033    0.000
solar/D/short                               1.139    1.050    1.154    1.156   0.985   0.909   0.998   -0.088
solar/H/long                                1.557    1.733    1.421    1.071   1.453   1.618   1.326    0.176
solar/H/medium                              1.449    1.737    1.313    0.935   1.550   1.858   1.404    0.288
solar/H/short                               2.178    2.297    2.075    0.952   2.288   2.413   2.179    0.119
solar/W/short                               1.157    1.653    1.285    1.470   0.787   1.124   0.874    0.496
