dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,86.37786981890194,86.37786981890194,5.755285114538544,0.8891845590959585,0.15107988858673646,0.11805364777947944,35.56738236383835,9.293969540454817,0.1593710593208917,0.09869043377055023,0.09869043377055023,Transport,1
loop_seattle/5T/medium,contrastive_tiny,265.7782845070894,265.7782845070894,10.736356431400697,1.6499347380717688,0.3401779835433011,0.2343688049722447,65.99738952287075,16.302707888786127,0.2900586767238677,0.19102184499484084,0.19102184499484082,Transport,1
loop_seattle/5T/long,contrastive_tiny,191.71383424180829,191.71383424180829,8.665549099237776,1.3426187366756737,0.327314869385066,0.1808320927639607,53.70474946702695,13.846076492703927,0.24480146531182215,0.15320868105436003,0.15320868105436003,Transport,1
loop_seattle/D/short,contrastive_tiny,29.151368257253115,29.151368257253115,4.144729998975347,1.2210527047218038,0.076438867979943,0.07570122128214421,48.84210818887217,5.399200705405673,0.09649093491201753,0.07407186625950177,0.07407186625950177,Transport,1
loop_seattle/H/short,contrastive_tiny,137.07814493063444,137.07814493063444,8.144405596955771,1.6130751249439408,0.2462703151980496,0.17161780861124257,64.52300499775762,11.708037620824184,0.2072441735059972,0.1441642623044372,0.14416426230443719,Transport,1
loop_seattle/H/medium,contrastive_tiny,150.4605179790151,150.4605179790151,8.914720076254124,1.7727301909934228,0.26485228194664856,0.18456778053148473,70.90920763973693,12.26623487379135,0.21680432239382674,0.15756667513293166,0.15756667513293166,Transport,1
loop_seattle/H/long,contrastive_tiny,160.97628189363095,160.97628189363095,8.541199844468693,1.7287509455389323,0.28588850574868696,0.17836291862843184,69.15003782155729,12.687642881703084,0.2267451689908266,0.15264267919389235,0.15264267919389238,Transport,1
m_dense/D/short,contrastive_tiny,17841.005939710434,17841.005939710434,81.38934557950056,1.1349547453447195,0.1982046260746171,0.16674130955513797,45.39818981378878,133.57022849314302,0.23122982314656088,0.140896996259375,0.14089699625937502,Transport,1
m_dense/H/short,contrastive_tiny,238184.72256602976,238184.72256602976,283.1871025898887,2.25361892896603,1.4931724883380957,0.5856931132444728,90.14475715864121,488.0417221570608,0.8656644029042553,0.5023033542914389,0.5023033542914388,Transport,1
m_dense/H/medium,contrastive_tiny,304967.6632786298,304967.6632786298,320.24815946848855,2.516035361032835,2.0032597706875293,0.6233233875374036,100.64141444131336,552.2387737914007,0.9608256984410092,0.5571913384191092,0.5571913384191092,Transport,1
m_dense/H/long,contrastive_tiny,286232.02828667004,286232.02828667004,312.2957658556582,2.4618835725336656,1.8660242857294702,0.6162150072380465,98.47534290134664,535.006568451893,0.9261754583422963,0.540630136405009,0.540630136405009,Transport,1
sz_taxi/15T/short,contrastive_tiny,19.494959759221686,19.494959759221686,3.0604236242581635,0.6164503929827653,1421833278491.2937,0.43276917069437815,24.658015719310605,4.415309701393741,0.41285034057777087,0.2861626977578497,0.28616269775784964,Transport,1
sz_taxi/15T/medium,contrastive_tiny,18.895882139112768,18.895882139112768,3.0789893545595035,0.6028034512704395,10641239812851.148,0.4367050133685109,24.112138050817585,4.346939399061456,0.40455526803689923,0.28655135240337615,0.28655135240337615,Transport,1
sz_taxi/15T/long,contrastive_tiny,18.34319658234634,18.34319658234634,3.0468188938815657,0.5762651796524346,8421172723645.699,0.43468332977001456,23.050607186097388,4.282895817358431,0.3964172076587138,0.28200812946677867,0.28200812946677867,Transport,1
sz_taxi/H/short,contrastive_tiny,8.752899336886651,8.752899336886651,2.0961682106437802,0.6460271726208946,1.3340691375303422,0.3230712792695246,25.841086904835784,2.958529928340535,0.27560531958111123,0.19527100404027026,0.19527100404027023,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1690229.6908694736,1690229.6908694736,185.0456534361287,1.1370059601717524,2.6144436251785117,0.7500547927455872,45.48023840687007,1300.0883396406082,4.081955853752413,0.580997587028472,0.5809975870284719,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,3969448.3941416168,3969448.3941416168,311.488696773291,1.2540582147954742,5.612287241264562,0.7974951055535838,50.16232859181897,1992.3474581863518,6.053301876737407,0.946388695913848,0.9463886959138481,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3258741.8809959483,3258741.8809959483,301.5727554328166,1.2643761033633234,2.957351028205944,0.8271003380752096,50.57504413453293,1805.1985710707695,4.770600923628704,0.796966765133035,0.796966765133035,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,2184593.6414000173,2184593.6414000173,280.47896259222836,1.4085585399282343,4.541625793477438,0.6260915951919804,56.34234159712937,1478.0370906712785,4.212885689920543,0.7994561268363708,0.7994561268363708,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1662177.7241673816,1662177.7241673816,146.3006648191616,2.2737743500669994,1.8642151735405552,0.6873874880603289,90.95097400267996,1289.254716558129,5.2752581076934515,0.5986200851826995,0.5986200851826995,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2274495.2234487417,2274495.2234487417,162.259504703752,4.795314525400009,0.77699217555821,0.722231412408778,191.81258101600045,1508.1429718195625,6.345526582759828,0.6827084829768301,0.68270848297683,Web/CloudOps,2
bitbrains_rnd/5T/long,contrastive_tiny,4576264.53333128,4576264.53333128,295.5291921134303,3.8145639049690088,5.952580615562446,0.7263290133940876,152.58255619876036,2139.220543406238,8.194871941592456,1.1321057531149243,1.1321057531149246,Web/CloudOps,2
bitbrains_rnd/H/short,contrastive_tiny,2056174.0880154085,2056174.0880154085,245.28483450720137,6.376046896738583,4.729192376818426,0.6508170413608368,255.04187586954328,1433.936570429602,6.275607993868865,1.0734864428117785,1.0734864428117785,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,17143436.357005324,17143436.357005324,1764.749551770952,6.622460454993668,0.09599145224378974,0.09359339736799072,264.89841819974674,4140.463302216954,0.15968111966170495,0.0680593363062518,0.06805933630625181,Web/CloudOps,2
bizitobs_application/10S/medium,contrastive_tiny,21267181.64744672,21267181.64744672,1988.4638499434789,6.819324280884223,0.09091571578228387,0.0934672013941871,272.77297123536897,4611.635463417151,0.18108535179423557,0.07808112298848528,0.07808112298848528,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,20305636.920335244,20305636.920335244,2300.539470310211,7.305252192833086,0.09671155372078544,0.10059359983980201,292.21008771332345,4506.177639678139,0.1737852598555988,0.08872261185080091,0.08872261185080091,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,33.943513948372946,33.943513948372946,3.7974916973380632,0.3946842398522717,0.2309120054625728,0.25420713040957904,15.787369594090867,5.826106242454985,0.2000920706642708,0.1304212359729587,0.1304212359729587,Web/CloudOps,7
bizitobs_l2c/5T/medium,contrastive_tiny,174.4594459004493,174.4594459004493,9.409858317043023,0.9046003359566901,0.6677686364326265,0.9639817454127241,36.1840134382676,13.208309729123151,0.6949513283582419,0.49509692543574424,0.49509692543574424,Web/CloudOps,7
bizitobs_l2c/5T/long,contrastive_tiny,355.49208247751494,355.49208247751494,13.378954576327827,1.2501896943996953,0.983749613730459,1.277007032995025,50.0075877759878,18.854497672372897,1.0586518567790828,0.7512082978877856,0.7512082978877858,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,246.81909835901803,246.81909835901803,11.87689786721834,1.1424415053033479,1.2079876078374825,0.9768082547406349,45.69766021213391,15.7104773434488,0.8468349640397417,0.6401952123042,0.6401952123042001,Web/CloudOps,7
bizitobs_l2c/H/medium,contrastive_tiny,345.25793536122114,345.25793536122114,13.468017161063228,1.2842390259954635,1.2157371494636344,1.1565952010456813,51.36956103981854,18.581117710224568,1.1251149004511771,0.8155088958457098,0.8155088958457098,Web/CloudOps,7
bizitobs_l2c/H/long,contrastive_tiny,278.375226331563,278.375226331563,12.835538106204735,1.3209198142378213,2.2595858107669993,0.8977609453104458,52.83679256951285,16.68458049612165,1.0191423313678403,0.7840317131712717,0.7840317131712717,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,66594.40763001263,66594.40763001263,83.53867963281101,3.6543753614294463,0.7682161247279852,0.1375800170732932,146.17501445717784,258.05892278705,0.1911783055573206,0.06188812635583903,0.061888126355839033,Web/CloudOps,2
bizitobs_service/10S/medium,contrastive_tiny,127889.33258279687,127889.33258279687,101.02980591741465,3.7488125898158087,0.1865029679481399,0.15586021221627952,149.95250359263238,357.61618053829284,0.269150364737656,0.07603741271190904,0.07603741271190906,Web/CloudOps,2
bizitobs_service/10S/long,contrastive_tiny,208967.26383843453,208967.26383843453,126.66588869189933,3.7889659892539727,0.14629522223305813,0.15353330532226098,151.5586395701589,457.1293731958542,0.33865605372221985,0.0938381397496371,0.09383813974963712,Web/CloudOps,2
car_parts/M/short,contrastive_tiny,1.5201161011009339,1.5201161011009339,0.7767640584835599,1.3633399960244108,0.5319378482536216,1.7199794814743847,54.53359984097643,1.2329298849086812,2.95643938952139,1.8626005314449683,1.862600531444968,Sales,1
covid_deaths/D/short,contrastive_tiny,11315275.943139557,11315275.943139557,601.5286106957586,67.32109171753326,0.21070291108788303,0.517745497092712,2692.843668701331,3363.8186549128295,1.265653139135107,0.2263280671491477,0.22632806714914766,Healthcare,1
