==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.2298      N/A        N/A
bitbrains_fast_storage/5T/medium                1.2596      N/A        N/A
bitbrains_fast_storage/5T/short                 1.0804      N/A        N/A
bitbrains_fast_storage/H/short                  1.3707      N/A        N/A
bitbrains_rnd/5T/long                           3.7996      N/A        N/A
bitbrains_rnd/5T/medium                         4.7795      N/A        N/A
bitbrains_rnd/5T/short                          2.2028      N/A        N/A
bitbrains_rnd/H/short                           6.2352      N/A        N/A
bizitobs_application/10S/long                   7.3463      N/A        N/A
bizitobs_application/10S/medium                 7.3087      N/A        N/A
bizitobs_application/10S/short                  5.5532      N/A        N/A
bizitobs_l2c/5T/long                            1.2522      N/A        N/A
bizitobs_l2c/5T/medium                          0.9076      N/A        N/A
bizitobs_l2c/5T/short                           0.3552      N/A        N/A
bizitobs_l2c/H/long                             1.3072      N/A        N/A
bizitobs_l2c/H/medium                           1.2601      N/A        N/A
bizitobs_l2c/H/short                            1.0502      N/A        N/A
bizitobs_service/10S/long                       3.8571      N/A        N/A
bizitobs_service/10S/medium                     4.0893      N/A        N/A
bizitobs_service/10S/short                      3.2531      N/A        N/A
car_parts/M/short                               1.1812      N/A        N/A
covid_deaths/D/short                           61.6429      N/A        N/A
electricity/15T/long                            2.6523      N/A        N/A
electricity/15T/medium                          2.4850      N/A        N/A
electricity/15T/short                           2.7354      N/A        N/A
electricity/D/short                             1.8431      N/A        N/A
electricity/H/long                              2.0247      N/A        N/A
electricity/H/medium                            1.8438      N/A        N/A
electricity/H/short                             1.9854      N/A        N/A
electricity/W/short                             2.3410      N/A        N/A
ett1/15T/long                                   1.8324      N/A        N/A
ett1/15T/medium                                 1.6837      N/A        N/A
ett1/15T/short                                  1.7808      N/A        N/A
ett1/D/short                                    1.8365      N/A        N/A
ett1/H/long                                     1.5623      N/A        N/A
ett1/H/medium                                   1.6226      N/A        N/A
ett1/H/short                                    1.2064      N/A        N/A
ett1/W/short                                    2.2183      N/A        N/A
ett2/15T/long                                   1.0896      N/A        N/A
ett2/15T/medium                                 1.1369      N/A        N/A
ett2/15T/short                                  1.1284      N/A        N/A
ett2/D/short                                    1.7169      N/A        N/A
ett2/H/long                                     1.0952      N/A        N/A
ett2/H/medium                                   1.2310      N/A        N/A
ett2/H/short                                    0.9152      N/A        N/A
ett2/W/short                                    2.1579      N/A        N/A
hierarchical_sales/D/short                      0.8620      N/A        N/A
hierarchical_sales/W/short                      0.9299      N/A        N/A
hospital/M/short                                1.1007      N/A        N/A
jena_weather/10T/long                           0.7592      N/A        N/A
jena_weather/10T/medium                         0.7804      N/A        N/A
jena_weather/10T/short                          0.4412      N/A        N/A
jena_weather/D/short                            1.4640      N/A        N/A
jena_weather/H/long                             1.2357      N/A        N/A
jena_weather/H/medium                           0.8312      N/A        N/A
jena_weather/H/short                            0.6287      N/A        N/A
kdd_cup_2018/D/short                            1.2805      N/A        N/A
kdd_cup_2018/H/long                             1.1841      N/A        N/A
kdd_cup_2018/H/medium                           1.2639      N/A        N/A
kdd_cup_2018/H/short                            1.1229      N/A        N/A
loop_seattle/5T/long                            1.3888      N/A        N/A
loop_seattle/5T/medium                          1.6376      N/A        N/A
loop_seattle/5T/short                           0.8890      N/A        N/A
loop_seattle/D/short                            1.2939      N/A        N/A
loop_seattle/H/long                             1.5129      N/A        N/A
loop_seattle/H/medium                           1.4925      N/A        N/A
loop_seattle/H/short                            1.5466      N/A        N/A
m4_daily/D/short                                4.8863      N/A        N/A
m4_hourly/H/short                               4.8828      N/A        N/A
m4_monthly/M/short                              1.2498      N/A        N/A
m4_quarterly/Q/short                            2.9094      N/A        N/A
m4_weekly/W/short                               4.4354      N/A        N/A
m4_yearly/A/short                               8.4711      N/A        N/A
m_dense/D/short                                 1.1133      N/A        N/A
m_dense/H/long                                  1.5157      N/A        N/A
m_dense/H/medium                                1.5888      N/A        N/A
m_dense/H/short                                 1.6864      N/A        N/A
restaurant/D/short                              0.8409      N/A        N/A
saugeen/D/short                                 4.4984      N/A        N/A
saugeen/M/short                                 1.2478      N/A        N/A
saugeen/W/short                                 1.6901      N/A        N/A
solar/10T/long                                  2.0290      N/A        N/A
solar/10T/medium                                3.0511      N/A        N/A
solar/10T/short                                 2.3466      N/A        N/A
solar/D/short                                   1.1697      N/A        N/A
solar/H/long                                    1.4530      N/A        N/A
solar/H/medium                                  1.4755      N/A        N/A
solar/H/short                                   2.0319      N/A        N/A
solar/W/short                                   0.9841      N/A        N/A
sz_taxi/15T/long                                0.6054      N/A        N/A
sz_taxi/15T/medium                              0.6139      N/A        N/A
sz_taxi/15T/short                               0.6577      N/A        N/A
sz_taxi/H/short                                 0.6542      N/A        N/A
temperature_rain/D/short                        1.6892      N/A        N/A
us_births/D/short                               1.4500      N/A        N/A
us_births/M/short                               1.9767      N/A        N/A
us_births/W/short                               2.2196      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
