dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,83.14508346568006,83.14508346568006,5.195319166348553,0.8130856568505322,0.16470605484494438,0.1051398812284959,15.997340921784549,9.11839259221054,0.15636030227975659,0.08908825399599729,0.07933180257240921,Transport,1
loop_seattle/5T/medium,contrastive_tiny,189.03742056778188,189.03742056778188,8.927523307937502,1.4020930253647514,0.32604108719975844,0.1879634469306009,36.809195733331435,13.74908799040074,0.24462453083630656,0.15883898643016464,0.14808727531097865,Transport,1
loop_seattle/5T/long,contrastive_tiny,197.26175686263008,197.26175686263008,9.240063594509232,1.45126670897526,0.33100803994871114,0.1921553422008315,39.49629977948158,14.04499045434457,0.24831830485162013,0.16336621487698802,0.15317687867513805,Transport,1
loop_seattle/D/short,contrastive_tiny,26.167393545227576,26.167393545227576,3.930826765932412,1.1579189386912228,0.07484582992727368,0.07170213218816487,17.962636599220613,5.1154074661973485,0.09141917031813888,0.07024912951323645,0.06068540755317638,Transport,1
loop_seattle/H/short,contrastive_tiny,130.4753853592184,130.4753853592184,7.4618868398947065,1.4786472183022707,0.24447489577426956,0.15343857592573362,27.98387458951234,11.422582254429967,0.20219132319946934,0.13208298615121764,0.11677694567966118,Transport,1
loop_seattle/H/medium,contrastive_tiny,110.32832291026821,110.32832291026821,6.4275702414182625,1.3080104160720016,0.22029854616307742,0.13865528613373315,28.2840016494591,10.503729000229786,0.18565222922389168,0.1136065814137382,0.1022982379632388,Transport,1
loop_seattle/H/long,contrastive_tiny,122.5318570568268,122.5318570568268,6.681231711841261,1.3769695444139354,0.24346097828964863,0.14518502583058682,33.388794408991174,11.069410872165998,0.19782519592017864,0.11940255788196995,0.10946456888763717,Transport,1
m_dense/D/short,contrastive_tiny,20297.339372718907,20297.339372718907,84.50814914208871,1.1928523750979931,0.19282977822366254,0.17289351360500993,14.62649121119195,142.46873121046212,0.2466344476112148,0.14629610655769382,0.12168373848776255,Transport,1
m_dense/H/short,contrastive_tiny,153256.21763174614,153256.21763174614,208.76479940757156,1.6955606067561277,0.7405436226983819,0.5947643931513288,22.952613686988332,391.479523898436,0.6943871249510113,0.3702967332953205,0.3140458232679968,Transport,1
m_dense/H/medium,contrastive_tiny,112747.67588366012,112747.67588366012,163.47520330127742,1.3459536144227588,0.5249219099335523,0.46284874941190196,18.5395506064424,335.7792070448379,0.5842133990625785,0.2844262008467137,0.24103130552497218,Transport,1
m_dense/H/long,contrastive_tiny,106553.27565069661,106553.27565069661,155.78425215267106,1.291260328712837,0.4741297152246649,0.419204480328277,18.492811334077103,326.42499238063346,0.5650899161992224,0.26968556957630274,0.22965762085778843,Transport,1
sz_taxi/15T/short,contrastive_tiny,21.452337465556422,21.452337465556422,3.1167444861891327,0.6247822638700634,891733281228.67,0.4445617161703282,8.082932443520331,4.631666812882423,0.43308065582300254,0.29142893922274504,0.2436931473244392,Transport,1
sz_taxi/15T/medium,contrastive_tiny,21.088644289320374,21.088644289320374,3.142010206356506,0.617990520744513,9397107429428.379,0.43996253984866296,8.222450505254006,4.5922373947042825,0.42738434092381916,0.2924164945758561,0.24397121034040645,Transport,1
sz_taxi/15T/long,contrastive_tiny,19.656361356820103,19.656361356820103,3.049388719746402,0.5815137384877369,7646076474428.165,0.42596073723319144,7.989638030736766,4.433549521187296,0.4103614461230798,0.2822459879711529,0.2362277950088219,Transport,1
sz_taxi/H/short,contrastive_tiny,13.60251191377006,13.60251191377006,2.687886460454783,0.8456428092496956,1.488821988047108,0.3793493335009339,11.675403037675636,3.688158336320454,0.3435747082394696,0.2503932104370839,0.21328452655159905,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,2660335.8943277574,2660335.8943277574,239.81965467839308,1.0592341974564121,3.39027913042711,0.812185568764213,22.346622165108492,1631.0536147925234,5.12110496470329,0.7529744044392875,0.6924179227202054,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,3590988.6413640943,3590988.6413640943,325.7409357834391,1.4209617241083508,5.949773956420042,0.848109725336986,39.11502298205962,1894.9904066680904,5.757504263601401,0.9896909345837911,0.9423581132474561,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,5896433.084261731,5896433.084261731,462.5913360961165,1.3071285553063725,6.688779776007581,0.8563929048514575,34.28393944896658,2428.2572113064407,6.417158910221866,1.2224908055038863,1.1738758468596053,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,5143557.8153928025,5143557.8153928025,465.22290992989065,1.9265614745119957,5.552899599875716,0.6849982662900108,48.471059582138,2267.9413165672527,6.464369249222523,1.3260363709659615,1.19475126203705,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1987974.941883529,1987974.941883529,163.3164024020817,2.1868480206320196,1.4201441191970328,0.7790623804364426,66.28283456751542,1409.9556524527745,5.769131492453497,0.6682435711314797,0.6200672950786117,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2142128.2723682644,2142128.2723682644,184.91071510588222,5.017787594961208,1.8798947210599883,0.8175042638427659,181.72610538064183,1463.6011315820524,6.158116346095624,0.7780136764658728,0.7400831120461437,Web/CloudOps,2
bitbrains_rnd/5T/long,contrastive_tiny,2118557.387356,2118557.387356,190.90068023946682,4.008435261381383,2.2668153794358172,0.7927677234131171,140.4167784064847,1455.5264983352245,5.57579408921493,0.7312974966266671,0.6938368491982639,Web/CloudOps,2
bitbrains_rnd/H/short,contrastive_tiny,1674941.3168433856,1674941.3168433856,179.15243190699124,7.218417834410559,6.197165866284506,0.7350798511471432,252.34369385260663,1294.1952390746094,5.664031558613759,0.7840586933770219,0.7101312229195044,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,18341269.78278269,18341269.78278269,2277.6526309988235,5.768405871263385,0.0825490224955373,0.08542274467086201,152.95836636722728,4282.670870237717,0.1651654971403714,0.08783995793987187,0.08271079739395408,Web/CloudOps,2
bizitobs_application/10S/medium,contrastive_tiny,21957997.42459756,21957997.42459756,2676.395119128227,8.833679215800194,0.12220756166273522,0.12411265573422715,279.4707682420223,4685.936131083901,0.18400292033357762,0.1050941592266678,0.10211073067628666,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,25662943.191239458,25662943.191239458,3060.458819630941,9.447280594892334,0.13049670955316128,0.13290492594187953,297.8555336685565,5065.860557816358,0.19536999289163098,0.11802966366965316,0.11484551843811275,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,95.8525202766604,95.8525202766604,6.780504893724408,0.6640931011895588,0.2953604859288199,0.36790041419375663,18.050207126467498,9.790430035328397,0.33624299608327385,0.2328699834630626,0.21770341711425545,Web/CloudOps,7
bizitobs_l2c/5T/medium,contrastive_tiny,436.07834005028565,436.07834005028565,15.797423099413463,1.471474747735507,0.8349895635454379,1.1306880697884243,54.338717434580374,20.882488837547253,1.0987260031524897,0.8311767661965161,0.8192748402851073,Web/CloudOps,7
bizitobs_l2c/5T/long,contrastive_tiny,477.65359674848145,477.65359674848145,16.659527407379024,1.5802023933144298,1.3190326790734528,1.1933595424634098,58.516803910898105,21.855287615322784,1.2271417258866955,0.9354075578861176,0.9217786374167007,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,151.80157595986432,151.80157595986432,7.75033941952556,0.7671688249681003,0.6736978690723369,0.7690168440596208,17.58252901961547,12.320778220545337,0.664121500145757,0.4177631436747255,0.3782417076268765,Web/CloudOps,7
bizitobs_l2c/H/medium,contrastive_tiny,191.52741323130152,191.52741323130152,9.809269939143476,0.9446286458958358,1.0305964734637698,0.9453573927022955,25.91148814567392,13.839342947961855,0.8379932362539033,0.5939661942405698,0.5544873430089274,Web/CloudOps,7
bizitobs_l2c/H/long,contrastive_tiny,203.21153013811076,203.21153013811076,10.139772766042087,1.008449442350882,1.2430798472481992,0.9123902745881218,26.819230383514086,14.25522816857418,0.8707504796586448,0.6193665857362363,0.5789231730124722,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,64103.71595191773,64103.71595191773,82.23053942190118,2.93122945232684,0.2929669848161601,0.13731809046780485,75.2794987057859,253.18711648090968,0.18756911559189574,0.06091901423891561,0.05650563686748997,Web/CloudOps,2
bizitobs_service/10S/medium,contrastive_tiny,174322.72495623765,174322.72495623765,138.17737649298257,4.977890169888039,1.0880238969964697,0.2096710975385165,157.88784845845538,417.5197300203161,0.3142351877115437,0.10399554971365842,0.10104978000492604,Web/CloudOps,2
bizitobs_service/10S/long,contrastive_tiny,202663.69139703276,202663.69139703276,150.8614960828518,4.671102603435029,0.5874339511203343,0.19908344835335098,148.04347778322776,450.1818425892283,0.33350910094186065,0.11176301921898041,0.10890801627512856,Web/CloudOps,2
car_parts/M/short,contrastive_tiny,2.564397399254045,2.564397399254045,0.7984949594380127,1.2197996578660144,0.9392437658366225,1.8816381076307738,42.770503229634734,1.6013735976511057,3.839929617559692,1.9147090027683726,1.8534930064741468,Sales,1
covid_deaths/D/short,contrastive_tiny,71384196.48919049,71384196.48919049,1528.1513581655877,136.44602048238826,0.5411445771137348,1.015307629924281,4332.236685338613,8448.916882606343,3.1789460942386714,0.5749743853495497,0.5452152098825647,Healthcare,1
electricity/15T/short,contrastive_tiny,326071.9691484727,326071.9691484727,105.47868225896433,2.0622628204460307,0.32118477141714064,0.2866852580587578,40.60841353349992,571.02711769974,1.125607011206022,0.2079192749404457,0.18394729172035074,Energy,1
electricity/15T/medium,contrastive_tiny,486541.2706752118,486541.2706752118,99.97900341470017,1.767751027211724,0.29485312935548696,0.2543481252786205,38.21199660474588,697.525103974912,1.2019060182181867,0.17227389410762595,0.15437486999519243,Energy,1
electricity/15T/long,contrastive_tiny,754283.7157096039,754283.7157096039,118.7260085622608,2.012801257086093,0.32178317901127684,0.2739259123679193,47.02193074783162,868.4950867504109,1.3701575078856005,0.18730483855877125,0.16913296632025737,Energy,1
electricity/D/short,contrastive_tiny,4216907914.2461953,4216907914.2461953,6667.240189730062,2.0831776112131193,0.7022336293041801,0.14349757323006274,35.4432197709583,64937.72335281085,1.0671425040344256,0.10956490347547003,0.09489134580388227,Energy,1
electricity/H/short,contrastive_tiny,4212855.366361648,4212855.366361648,352.12049332848085,1.977877062196704,0.4867633103730197,0.2588329508232628,28.57705312623024,2052.5241451348747,0.9689379797217292,0.1662260199145658,0.13965641650847602,Energy,1
