dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,10279991.171942392,10279991.171942392,1424.8327176729838,5.022789615024846,0.07158675497234845,0.07172435937881945,153.28352139961584,3206.2425316782246,0.1236519587291663,0.05495010270150931,0.05208640492964527,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,30.84770974523535,30.84770974523535,3.5539416025924897,0.36028991924914683,0.21137691228945016,0.2385658238251355,8.573736918277351,5.55407145661949,0.1907492950049654,0.12205673990300953,0.1112680799666333,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,192.76027437904597,192.76027437904597,9.328990834325346,0.9022919295057469,0.9236314612957973,0.7936072330338866,16.341193827056728,13.883813394707017,0.7483730990353354,0.5028564979285812,0.44110987881979846,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,42426.12086845391,42426.12086845391,66.99980155256533,2.7649289170792937,0.37319814611271485,0.13523033280004643,78.6033025383835,205.97602012965953,0.15259362508586335,0.04963559637914972,0.04646225125593837,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,10399345.261873268,10399345.261873268,600.2598027030648,67.91515694057085,0.22128016192738664,0.519322604567109,2139.631694348939,3224.801584884451,1.2133472900020652,0.22585067196716685,0.21546641543819367,Healthcare,1
electricity/H/short,contrastive_tiny,2010010.9456960654,2010010.9456960654,229.89650844530337,1.225770649389243,0.32381385755363157,0.16438659578665196,12.78985781168971,1417.7485481198933,0.6692785647490813,0.10852757029244792,0.09019667957984123,Energy,1
ett1/15T/short,contrastive_tiny,9.638950187760567,9.638950187760567,1.782992483910528,1.115165975989217,0.5769508655980581,0.3620489320411344,11.260898844136644,3.1046658737713737,0.5869110823461998,0.3370597968005777,0.2834379132020086,Energy,7
ett1/H/short,contrastive_tiny,111.50776278016315,111.50776278016315,5.407195707086829,0.9042329490984689,0.49569531631129005,0.28591963737971904,7.833520254817713,10.559723612868053,0.49286550263120116,0.2523759454036312,0.20648162957390234,Energy,7
ett2/15T/short,contrastive_tiny,12.931379889667342,12.931379889667342,2.4007635056174226,1.0592309368124841,0.148361418187551,0.17083864562587298,12.608903878869361,3.5960227877013438,0.1707159944246159,0.11397278422192356,0.09496865374624804,Energy,7
ett2/H/short,contrastive_tiny,121.86948908690937,121.86948908690937,6.745758582367784,0.7711226159696082,0.12595318295144975,0.11442775785494744,7.606403843166473,11.039451484875023,0.14001096103497762,0.08555498824568221,0.0706437135189823,Energy,7
us_births/D/short,contrastive_tiny,1585389.2706028016,1585389.2706028016,1050.5317610677084,1.5473624581184076,0.10580207282916858,0.10086672470522154,7.532006211789919,1259.1224208164992,0.1180325097624205,0.0984788280265466,0.0727905912441465,Healthcare,1
