dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,11297848.951103201,11297848.951103201,1505.4758745829265,6.082120532537509,0.08915870821822519,0.08779284971267787,156.41514710387082,3361.2272983395815,0.12962910168747788,0.05806018692361539,0.05484980906849077,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,36.10997693139932,36.10997693139932,3.9716664971251574,0.40844644188186036,0.2331861484790198,0.25623758635589045,9.12786815282005,6.009157755576011,0.2063788005614551,0.13640310360403182,0.12314729041099645,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,196.96193899001545,196.96193899001545,9.812006263997377,0.9518075355888121,0.9163158503974562,0.7952225971270797,17.037204949824208,14.034312914781951,0.7564854086033067,0.5288922666117982,0.4637180640780184,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,50120.860819002,50120.860819002,73.02617724597769,3.527755437553275,1.0329472786057867,0.1720658515621705,84.38495798088987,223.876887639171,0.1658551604031232,0.054100128282466714,0.05028573266230737,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,8027064.754162515,8027064.754162515,497.13919300029613,61.0644737184192,0.18883262165753142,0.48370254597161677,1832.2651672169395,2833.2075028424083,1.0660081109177855,0.1870510407239013,0.17004953120905944,Healthcare,1
electricity/H/short,contrastive_tiny,2680658.179293597,2680658.179293597,263.77212544748096,1.3929348516173656,0.41577207217112006,0.18600153602804745,14.516199958438417,1637.271565530165,0.7729091064389817,0.12451928078107659,0.1025922845859407,Energy,1
ett1/15T/short,contrastive_tiny,12.414448698336669,12.414448698336669,1.9782703285903802,1.1707691596832885,0.5926273268608622,0.39142288535152253,13.311047740696848,3.5234143523486803,0.6660719752683377,0.37397543791594917,0.31531404730461315,Energy,7
ett1/H/short,contrastive_tiny,114.9823539940738,114.9823539940738,5.528483967017382,0.9252255603899346,0.5013494090015647,0.29143647095886066,8.378739484519791,10.722982513931179,0.5004854634636458,0.2580369647054138,0.2103444645143815,Energy,7
ett2/15T/short,contrastive_tiny,12.129839131889383,12.129839131889383,2.337869634106755,1.0438924145672188,0.1482070145666002,0.1697849522584677,12.340299648754504,3.482791858823806,0.16534051941676475,0.11098698839913876,0.09199320348471007,Energy,7
ett2/H/short,contrastive_tiny,124.41739172765273,124.41739172765273,6.778898411953733,0.7890497916347997,0.13051187016015794,0.11771011688398718,8.325769986806561,11.154254422759628,0.14146698171543307,0.08597529349320482,0.0711460342303338,Energy,7
us_births/D/short,contrastive_tiny,1595635.281891036,1595635.281891036,1012.7524267578125,1.4913885995009093,0.10294555230164551,0.09730678628324324,9.116016511217577,1263.1845795017591,0.11841330417664712,0.09493732199660959,0.07541011595129651,Healthcare,1
