dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,8820880.12191656,8820880.12191656,1323.0270998488531,5.244881333182115,0.07605559019689537,0.07555379273106447,137.20127966175352,2969.996653519421,0.1145408995103437,0.051023866950716756,0.04761136850214153,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,29.638304712783306,29.638304712783306,3.5374614336527883,0.36048258286549106,0.21430854017010648,0.23840817312027437,8.33345352189366,5.444107338470037,0.18697268208655368,0.12149074419493051,0.11040078135415085,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,199.53010929670359,199.53010929670359,8.762818723669394,0.8459647103549973,0.5643260566583761,0.8008063158351256,16.97193542242503,14.125512709162226,0.7614013110871135,0.47233837117239025,0.42244080742127577,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,38754.263704547855,38754.263704547855,63.792849469028766,2.890082984535222,0.6430034910993564,0.14479329275886774,73.24922129723707,196.8610263727888,0.14584094611323167,0.04725978368214034,0.04382487245007509,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,20349732.801899187,20349732.801899187,830.728411474489,80.99675001522486,0.2823749182576412,0.5915206984234044,2404.5578567687176,4511.06781171589,1.6973112175387197,0.31256560760664853,0.29223274287277073,Healthcare,1
electricity/H/short,contrastive_tiny,1838263.3147939143,1838263.3147939143,218.71876539156958,1.1872788100641232,0.36992692358345913,0.15993989634386338,13.083628034682743,1355.825694842045,0.6400465557148097,0.1032508773005505,0.08518533504558239,Energy,1
ett1/15T/short,contrastive_tiny,7.887129030520484,7.887129030520484,1.6229894261408064,1.0659416531739585,0.5637085585877153,0.35057082244264565,9.757684651449338,2.8084032884399783,0.5309051217420355,0.30681255872975266,0.25419840742251815,Energy,7
ett1/H/short,contrastive_tiny,109.5264996580989,109.5264996580989,5.255008665254961,0.8645159945430395,0.5072321365476105,0.27345046577744986,8.561980161368847,10.465490894272419,0.4884672761323234,0.24527275353836162,0.2020130649422906,Energy,7
ett2/15T/short,contrastive_tiny,11.621315177000916,11.621315177000916,2.232507640957123,0.9905231051166844,0.1428774346290596,0.16106691845320562,11.53925406472095,3.409005012756789,0.16183759534051356,0.10598507976368299,0.08815414145471005,Energy,7
ett2/H/short,contrastive_tiny,121.82110452989426,121.82110452989426,6.81478216201067,0.7736128931524736,0.12325217795107976,0.11463376538101377,7.9785492367340645,11.03725982886578,0.13998316473870942,0.08643039928699303,0.07176339680064489,Energy,7
us_births/D/short,contrastive_tiny,1534718.9724662176,1534718.9724662176,1006.7732389322916,1.4828006593462555,0.10209205605027308,0.09683632670881893,7.5273952094515,1238.837750662377,0.11613098653607581,0.09437682165627773,0.07282901036823879,Healthcare,1
