dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,10169240.003308378,10169240.003308378,1528.2964541096158,5.471073503610563,0.07826284467543738,0.0788571701454297,158.6139248413279,3188.924584136222,0.12298407471428591,0.05894028545949653,0.05555911968442398,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,31.737541513380364,31.737541513380364,3.5651762412328805,0.3704254427386479,0.21515822433079346,0.2409863371974299,10.510825486717271,5.633608214402237,0.19348090920772432,0.12244258286830591,0.11503173289428534,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,227.23055464352365,227.23055464352365,10.071630078726374,0.9725096116133863,0.8458577094902303,0.8639940307194645,28.095609168076546,15.07416845612134,0.8125362853975671,0.5428866551337722,0.5119005229644301,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,43716.358271353456,43716.358271353456,71.45542308615786,3.0550138233422803,0.49082924701232983,0.1450667427422901,88.66332197628788,209.08457205483492,0.15489653979764173,0.052936463350914356,0.04979486261854861,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,14404906.449252272,14404906.449252272,637.2976230398145,70.78477255407276,0.23024551477410676,0.5380931078172299,2170.6108501623253,3795.379618595783,1.428030051937993,0.2397863321156311,0.22310451130767295,Healthcare,1
electricity/H/short,contrastive_tiny,2968340.363975449,2968340.363975449,285.1483553238105,1.5303205869414047,0.372032482214583,0.19013365426878137,25.25408292336761,1722.887217427609,0.8133258084683831,0.1346103878891379,0.11608408193333691,Energy,1
ett1/15T/short,contrastive_tiny,9.13928022450371,9.13928022450371,1.7172879603780096,1.1365012083898653,0.6139896689490079,0.36130516039371824,25.229146617614457,3.0231242489358108,0.5714963210693693,0.3246389068918456,0.29410843389304486,Energy,7
ett1/H/short,contrastive_tiny,180.38798749201288,180.38798749201288,6.660658859528069,1.0899765098372731,0.6461933996068013,0.3279590346955251,21.60745709992159,13.430859521713899,0.6268731618005549,0.31088019885822027,0.278132829896231,Energy,7
ett2/15T/short,contrastive_tiny,12.228321291316176,12.228321291316176,2.367022704084714,1.0346845411177756,0.1449349035691144,0.1677407980304967,25.573309467383343,3.496901670238409,0.1660103623596476,0.11237098834175287,0.10398909332693104,Energy,7
ett2/H/short,contrastive_tiny,137.31054058860974,137.31054058860974,7.40933038035319,0.851991319265558,0.13155232004602216,0.12543688800126787,17.820020669215427,11.717958038353343,0.1486163120119882,0.09397092496852895,0.08496846351944397,Energy,7
us_births/D/short,contrastive_tiny,1571508.283425498,1571508.283425498,1044.3547607421874,1.5382905093016028,0.10268357987707447,0.10031637406078568,21.800583434839456,1253.5981347407542,0.11751465276981532,0.09789978436949559,0.08399583846997366,Healthcare,1
