dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,9843000.809229454,9843000.809229454,1497.4941252030267,5.4059037718496,0.07713364952795536,0.0778779026080875,120.63844717228234,3137.3557033319403,0.12099526910837227,0.05775236275399672,0.05242428146831161,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,30.033230746819022,30.033230746819022,3.543750457013292,0.37425517877938236,0.21078843899018276,0.24502385275511704,6.595453082216472,5.480258273733002,0.18821425153142682,0.12170673471317567,0.10661203709977382,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,224.90039152699885,224.90039152699885,9.739941251231357,0.927891851767376,0.6892234591323617,0.8938841600427895,14.165876332126885,14.996679350009416,0.8083594241251038,0.5250077778620225,0.4502881856256535,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,43797.853061697795,43797.853061697795,70.8011164573245,3.0129102209806713,0.3852167382521768,0.14662244089702575,71.36325976018543,209.2793660676986,0.15504084943402163,0.052451732068367264,0.04769686533206512,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,9308281.487931304,9308281.487931304,602.2046991651133,67.20978929412114,0.2238333974861388,0.5184884719314777,1713.6059611934636,3050.947637690838,1.1479338962998626,0.22658244872596728,0.19609520571935432,Healthcare,1
electricity/H/short,contrastive_tiny,2823650.580763576,2823650.580763576,276.7336203788083,1.452911132395746,0.3699685176959763,0.18726185339403384,12.519707556526653,1680.3721554356869,0.7932556629493446,0.13063803204775587,0.1057956691843166,Energy,1
ett1/15T/short,contrastive_tiny,10.515775501915183,10.515775501915183,1.8270903775490643,1.1447847147273729,0.577526474736879,0.3781102393824055,10.363330990885753,3.24280364837515,0.6130248717528237,0.34539613427999266,0.2852481372008912,Energy,7
ett1/H/short,contrastive_tiny,123.43813755966856,123.43813755966856,5.828766887453163,0.9483126864305835,0.5204889031425085,0.31387824988713364,7.383365054586651,11.110271714034205,0.518561834898198,0.27205239711046225,0.22194947284825334,Energy,7
ett2/15T/short,contrastive_tiny,11.865851002176191,11.865851002176191,2.3199188114631744,1.0211038464305429,0.14395430901356443,0.16681002572642434,10.642362640585125,3.4446844561115015,0.16353142544460755,0.1101347989889883,0.09088457034507512,Energy,7
ett2/H/short,contrastive_tiny,119.54420109832732,119.54420109832732,6.771239947385731,0.7819539794356214,0.13080840270010627,0.11725351695402936,6.383400428160938,10.933627078802685,0.1386688131197987,0.0858781628535451,0.06997755263444752,Energy,7
us_births/D/short,contrastive_tiny,1658660.6216683516,1658660.6216683516,1016.4537434895833,1.4968669407827166,0.10384795674613327,0.09758779734260829,7.108624990877956,1287.889988185463,0.12072923576791598,0.09528429040576018,0.07513003692076238,Healthcare,1
