dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,9619783.872115625,9619783.872115625,1457.107875919342,5.247108461581908,0.07458215491812936,0.07548265133863538,138.8668209437025,3101.5776424451515,0.11961545230896528,0.0561948265475769,0.052314278959054446,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,29.786391346381546,29.786391346381546,3.5087856439119647,0.3602925672228373,0.20941505475083091,0.23896070336811737,7.791261988301741,5.45769102701697,0.1874392009338772,0.12050590150439337,0.1088582962421818,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,229.66714545879165,229.66714545879165,9.600115154400497,0.9180028011279475,0.6331443856777434,0.8566549408613455,16.8168003002222,15.154773025644154,0.816881078126717,0.5174707931420162,0.45442350614740357,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,40695.43271677861,40695.43271677861,67.65979877416419,2.92815488163087,0.42694917369439095,0.13808671121381694,75.84747506037694,201.73109010952825,0.14944884512749787,0.0501245434348651,0.0461461960949782,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,8973891.75894895,8973891.75894895,538.8378790728224,62.788145115781994,0.197049881475552,0.49219628006322874,1822.430900816455,2995.6454661640037,1.1271261851315746,0.20274037428783265,0.18830327365894214,Healthcare,1
electricity/H/short,contrastive_tiny,1902307.5169467363,1902307.5169467363,215.0737969619636,1.14652255228321,0.31106719502977903,0.1538740098246333,12.470059658136016,1379.2416455961356,0.6511005567460332,0.10153019189243813,0.08308539707741441,Energy,1
ett1/15T/short,contrastive_tiny,8.040119630622799,8.040119630622799,1.5999371071146535,1.0224269313831675,0.5576351252701777,0.34065538466512285,8.55144627930545,2.835510470906923,0.5360295075690052,0.3024547108774186,0.24756372811875949,Energy,7
ett1/H/short,contrastive_tiny,127.14215856354657,127.14215856354657,5.608839044147836,0.9285094135445559,0.5768686751177905,0.2883205394012201,8.867474291842589,11.275733171884948,0.5262845980669536,0.26178746490132887,0.21684429908269254,Energy,7
ett2/15T/short,contrastive_tiny,12.4385384505821,12.4385384505821,2.347270543917659,1.0375938007189638,0.147650921190692,0.16714019921857134,10.706174508664478,3.5268312194634577,0.16743122453441173,0.11143328303118429,0.09102617393900912,Energy,7
ett2/H/short,contrastive_tiny,131.87716711999067,131.87716711999067,7.134648405263821,0.8047682000164679,0.12498201570900375,0.11933952932736291,7.70857190128038,11.483778433947194,0.1456462630460031,0.09048719324834886,0.07431105317413958,Energy,7
us_births/D/short,contrastive_tiny,1549950.4892550881,1549950.4892550881,1020.166611328125,1.502541888678981,0.10311565255357358,0.09803877955516027,7.823121367939974,1244.9700756464342,0.1167058422423841,0.09563234163743872,0.07147376138966077,Healthcare,1
