dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,59.49684383513784,59.49684383513784,4.438928006450627,0.6896575589287066,0.1305104173569973,0.09216761609058803,8.137020748232052,7.713419723776079,0.1322681193449119,0.07611781548862176,0.06334079213164087,Transport,1
loop_seattle/5T/medium,contrastive_tiny,163.31488787401304,163.31488787401304,8.099793558461924,1.2550269606987166,0.2872377240545894,0.1750257294049195,19.73882873715683,12.779471345639186,0.22737305808542516,0.14411197313545845,0.12469664618719693,Transport,1
loop_seattle/5T/long,contrastive_tiny,162.26468683312962,162.26468683312962,7.992414902340394,1.242629664263923,0.29607718932706767,0.16992391218422961,18.94749736699297,12.738315698440262,0.22521602782029665,0.1413075307292981,0.12119357050893836,Transport,1
loop_seattle/D/short,contrastive_tiny,30.845351125652247,30.845351125652247,4.215143453226001,1.2372146736824468,0.0770551296125405,0.07687376018740448,6.933992939018712,5.55385912007608,0.09925488754830628,0.07533024882420766,0.05700770479415055,Transport,1
loop_seattle/H/short,contrastive_tiny,74.87457278700573,74.87457278700573,5.037198982354638,1.0189230078036084,0.14206546924847907,0.11439562265058138,11.275286547807498,8.65300946416943,0.15316706802784663,0.08916354505272335,0.07411295013998342,Transport,1
loop_seattle/H/medium,contrastive_tiny,91.97570974814217,91.97570974814217,5.9464397502642115,1.2222302481378264,0.16008014618097513,0.13223791283500771,16.4446601255469,9.59039674612798,0.16950918431171122,0.10510265407246908,0.08951211257451407,Transport,1
loop_seattle/H/long,contrastive_tiny,106.4721342757574,106.4721342757574,6.2842612970642175,1.3034131130186373,0.21496104466956184,0.1377931718396177,20.68996242261284,10.31853353319925,0.18440601233321569,0.11230816496578969,0.09752537418747496,Transport,1
m_dense/D/short,contrastive_tiny,18667.942212220183,18667.942212220183,83.03955105181093,1.1502622403031528,0.20592697021374565,0.1688007447248976,8.025412494645641,136.6306781517979,0.23652791420549807,0.143753746029309,0.10827040270319975,Transport,1
m_dense/H/short,contrastive_tiny,66426.39329374851,66426.39329374851,123.84636755484674,1.0510876735461456,0.4179066584796325,0.2847002683432237,12.273920570778895,257.73318236841084,0.45715444252891735,0.21967259550552398,0.18190000659727776,Transport,1
m_dense/H/medium,contrastive_tiny,66626.42749727299,66626.42749727299,123.95607013108001,1.0185500124126021,0.39286575702727533,0.28646705903692005,14.760992011550297,258.12095516883744,0.4490978518760078,0.2156679018425567,0.18423441085302825,Transport,1
m_dense/H/long,contrastive_tiny,74525.72675537798,74525.72675537798,132.5619493418785,1.095716650665472,0.41697728336509904,0.30169415455739257,16.889339271786888,272.9940049806552,0.4725929784736698,0.2294843305302379,0.1988543010914054,Transport,1
sz_taxi/15T/short,contrastive_tiny,18.309707982520738,18.309707982520738,2.8935752230534564,0.5802708983831514,1013511294595.5923,0.41159392653775745,4.763473789360868,4.278984456915068,0.4001033471800932,0.2705616586641535,0.21462070221514357,Transport,1
sz_taxi/15T/medium,contrastive_tiny,19.06645056667719,19.06645056667719,3.0197267218921877,0.5914991992044499,12134067322802.371,0.43735718235988075,5.282024939915293,4.366514693285389,0.4063770759055284,0.2810359752512413,0.2263687441793573,Transport,1
sz_taxi/15T/long,contrastive_tiny,19.07360879752316,19.07360879752316,3.0436206319058488,0.577126759499239,8775978417288.232,0.43620673250636655,4.928871025999806,4.367334289646622,0.4042326822420058,0.2817121040354254,0.22610588772194154,Transport,1
sz_taxi/H/short,contrastive_tiny,7.692816339202056,7.692816339202056,1.913590725070915,0.5822368435953101,0.9879916809803574,0.30430306115567557,4.271892492020847,2.773592677233277,0.2583772734134467,0.1782627845939827,0.1403800874033307,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1806125.4667328466,1806125.4667328466,176.06539732985357,0.9005612044790706,2.45747508791903,0.7658860478631457,19.034383888866923,1343.9216743295892,4.219581683988409,0.5528018038162797,0.47801030511531345,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,4289547.176749831,4289547.176749831,333.1389400730003,1.274096598314199,6.7978998391549466,0.8437728889411882,30.124925296308877,2071.122202273403,6.292641307348439,1.012168114990304,0.910296121297404,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,4093406.325016445,4093406.325016445,356.69788380682746,1.2073421387408085,5.369337667627076,0.869627555848121,26.73747082536577,2023.216826001713,5.346758087172517,0.942646023110853,0.8459643218816928,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,2402607.540832425,2402607.540832425,281.06296455478264,1.1704924179417644,4.102801742562892,0.6106085334310353,24.720650134748787,1550.034690202908,4.418102229268466,0.8011207220799267,0.631425037981053,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1688890.3719066086,1688890.3719066086,137.64609426562066,1.9325991324455063,1.6371702001023727,0.6942541289941956,62.48261523328991,1299.5731498867651,5.317478158065575,0.5632080809489238,0.5158600939953906,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2139769.307526409,2139769.307526409,173.13665584931485,4.830525507182477,1.40210314428215,0.7815724496908929,174.98358078249834,1462.7950326434695,6.154724676778661,0.7284742048139262,0.6876434625574456,Web/CloudOps,2
