dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,9516026.21508242,9516026.21508242,1469.2592916085985,5.127313037544758,0.07270324257838512,0.07376069057038023,149.48381467256206,3084.805701350155,0.11896862558029576,0.0566634580801149,0.053158506051746955,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,28.735501308000565,28.735501308000565,3.4147766715846957,0.35194805000990453,0.20568672329655094,0.2357834309824355,8.66623152073328,5.360550466883095,0.18410300090356607,0.11727725287507192,0.10704591488462152,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,229.41639134817945,229.41639134817945,9.536714634300017,0.9172101871488169,0.59269504269464,0.8687435999558208,18.313445818060462,15.146497659465023,0.8164350146960827,0.514053342737062,0.45546391798952196,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,39660.905265839334,39660.905265839334,67.30488889770217,2.8857877682243207,0.40662724529927746,0.13609381534069917,82.24917067839749,199.150458864245,0.14753703094408113,0.04986161484446888,0.04638566373359756,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,7470149.467538579,7470149.467538579,492.4265824561976,60.74515545728145,0.18812199699734006,0.48237233410618285,1890.0641553699554,2733.157417262785,1.0283637793187421,0.18527789807248388,0.17255827001916715,Healthcare,1
electricity/H/short,contrastive_tiny,1889891.0759096984,1889891.0759096984,205.7813529696741,1.0866342213653406,0.30631266327277856,0.1468825386142639,13.541322753929052,1374.7330926073244,0.6489721977521564,0.0971434946982014,0.08124292016431914,Energy,1
ett1/15T/short,contrastive_tiny,8.341241944535634,8.341241944535634,1.6408394157642587,1.0682787062694183,0.563557835486177,0.34666339812319263,10.276596866052845,2.888120832744993,0.5459750558709546,0.3101869497771998,0.258267597874563,Energy,7
ett1/H/short,contrastive_tiny,101.71874217873832,101.71874217873832,4.986078184820889,0.8349723152338443,0.4958989263350739,0.26024590481617477,7.875090739677584,10.085570989227051,0.47073485984714697,0.23272066777633768,0.18965367168380878,Energy,7
ett2/15T/short,contrastive_tiny,12.002604486783463,12.002604486783463,2.3108702062318724,1.0172199545634872,0.14393260492257598,0.1656335520925946,11.579546185089153,3.464477520028592,0.1644710726017036,0.10970522950864445,0.09081524769908433,Energy,7
ett2/H/short,contrastive_tiny,119.23357371305815,119.23357371305815,6.5939642578718205,0.7497639528019807,0.12021522520928207,0.11124862816495676,7.28276901530273,10.919412700006268,0.138488535246525,0.08362981385803685,0.06885219633126662,Energy,7
us_births/D/short,contrastive_tiny,1581407.5017934258,1581407.5017934258,1001.52458984375,1.4748324726496238,0.10202618781125444,0.09629342673356649,7.646726751278941,1257.5402585179631,0.11788419488543928,0.09388480339455772,0.07137590260185442,Healthcare,1
