dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,contrastive_tiny,10471656.274213042,10471656.274213042,1589.1888878504435,5.426916404559291,0.07754505075337448,0.07843391829278204,151.6748330948719,3235.993861893598,0.12479934861610775,0.06128866323486658,0.05740050781033168,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,32.92371090729235,32.92371090729235,3.6332282309952593,0.3764301952127083,0.2162830515887247,0.2440764542271811,10.271840559059862,5.737918691240958,0.19706335319931248,0.12477976365041268,0.11636708902514539,Web/CloudOps,7
bizitobs_l2c/H/short,contrastive_tiny,235.9909706252981,235.9909706252981,10.310369134913865,0.9955192348588628,0.8376679059145399,0.8994783025782305,27.669329825972063,15.361997611811367,0.8280510140324671,0.5557553016835678,0.5200380626996682,Web/CloudOps,7
bizitobs_service/10S/short,contrastive_tiny,44678.68648143923,44678.68648143923,74.0650371216687,3.0580229870500677,0.4331267168676391,0.1425581320772993,86.18284756708509,211.37333436703702,0.1565921281382601,0.054869748912519424,0.05123464020382174,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,15149419.052751932,15149419.052751932,654.6390486232959,73.14051214355511,0.24222256116636293,0.5513378079404104,2212.3144598712033,3892.2254627336188,1.4644687721009315,0.24631112788449813,0.22935616937025427,Healthcare,1
electricity/H/short,contrastive_tiny,3056613.548529998,3056613.548529998,289.1534536489595,1.5538830697922328,0.3663596653667713,0.19489172918366182,22.16014053955467,1748.3173477747105,0.8253306461123084,0.13650108032701017,0.11552655661808216,Energy,1
ett1/15T/short,contrastive_tiny,9.37628155988277,9.37628155988277,1.742410515333038,1.139342712926262,0.6076371266274206,0.3667794042156509,22.316538284641503,3.062071449179913,0.5788589630988167,0.329388115508632,0.2930704370458626,Energy,7
ett1/H/short,contrastive_tiny,153.44957454499348,153.44957454499348,6.4523025199194395,1.068099939346202,0.6053456753235951,0.330969138670666,17.29571353168197,12.387476520461844,0.5781742084754617,0.30115535606759414,0.2616319232230432,Energy,7
ett2/15T/short,contrastive_tiny,12.50855231440576,12.50855231440576,2.3878282037164484,1.0454036917822327,0.14586270730001566,0.16965718393318477,23.87739057688196,3.536743179028661,0.16790178051633084,0.11335869942391842,0.10351039335106911,Energy,7
ett2/H/short,contrastive_tiny,149.72288555209443,149.72288555209443,7.8747562019243125,0.8905785232289842,0.13530233754324045,0.1308618947995804,16.435929376103722,12.236130334059638,0.155188178485874,0.09987381938841458,0.08886429811406645,Energy,7
us_births/D/short,contrastive_tiny,1701114.5895127805,1701114.5895127805,1119.0424772135416,1.6485516049222169,0.10715972378609823,0.10770489179202095,18.548055198372047,1304.267836570687,0.12226452615545658,0.10490115173282266,0.08804173649555591,Healthcare,1
