setup,W,seed,u_b_per_slice,u_b_global_pooled,u_b_inverse_of_mean,u_t_per_slice,u_t_global_pooled,u_t_inverse_of_mean
isotropic_synthetic,-1,42,0.9775551557540894,0.9999182191321928,1.0,0.9970801472663879,0.9999181297289431,0.9998460351090608
isotropic_synthetic,-1,43,0.9768061637878418,1.0,1.0,0.9971981644630432,1.0,1.0
isotropic_synthetic,-1,44,0.9781038761138916,0.9999484383465389,1.0,0.9960495233535767,0.9999483489378853,0.9993110280834531
encoder_init,16,42,0.04275894537568092,0.04254176288743581,0.04257683536509802,0.042477551847696304,0.04254176288743581,0.04247202740241599
encoder_init,16,43,0.04291052371263504,0.04271018767526532,0.04277098620889651,0.04271042346954346,0.04271018767526532,0.04270616674301088
encoder_init,16,44,0.04243078827857971,0.04251761882063861,0.042247650630765896,0.042706508189439774,0.04251762140695861,0.04270299966320629
encoder_init,64,42,0.1447320133447647,0.14382184799720582,0.1441142792193544,0.14482663571834564,0.14382184799720582,0.14459396689031256
encoder_init,64,43,0.14556530117988586,0.14546089447019347,0.14488500594817963,0.14598286151885986,0.14546089447019347,0.14578451391983052
encoder_init,64,44,0.14446984231472015,0.14490966408935402,0.14397686705908333,0.14465323090553284,0.14490964906249837,0.14445569858985433
encoder_init,192,42,0.3321846127510071,0.3303291143135236,0.33093411653464977,0.34271925687789917,0.3303291143135236,0.3403001576289305
encoder_init,192,43,0.3312847912311554,0.3304354588702755,0.33031152482374226,0.3260959982872009,0.3304354588702755,0.3233151445130906
encoder_init,192,44,0.3314182162284851,0.3319103854767123,0.32934616999304567,0.33201876282691956,0.3319103396676817,0.3298266821140814
