name,tau,encoder_type,r2_random_mean,r2_naive_mean,u_temporal_mean,u_batch_mean,auc_mean,top1_mean,r2_random_std,r2_naive_std,u_temporal_std,u_batch_std,auc_std,top1_std,n_samples
tau_sweep_0_03,0.03,gru,0.763075982928276,0.6955718922615052,0.00786591568030417,0.009859971068799496,0.8978053283691406,0.7473247957229614,0.006963379303654813,0.008702987330861323,0.0001382974795614931,0.0002246171935833244,0.005459050036022533,0.009919898874338683,50
tau_sweep_0_05,0.05,gru,0.7248206913471222,0.6530339860916138,0.018484164774417878,0.031553693637251856,0.8936431920528412,0.7400297498703003,0.006645884952324545,0.008633107920390699,0.0004136931005521355,0.0009171876457920296,0.005530641937508408,0.009848089254822312,50
tau_sweep_0_07,0.07,gru,0.6934707319736481,0.6271444624662399,0.03300584636628628,0.06322365261614322,0.897828814983368,0.7487206017971039,0.006832704922327058,0.008915438676196099,0.0007535547604455466,0.0011767049551878407,0.005292764664314388,0.009706424770235157,50
tau_sweep_0_10,0.1,gru,0.6682946521043778,0.6153416728973389,0.051195672824978826,0.10193569079041481,0.8993263912200927,0.7535118496418,0.007359480435807181,0.009394385118558729,0.0012223016827553007,0.0014589508743354988,0.005348651842754334,0.009821253284079835,50
tau_sweep_0_20,0.2,gru,0.7720965158939361,0.7293619793653489,0.0391647756844759,0.0837104819715023,0.9018747866153717,0.7565748536586762,0.006820230427870959,0.0082285374199366,0.0009449619314670781,0.0015282747774396205,0.0053905435910904095,0.009875721474904758,50
tau_sweep_0_20_v2,0.2,gru,0.7702781131863594,0.7261796170473098,0.03830953933298588,0.08185451969504356,0.9020506453514099,0.7570366442203522,0.0068381962411317165,0.0082794823488148,0.0008979704854936988,0.001396981479151291,0.005374551727212455,0.009710130211418703,50
tau_sweep_0_30,0.3,gru,0.8215409871935845,0.7778205358982087,0.029208495020866393,0.05872653156518936,0.8953007423877716,0.7453953886032104,0.006303083796428216,0.007539579221662506,0.000666462360550081,0.001184592262260698,0.005456429691056974,0.009522693823478708,50
tau_sweep_0_50,0.5,gru,0.8646170711517334,0.8215009218454361,0.020569895803928376,0.037292831689119336,0.8909436082839965,0.737930178642273,0.005292778048470901,0.006744932882380266,0.0004460171937646274,0.000802322279545049,0.005700540939555829,0.009724106225330684,50
tau_sweep_0_80,0.8,gru,0.8895024685561657,0.8516372221708298,0.01615536291152239,0.026214093454182148,0.8905918884277344,0.73695725440979,0.0048162605316051585,0.006275277997923189,0.0003145918523859923,0.0005853449785556846,0.005798379764353288,0.009624675309060539,50
tau_sweep_learnable_0_10,0.1,gru,0.6921811765432357,0.6253876322507859,0.032323522605001924,0.06321047343313695,0.8993064665794372,0.7500370228290558,0.006915171353285233,0.009098216567040171,0.0007307585820328776,0.0011410084483985054,0.005281473895906499,0.009858748248101165,50
tau_sweep_learnable_0_20,0.2,gru,0.6884708768129348,0.6225729936361313,0.030547309294342996,0.05858912378549576,0.8974931430816651,0.7468671143054962,0.006579393963019804,0.008741198455797359,0.0006581147581903306,0.00113545050270405,0.005381167453899852,0.009518668925355757,50
