step,loss,loss_tau_ref,gap,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1
1,14.457826614379883,22.33723258972168,0.000582483597099781,-0.004426626488566399,-0.00500911008566618,0.3578295111656189,-0.004548211116343737,256,0,0,-0.16237175464630127,-0.5727298259735107,0.008054563775658607,0.008270913735032082,0.49824216961860657,0.19921875
2,14.670546531677246,22.258235931396484,0.0014643864706158638,-0.013748511672019958,-0.015212898142635822,0.277680367231369,-0.0163528211414814,512,0,1,-0.14361870288848877,-0.40954065322875977,0.009420712478458881,0.009795110672712326,0.4986860752105713,0.19616477191448212
3,14.337818145751953,21.30378532409668,0.0008670687675476074,0.06574976444244385,0.06488269567489624,0.26912879943847656,0.06288929283618927,768,0,0,-0.049947381019592285,-0.28190815448760986,0.010685600340366364,0.010877584107220173,0.5080432891845703,0.21171873807907104
4,14.342564582824707,21.072731018066406,0.0007777661085128784,0.13076108694076538,0.1299833208322525,0.3550545573234558,0.1291908472776413,1024,0,1,0.012131273746490479,-0.35544395446777344,0.008641310036182404,0.008575446903705597,0.5160688757896423,0.22137783467769623
5,13.905303001403809,19.819108963012695,0.001288682222366333,0.20723159611225128,0.20594291388988495,0.3191547691822052,0.2044508457183838,1280,0,1,0.10258340835571289,-0.17015695571899414,0.009154579602181911,0.009100488387048244,0.5064985752105713,0.21356533467769623
6,13.669217109680176,18.932397842407227,0.0018693804740905762,0.2677859365940094,0.2659165561199188,0.4169110655784607,0.26131314039230347,1536,0,0,0.13382303714752197,-0.2635059356689453,0.008529117330908775,0.009382045827805996,0.5160333514213562,0.2232244312763214
7,13.672011375427246,19.054325103759766,0.0018752217292785645,0.24815651774406433,0.24628129601478577,0.336154967546463,0.24608968198299408,1792,0,1,0.11785280704498291,-0.1380302906036377,0.009556188248097897,0.009715201333165169,0.5120915770530701,0.21356533467769623
8,13.530487060546875,18.701805114746094,0.0021533966064453125,0.2623971104621887,0.2602437138557434,0.3083488345146179,0.25925010442733765,2048,0,1,0.12341737747192383,-0.07013070583343506,0.010462868958711624,0.010610368102788925,0.5094637870788574,0.21235795319080353
9,13.49336051940918,18.495847702026367,0.0024844706058502197,0.2861972451210022,0.283712774515152,0.4026457369327545,0.2830577492713928,2304,0,1,0.10215407609939575,-0.2010403871536255,0.009855160489678383,0.010359933599829674,0.514843761920929,0.2166193127632141
10,13.247955322265625,17.446468353271484,0.0027020275592803955,0.36004355549812317,0.3573415279388428,0.42398685216903687,0.35343220829963684,2560,0,0,0.1612008810043335,-0.11535537242889404,0.009796064347028732,0.010423414409160614,0.5090376138687134,0.21590907871723175
11,13.209464073181152,17.14181900024414,0.0029574334621429443,0.3953542709350586,0.39239683747291565,0.4893939793109894,0.3890659511089325,2816,0,1,0.1423395872116089,-0.19269812107086182,0.00933758169412613,0.009890750981867313,0.5228160619735718,0.23366476595401764
12,12.961934089660645,16.207544326782227,0.0029089152812957764,0.453231543302536,0.45032262802124023,0.4702530801296234,0.4485390782356262,3072,0,0,0.1620996594429016,-0.03640556335449219,0.009837813675403595,0.010125947184860706,0.514222264289856,0.22045454382896423
13,12.804460525512695,15.548999786376953,0.003133833408355713,0.503438413143158,0.5003045797348022,0.5051411986351013,0.49752604961395264,3328,0,0,0.1452329158782959,-0.00820302963256836,0.008644958958029747,0.009449511766433716,0.5102272629737854,0.21434658765792847
14,12.666131019592285,14.816998481750488,0.0023264288902282715,0.577292799949646,0.5749663710594177,0.6030908226966858,0.5718797445297241,3584,0,0,0.09198421239852905,-0.07079339027404785,0.007188982795923948,0.007232919801026583,0.5037819147109985,0.21406249701976776
15,12.513846397399902,14.06470012664795,0.002340853214263916,0.6576439738273621,0.6553031206130981,0.703622043132782,0.6526610851287842,3840,0,1,0.06839334964752197,-0.16529595851898193,0.005794590339064598,0.005855296738445759,0.5137606263160706,0.21761362254619598
16,12.408247947692871,13.401187896728516,0.0015978217124938965,0.735848069190979,0.7342502474784851,0.7645878791809082,0.7309448719024658,4096,0,1,0.038665831089019775,-0.1305328607559204,0.004709989298135042,0.004784506745636463,0.5112748146057129,0.21626420319080353
17,12.315951347351074,12.937743186950684,0.0014435052871704102,0.7960493564605713,0.7946058511734009,0.8236852884292603,0.7915747761726379,4352,0,0,-0.01249086856842041,-0.17087292671203613,0.00399787025526166,0.004052998963743448,0.5162819623947144,0.21896305680274963
18,12.275073051452637,12.674407958984375,0.0011095404624938965,0.841083288192749,0.8399737477302551,0.8678653836250305,0.8371900916099548,4608,0,1,-0.09684908390045166,-0.21991682052612305,0.0035297605209052563,0.003561302786692977,0.5162464380264282,0.21683238446712494
19,12.241533279418945,12.494453430175781,0.0007864832878112793,0.8760325908660889,0.8752461075782776,0.9066272377967834,0.8719841837882996,4864,0,0,-0.1828857660293579,-0.3437657356262207,0.0032278145663440228,0.003248769324272871,0.5098721385002136,0.21484375
20,12.22921085357666,12.42333698272705,0.0006671547889709473,0.8993468880653381,0.8986797332763672,0.9297308325767517,0.8953049182891846,5120,0,0,-0.3352041244506836,-0.4568912982940674,0.0030410124454647303,0.003045611781999469,0.5136896371841431,0.22258521616458893
21,12.225686073303223,12.386423110961914,0.0004824995994567871,0.9120581150054932,0.9115756154060364,0.9492499232292175,0.9082150459289551,5376,0,0,-0.5394295454025269,-0.7788138389587402,0.0029276199638843536,0.002938342047855258,0.5141690373420715,0.21946021914482117
22,12.223908424377441,12.364479064941406,0.00047391653060913086,0.9210606813430786,0.9205867648124695,0.9575828909873962,0.9171323180198669,5632,0,0,-0.6785989999771118,-0.916358232498169,0.002871320117264986,0.0028776584658771753,0.5128728747367859,0.22009941935539246
