step,loss,loss_tau_ref,gap,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1
1,14.4638090133667,18.280942916870117,0.000582483597099781,-0.004426626488566399,-0.00500911008566618,0.3578295111656189,-0.004548211116343737,256,0,0,-0.16237175464630127,-0.5727298259735107,0.008054563775658607,0.008270913735032082,0.49824216961860657,0.19921875
2,14.597186088562012,18.40184783935547,0.0018933862447738647,-0.01128543820232153,-0.013178824447095394,0.2807284891605377,-0.013806692324578762,512,0,1,-0.14576172828674316,-0.41214728355407715,0.0094388946890831,0.009815843775868416,0.5033202767372131,0.20838066935539246
3,13.246475219726562,15.819323539733887,0.001573815941810608,0.2506529986858368,0.24907918274402618,0.2756953239440918,0.24890851974487305,768,0,0,0.14982843399047852,-0.03696274757385254,0.010716529563069344,0.010936036705970764,0.5140624642372131,0.22031249105930328
4,13.132227897644043,15.48759651184082,0.0019289255142211914,0.28624123334884644,0.28431230783462524,0.37323105335235596,0.28467729687690735,1024,0,1,0.16596096754074097,-0.14417922496795654,0.008824462071061134,0.00877933856099844,0.5161044001579285,0.22265625
5,12.894521713256836,15.13740348815918,0.001543968915939331,0.3011450469493866,0.29960107803344727,0.35389789938926697,0.29945096373558044,1280,0,1,0.16727900505065918,-0.08654451370239258,0.009449193254113197,0.009446443058550358,0.5055575370788574,0.21356533467769623
6,12.928130149841309,14.784978866577148,0.0025391578674316406,0.35309329628944397,0.35055413842201233,0.465671569108963,0.3503913879394531,1536,0,0,0.16538190841674805,-0.21780037879943848,0.00873538013547659,0.009557737037539482,0.5165482759475708,0.22187499701976776
7,12.519461631774902,14.654504776000977,0.0025328099727630615,0.3047698140144348,0.30223700404167175,0.41287973523139954,0.3021198809146881,1792,0,1,0.07900601625442505,-0.18891465663909912,0.009745489805936813,0.010013163089752197,0.5108131766319275,0.2151278406381607
8,12.218899726867676,13.812093734741211,0.0022251009941101074,0.3713409900665283,0.3691158890724182,0.421212375164032,0.3692818284034729,2048,0,1,0.10512900352478027,-0.08921456336975098,0.010113131254911423,0.010196358896791935,0.5080965757369995,0.21200282871723175
9,11.960653305053711,13.080765724182129,0.0024370551109313965,0.4435683488845825,0.4411312937736511,0.5440323948860168,0.44077908992767334,2304,0,1,0.08561569452285767,-0.22522032260894775,0.008699480444192886,0.009105155244469643,0.5114879012107849,0.21590907871723175
10,11.780692100524902,12.554847717285156,0.00214993953704834,0.5144903063774109,0.5123403668403625,0.6090123653411865,0.5120049715042114,2560,0,0,0.05708104372024536,-0.24462509155273438,0.007460720371454954,0.007681054063141346,0.5109019875526428,0.2154119312763214
11,11.567051887512207,12.10681438446045,0.002055048942565918,0.5628013610839844,0.5607463121414185,0.7059342265129089,0.5601995587348938,2816,0,1,-0.08852434158325195,-0.49702703952789307,0.005935453809797764,0.006139688193798065,0.5221768021583557,0.23096589744091034
12,11.398972511291504,11.785002708435059,0.0015938282012939453,0.5907151103019714,0.5891212821006775,0.753363847732544,0.588118851184845,3072,0,0,-0.37428081035614014,-0.6679508686065674,0.004889605566859245,0.004927029833197594,0.5151278376579285,0.22095169126987457
13,11.285839080810547,11.570890426635742,0.0013033151626586914,0.6064138412475586,0.6051105260848999,0.8185340762138367,0.6035832762718201,3328,0,0,-0.8853596448898315,-1.1854476928710938,0.0040263039991259575,0.004091096110641956,0.5142577886581421,0.21732953190803528
14,11.238524436950684,11.465277671813965,0.0008423328399658203,0.6478490829467773,0.6470067501068115,0.8836017847061157,0.6451385617256165,3584,0,0,-1.654801368713379,-2.0674145221710205,0.003432829864323139,0.003442595014348626,0.5063210129737854,0.21811078488826752
15,11.186700820922852,11.320053100585938,0.0006440877914428711,0.7066664099693298,0.706022322177887,0.924718976020813,0.7037064433097839,3840,0,1,-2.2268834114074707,-2.9766321182250977,0.0031500193290412426,0.003159100189805031,0.5133700370788574,0.21690340340137482
