step,loss,loss_tau_ref,gap,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1
1,11.432534217834473,18.280942916870117,0.0005824835970997,-0.0044266264885663,-0.0050091100856661,0.3578295111656189,-0.0045482111163437,256,0,0,-0.1623717546463012,-0.5727298259735107,0.0080545637756586,0.008270913735032,0.4982421696186065,0.19921875
2,11.417856216430664,18.16094017028809,0.0029269447550177,0.0124902725219726,0.0095633277669548,0.2814274728298187,0.0085572032257914,512,0,1,-0.11801278591156,-0.3802074193954468,0.0093973167240619,0.0097568929195404,0.5099254250526428,0.2089488506317138
3,11.58188819885254,15.959554672241213,0.0022164732217788,0.2380038797855377,0.2357874065637588,0.2790267765522003,0.2355402112007141,768,0,0,0.1339043974876403,-0.0594236850738525,0.0106498412787914,0.0108345905318856,0.5113636255264282,0.2120028287172317
4,11.493368148803713,16.148771286010742,0.0017549991607666,0.2336551696062088,0.2319001704454422,0.3745457828044891,0.2319774180650711,1024,0,1,0.1079158186912536,-0.2316178083419799,0.008678114041686,0.0085921473801136,0.5203657746315002,0.2283380627632141
5,11.400643348693848,16.756813049316406,0.0009527504444122,0.1907473355531692,0.189794585108757,0.3504638969898224,0.1896086931228637,1280,0,1,0.0485473275184631,-0.2525289058685303,0.0091951265931129,0.0091149527579545,0.5065695643424988,0.209872156381607
6,11.44017219543457,17.06568717956543,0.001553401350975,0.1773918867111206,0.1758384853601455,0.4551028609275818,0.1759712994098663,1536,0,0,-0.0300732851028442,-0.5217058658599854,0.0084671871736645,0.0092279855161905,0.5175603628158569,0.2169744223356247
7,11.40776824951172,17.40349006652832,0.0014217346906661,0.148484855890274,0.1470631211996078,0.3922013342380523,0.1473029106855392,1792,0,1,-0.0757907629013061,-0.4095965623855591,0.0094350520521402,0.0095834648236632,0.5158557891845703,0.2169744223356247
8,11.370244026184082,17.157760620117188,0.001140534877777,0.1657831221818924,0.1646425873041153,0.3816171884536743,0.1647315323352813,2048,0,1,-0.0926675796508789,-0.3553255796432495,0.010087919421494,0.0101378746330738,0.5099431872367859,0.2102272659540176
9,11.343629837036133,16.72391700744629,0.0011927783489227,0.200339525938034,0.1991467475891113,0.4842422902584076,0.1988595724105835,2304,0,1,-0.1350136995315551,-0.5615301132202148,0.00918535515666,0.0095727816224098,0.5124644637107849,0.2176136225461959
10,11.322443008422852,15.997416496276855,0.0009364187717437,0.2514979541301727,0.2505615353584289,0.5152004361152649,0.2501948177814483,2560,0,0,-0.1407502889633178,-0.5537075996398926,0.0088012386113405,0.0091335289180278,0.5118963122367859,0.2169034034013748
