step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,13.650891304016113,16.966455459594727,0.0006178915500640869,0.9993753386840986,0.01145538967102766,0.010837498120963573,0.398607075214386,0.008408300578594208,256,0,0,-0.46124958992004395,-0.7422163486480713,0.017010686919093132,0.04002232104539871,0.5221235752105713,0.007528408896178007,0.023153407499194145
2,14.849515914916992,18.528711318969727,-0.0008203200995922089,1.000781967645624,-0.04986640810966492,-0.04904608801007271,0.7871286869049072,-0.05208475887775421,512,0,0,-3.918247699737549,-4.570865154266357,0.004421328194439411,0.004653891548514366,0.5284397602081299,0.007528408896178007,0.02386363595724106
3,14.944003105163574,18.67233657836914,-0.002251740370411426,1.002257872032651,0.00046394154196605086,0.0027156819123774767,0.8293648362159729,0.0011802016524598002,768,0,1,-5.683385848999023,-6.223552703857422,0.0039709508419036865,0.004131627269089222,0.5174435973167419,0.008309658616781235,0.02400568127632141
4,18.463159561157227,23.70992660522461,-0.0004531443119049072,1.0003470806567738,-0.30604106187820435,-0.30558791756629944,0.9164769053459167,-0.3048880100250244,1024,0,0,-16.22528076171875,-16.612625122070312,0.0032219889108091593,0.003104518400505185,0.502774715423584,0.007457386236637831,0.02230113558471203
5,11.676689147949219,12.974181175231934,0.0036557018756866455,0.993088691862596,0.47471070289611816,0.4710550010204315,0.9337599873542786,0.4728650450706482,1280,0,0,-7.736095428466797,-7.81199836730957,0.003095050808042288,0.002975900424644351,0.5035548806190491,0.007954545319080353,0.023366477340459824
6,11.187775611877441,11.326041221618652,0.0036774277687072754,0.987503078807756,0.7094107270240784,0.7057332992553711,0.9412958025932312,0.7066659927368164,1536,0,0,-4.34987211227417,-4.397292613983154,0.003042721189558506,0.0029253503307700157,0.49737808108329773,0.007031249813735485,0.02166193164885044
7,11.165132522583008,11.260987281799316,0.003155529499053955,0.9879319203567379,0.7416781783103943,0.7385226488113403,0.9472588896751404,0.7387657165527344,1792,0,1,-4.311975955963135,-4.300473690032959,0.002997162751853466,0.002886837814003229,0.4991008937358856,0.007457386236637831,0.022514203563332558
8,11.16180419921875,11.255309104919434,0.0025401711463928223,0.9901705785305434,0.744114875793457,0.7415747046470642,0.9516958594322205,0.7412009835243225,2048,0,0,-4.733313083648682,-4.6964216232299805,0.00295961182564497,0.002860935404896736,0.5069381594657898,0.008522726595401764,0.023579545319080353
9,11.158748626708984,11.2490234375,0.0022006630897521973,0.9913754459616947,0.7470381259918213,0.7448374629020691,0.9546490907669067,0.7440685033798218,2304,0,0,-5.022027492523193,-4.986949443817139,0.002934670075774193,0.0028433455154299736,0.4970606565475464,0.008096590638160706,0.02365056797862053
10,11.154006958007812,11.234437942504883,0.002062201499938965,0.9916480386240193,0.7551499605178833,0.7530877590179443,0.9568822979927063,0.7521978616714478,2560,0,1,-5.113124370574951,-5.0691447257995605,0.0029161088168621063,0.0028303805738687515,0.5042258501052856,0.008451703935861588,0.024502839893102646
11,11.146902084350586,11.21332836151123,0.0018472075462341309,0.9920918409008325,0.7682647109031677,0.7664175033569336,0.9588208794593811,0.7652466297149658,2816,0,0,-5.0749616622924805,-4.987035274505615,0.002897984813898802,0.0028197327628731728,0.49944743514060974,0.006889204494655132,0.02187499962747097
12,11.140053749084473,11.193187713623047,0.001754164695739746,0.9919924272250944,0.7826909422874451,0.7809367775917053,0.959595263004303,0.779643177986145,3072,0,0,-4.775507926940918,-4.706706523895264,0.002888806164264679,0.0028151613660156727,0.5037260055541992,0.008167613297700882,0.02286931686103344
13,11.133601188659668,11.175419807434082,0.0016939640045166016,0.9916904448009581,0.7978366017341614,0.7961426377296448,0.960498571395874,0.7947244048118591,3328,0,0,-4.526492595672607,-4.404163837432861,0.002880542306229472,0.0028101676143705845,0.503614604473114,0.007386363577097654,0.022940339520573616
14,11.128118515014648,11.161221504211426,0.0016984939575195312,0.9910412615674334,0.8121077418327332,0.8104092478752136,0.961028516292572,0.808915376663208,3584,0,0,-4.142697811126709,-4.070997714996338,0.002873989986255765,0.0028077256865799427,0.4982631802558899,0.007457386236637831,0.021022725850343704
15,11.124099731445312,11.151047706604004,0.0017238259315490723,0.990258812909658,0.8247612118721008,0.8230373859405518,0.9614890813827515,0.8215303421020508,3840,0,1,-3.8479208946228027,-3.771409034729004,0.002869383431971073,0.0028055815491825342,0.5011724233627319,0.008806818164885044,0.02421874925494194
16,11.12082576751709,11.143013000488281,0.001707911491394043,0.9896689253648903,0.8363900184631348,0.8346821069717407,0.9617683291435242,0.8331348896026611,4096,0,0,-3.585906982421875,-3.474472999572754,0.0028652495238929987,0.002804251853376627,0.5005638599395752,0.007954545319080353,0.023579545319080353
17,11.11813735961914,11.13680648803711,0.0017135143280029297,0.9889669676815204,0.8464058637619019,0.8446923494338989,0.9617369174957275,0.8431107997894287,4352,0,1,-3.300629138946533,-3.1812028884887695,0.0028644432313740253,0.0028044318314641714,0.501622200012207,0.005752840545028448,0.020809657871723175
18,11.115626335144043,11.131458282470703,0.0017314553260803223,0.9881681701007309,0.8553926944732666,0.8536612391471863,0.9619852304458618,0.8520346283912659,4608,0,1,-3.047842025756836,-2.9570319652557373,0.002861164743080735,0.0028034995775669813,0.49919506907463074,0.007812499534338713,0.023579545319080353
19,11.11368179321289,11.127323150634766,0.0017156600952148438,0.9875877533419577,0.863492488861084,0.8617768287658691,0.9622174501419067,0.860094428062439,4864,0,1,-2.824362277984619,-2.7419919967651367,0.002857539802789688,0.002802363596856594,0.49530714750289917,0.006534090731292963,0.01953125
20,11.112688064575195,11.124940872192383,0.0016997456550598145,0.9870718751515882,0.8702231645584106,0.8685234189033508,0.9621715545654297,0.8668429851531982,5120,0,1,-2.657665252685547,-2.54803466796875,0.0028563491068780422,0.002802342874929309,0.4988943040370941,0.006747158709913492,0.02109374850988388
21,11.111111640930176,11.121915817260742,0.0017247200012207031,0.9862402553370367,0.8763793706893921,0.8746546506881714,0.9622703194618225,0.8729425072669983,5376,0,0,-2.470669984817505,-2.3806633949279785,0.0028554301243275404,0.0028021412435919046,0.5016491413116455,0.008593750186264515,0.022585226222872734
22,11.110259056091309,11.12007999420166,0.0017265677452087402,0.9856038343389826,0.8817940950393677,0.8800675272941589,0.9622492790222168,0.8783586621284485,5632,0,0,-2.3080387115478516,-2.2252848148345947,0.002854514168575406,0.0028022087644785643,0.5018336772918701,0.007741476874798536,0.0220880676060915
23,11.10911750793457,11.117980003356934,0.001730203628540039,0.9849606920112614,0.886684775352478,0.884954571723938,0.9623442888259888,0.8832029700279236,5888,0,0,-2.1822962760925293,-2.0894229412078857,0.00285312719643116,0.0028020988684147596,0.498192697763443,0.007528408896178007,0.024502839893102646
24,11.108556747436523,11.116739273071289,0.0017771720886230469,0.9839313189996416,0.8911786675453186,0.8894014954566956,0.9622609615325928,0.8877084255218506,6144,0,0,-2.0386180877685547,-1.9579017162322998,0.002853044541552663,0.0028026096988469362,0.5012853741645813,0.007954545319080353,0.021946022287011147
25,11.107508659362793,11.114938735961914,0.001794278621673584,0.9831933570687222,0.8950341939926147,0.8932399153709412,0.962343156337738,0.8915084600448608,6400,0,0,-1.9300665855407715,-1.8520262241363525,0.0028518300969153643,0.0028022178448736668,0.5086395144462585,0.00639204541221261,0.023792613297700882
