step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,16.50623321533203,19.840232849121094,0.010738232638686895,0.9891900924977901,0.017368711531162262,0.006630478892475367,0.36282798647880554,0.010251115076243877,128,0,1,-0.16112768650054932,-0.5497938394546509,0.01285612490028143,0.013657261617481709,0.5449358820915222,0.002698863623663783,0.008593750186264515
2,18.918052673339844,22.969505310058594,0.03786422312259674,0.9655887145257213,-0.06247895210981369,-0.10034317523241043,0.6891542673110962,-0.052403323352336884,256,0,0,-1.4925224781036377,-2.512749671936035,0.0067094494588673115,0.007372219115495682,0.4644239842891693,0.0032670453656464815,0.009232954122126102
3,14.033889770507812,15.82115650177002,0.027622520923614502,0.948715724115165,0.48900672793388367,0.46138420701026917,0.7753174304962158,0.45638731122016907,384,0,0,-0.6416442394256592,-1.338651418685913,0.005136573687195778,0.005431206896901131,0.6781004071235657,0.005752840545028448,0.013281249441206455
4,12.008089065551758,12.419496536254883,0.0207710862159729,0.9151924931164673,0.7758507132530212,0.7550796270370483,0.8683171272277832,0.7362821102142334,512,0,1,-0.29991161823272705,-0.7490031719207764,0.0037781395949423313,0.003868634346872568,0.7803997993469238,0.01775568164885044,0.04843749850988388
5,11.68676471710205,11.796361923217773,0.014602959156036377,0.8961517169934324,0.8739847540855408,0.8593817949295044,0.9115589261054993,0.8423656225204468,640,0,0,-0.13448810577392578,-0.45572710037231445,0.003283195197582245,0.003332259599119425,0.7815693020820618,0.025923294946551323,0.06171874701976776
6,11.554583549499512,11.583270072937012,0.0156288743019104,0.8620218421083097,0.9023582339286804,0.88672935962677,0.9238739609718323,0.8659213185310364,768,0,0,0.008576691150665283,-0.31193649768829346,0.0032066390849649906,0.0032386223319917917,0.8362869024276733,0.04438920319080353,0.08934658765792847
7,11.485084533691406,11.487690925598145,0.014870047569274902,0.8623606105879679,0.9068337678909302,0.8919637203216553,0.9286209940910339,0.8620215654373169,896,0,1,0.11243712902069092,-0.32732951641082764,0.0032184086740016937,0.0032634702511131763,0.8427836894989014,0.02556818164885044,0.05973011255264282
8,11.405028343200684,11.402478218078613,0.014835178852081299,0.8634990311942827,0.9061533212661743,0.891318142414093,0.9302769899368286,0.8462379574775696,1024,0,0,0.20762014389038086,-0.37517738342285156,0.0033191267866641283,0.0033540530130267143,0.8656468987464905,0.03515625,0.06846590340137482
9,11.39452838897705,11.415346145629883,0.01531064510345459,0.8695770278469572,0.8979184031486511,0.8826077580451965,0.9212765693664551,0.8267019987106323,1152,0,0,0.21975922584533691,-0.3197122812271118,0.0033905082382261753,0.0034444103948771954,0.8547340631484985,0.025426136329770088,0.06349431723356247
10,11.154370307922363,11.177443504333496,0.016089200973510742,0.8810241727223722,0.8808583617210388,0.8647691607475281,0.8993502855300903,0.7483134865760803,1280,0,1,0.41869693994522095,-0.20428431034088135,0.003964698873460293,0.004006292205303907,0.8806983232498169,0.02478693053126335,0.0661221593618393
11,11.16357707977295,11.273666381835938,0.01823204755783081,0.8784419356107828,0.8682457208633423,0.8500136733055115,0.8803598880767822,0.688291072845459,1408,0,0,0.5008358061313629,-0.1154177188873291,0.00433217640966177,0.004453451372683048,0.8747124075889587,0.03025568090379238,0.07741477340459824
12,10.98100757598877,11.115033149719238,0.023204386234283447,0.8543337491609237,0.8639060854911804,0.840701699256897,0.852896511554718,0.5811243653297424,1536,0,0,0.6372691988945007,0.06262880563735962,0.0052717807702720165,0.0055287545546889305,0.8924506306648254,0.04460227116942406,0.09090908616781235
13,10.835585594177246,10.930923461914062,0.04354625940322876,0.7494644375196539,0.8697335720062256,0.8261873126029968,0.8169368505477905,0.565228283405304,1664,0,0,0.6843024790287018,0.2832720875740051,0.005737570114433765,0.005985763389617205,0.902356743812561,0.045596588402986526,0.0988636314868927
14,10.681432723999023,10.722569465637207,0.0699608325958252,0.6345702289501196,0.8785127401351929,0.8085519075393677,0.7984631657600403,0.5524852871894836,1792,0,0,0.7309794425964355,0.39388370513916016,0.0061424775049090385,0.006480090785771608,0.915671169757843,0.045809656381607056,0.10774147510528564
15,10.705522537231445,10.783374786376953,0.0899994969367981,0.5740676017799592,0.878699541091919,0.7887000441551208,0.775971531867981,0.5432647466659546,1920,0,0,0.7456642389297485,0.45479029417037964,0.006423939019441605,0.006841713562607765,0.9197198748588562,0.08636363595724106,0.15546874701976776
16,10.555052757263184,10.618352890014648,0.11533141136169434,0.4942593387843499,0.8872868418693542,0.7719554305076599,0.7557574510574341,0.49374598264694214,2048,0,0,0.7882074564695358,0.5364396572113037,0.007016059942543507,0.007503478787839413,0.9358919858932495,0.056960225105285645,0.14367897808551788
17,10.6054048538208,10.707392692565918,0.12414026260375977,0.4524433732000307,0.897423505783081,0.7732832431793213,0.7601224780082703,0.4666094481945038,2176,0,0,0.8179391175508499,0.5694911181926727,0.006922847591340542,0.007627706043422222,0.9469764828681946,0.07677556574344635,0.17230112850666046
18,10.326584815979004,10.362604141235352,0.14997071027755737,0.40646794441287387,0.8972957134246826,0.7473250031471252,0.727817714214325,0.36193886399269104,2304,0,0,0.8456128984689713,0.6204218566417694,0.007543602026998997,0.00831297691911459,0.9524481892585754,0.08792613446712494,0.20774146914482117
19,10.167719841003418,10.165966033935547,0.1803452968597412,0.3569407838597385,0.8998963236808777,0.7195510268211365,0.7080615162849426,0.3048693537712097,2432,0,0,0.8573961555957794,0.6552152931690216,0.007707681506872177,0.008514750748872757,0.956790566444397,0.09488636255264282,0.220596581697464
20,10.006551742553711,9.980703353881836,0.212755024433136,0.3277140574938463,0.8962899446487427,0.6835349202156067,0.66965651512146,0.25513410568237305,2560,0,1,0.8540384471416473,0.6846970319747925,0.008293732069432735,0.008826094679534435,0.9599480032920837,0.09723011404275894,0.21953123807907104
21,10.151268005371094,10.204632759094238,0.19714397192001343,0.3366639251004923,0.8999432325363159,0.7027992606163025,0.6799455881118774,0.2606894075870514,2688,0,0,0.8614103198051453,0.6856827139854431,0.007870171219110489,0.00898116547614336,0.9640069603919983,0.10085226595401764,0.2316761314868927
22,9.919472694396973,9.896349906921387,0.20784854888916016,0.3141244973631974,0.9048073291778564,0.6969587802886963,0.6668034195899963,0.2062176764011383,2816,0,0,0.8776909708976746,0.7127017676830292,0.008248616941273212,0.008934258483350277,0.9680750966072083,0.11889204382896423,0.26072442531585693
23,9.847954750061035,9.800115585327148,0.24077951908111572,0.2789650221436226,0.9068435430526733,0.6660640239715576,0.6439564228057861,0.2303016483783722,2944,0,0,0.8747471123933792,0.7369875311851501,0.008352823555469513,0.009360427036881447,0.9741714000701904,0.1442471593618393,0.29999998211860657
24,9.716999053955078,9.63109016418457,0.27124667167663574,0.26237598245560007,0.903516411781311,0.6322697401046753,0.618932843208313,0.20647285878658295,3072,0,1,0.876013271510601,0.7451780736446381,0.00893066730350256,0.009432421997189522,0.974814236164093,0.13359375298023224,0.29311078786849976
25,9.792570114135742,9.746471405029297,0.26727527379989624,0.25902556202227056,0.9065674543380737,0.6392921805381775,0.6142803430557251,0.22175246477127075,3200,0,1,0.8777215406298637,0.7568377405405045,0.00836509931832552,0.009703743271529675,0.9806888699531555,0.17265623807907104,0.36249998211860657
26,9.69525146484375,9.652423858642578,0.256428599357605,0.26088953882712873,0.9094864130020142,0.6530578136444092,0.6124582886695862,0.15825754404067993,3328,0,0,0.8886033594608307,0.76561239361763,0.008633315563201904,0.009636175818741322,0.9827259182929993,0.1970880627632141,0.39708805084228516
27,9.514242172241211,9.420156478881836,0.28651541471481323,0.23945875013132065,0.9097897410392761,0.6232743263244629,0.584309458732605,0.12846744060516357,3456,0,1,0.8939359933137894,0.7819676995277405,0.00916709378361702,0.009775025770068169,0.9851617813110352,0.2184659093618393,0.43707385659217834
28,9.535680770874023,9.466622352600098,0.32136547565460205,0.215744691683061,0.9115939736366272,0.5902284979820251,0.5741037130355835,0.13986872136592865,3584,0,0,0.8958687335252762,0.7915227264165878,0.009429829195141792,0.010316014289855957,0.9870663285255432,0.25532668828964233,0.4762073755264282
29,9.57131290435791,9.513616561889648,0.3502544164657593,0.20291445255672474,0.9108355641365051,0.5605811476707458,0.556717038154602,0.08996352553367615,3712,0,0,0.8993349075317383,0.7978154271841049,0.009439965710043907,0.010053149424493313,0.9859711527824402,0.23025567829608917,0.4544034004211426
30,9.406597137451172,9.296710968017578,0.33992141485214233,0.19987353283923126,0.9150868058204651,0.5751653909683228,0.5684030055999756,0.07845831662416458,3840,0,0,0.9053295031189919,0.8025266975164413,0.009133849292993546,0.01023473497480154,0.9882352948188782,0.251846581697464,0.4895596504211426
31,9.172113418579102,8.9852876663208,0.41885602474212646,0.1668053301310906,0.9161451458930969,0.49728912115097046,0.4794514775276184,0.08824564516544342,3968,0,1,0.9056649208068848,0.8383160382509232,0.010315495543181896,0.010657180100679398,0.9892504215240479,0.29012784361839294,0.5196022391319275
32,9.41134262084961,9.312549591064453,0.39653337001800537,0.1718886632950828,0.9176927208900452,0.5211593508720398,0.5238702297210693,0.08049337565898895,4096,0,0,0.9090449512004852,0.8265833854675293,0.00957896001636982,0.010547760874032974,0.9887736439704895,0.2960227131843567,0.5465908646583557
33,9.104043006896973,8.923128128051758,0.4537372589111328,0.14724618848648466,0.9216525554656982,0.46791529655456543,0.4713006019592285,0.04112493246793747,4224,0,0,0.9170846864581108,0.8512861132621765,0.009850377216935158,0.010309364646673203,0.9914805889129639,0.3125,0.5802556872367859
34,9.009526252746582,8.81075382232666,0.48351743817329407,0.13643165363315649,0.923611044883728,0.44009360671043396,0.4228547215461731,0.0386730395257473,4352,0,0,0.9195964708924294,0.8671669512987137,0.010156105272471905,0.010495423339307308,0.9933419823646545,0.3645596504211426,0.6412642002105713
