step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,16.498714447021484,19.831022262573242,0.011184636037796736,0.9887405308421725,0.017830874770879745,0.00664623873308301,0.36270222067832947,0.010117842815816402,128,0,1,-0.16594314575195312,-0.548713207244873,0.012850634753704071,0.013668149709701538,0.5479816794395447,0.0029829544946551323,0.008806818164885044
2,18.904476165771484,22.949047088623047,0.0376286506652832,0.9657435403795493,-0.060810916125774384,-0.09843956679105759,0.689757227897644,-0.050755053758621216,256,0,0,-1.5111045837402344,-2.5119411945343018,0.00669049983844161,0.0073415483348071575,0.4686524569988251,0.003124999813735485,0.008167613297700882
3,14.006314277648926,15.79412841796875,0.027864128351211548,0.948113972176172,0.4908384680747986,0.46297433972358704,0.7764846086502075,0.45816752314567566,384,0,0,-0.6273250579833984,-1.341242790222168,0.005114775151014328,0.005394131876528263,0.6722410321235657,0.005610795225948095,0.01534090843051672
4,11.91777515411377,12.356358528137207,0.021086394786834717,0.913306507936119,0.7778571248054504,0.7567707300186157,0.8691614270210266,0.7378209829330444,512,0,1,-0.29390406608581543,-0.7493491172790527,0.00377473933622241,0.003858389100059867,0.785068690776825,0.02230113558471203,0.05276988446712494
5,11.557306289672852,11.677009582519531,0.014940857887268066,0.8926709629795191,0.8757347464561462,0.8607938885688782,0.911676824092865,0.8441067337989807,640,0,0,-0.11637508869171143,-0.4366612434387207,0.0032804026268422604,0.003329626750200987,0.7813556790351868,0.02286931686103344,0.061647724360227585
6,11.41624927520752,11.45107650756836,0.015892326831817627,0.8578915445604924,0.9040599465370178,0.8881676197052002,0.9239659905433655,0.8676441311836243,768,0,0,0.03579598665237427,-0.29034221172332764,0.0032033356837928295,0.003236067481338978,0.8353475332260132,0.050142042338848114,0.08991476893424988
7,11.347757339477539,11.355931282043457,0.014672517776489258,0.8605913670670012,0.9094242453575134,0.8947517275810242,0.9300251007080078,0.8653979301452637,896,0,1,0.13679593801498413,-0.31771695613861084,0.003207949921488762,0.0032490547746419907,0.841339647769928,0.023153407499194145,0.05419033765792847
8,11.274182319641113,11.277337074279785,0.014466345310211182,0.8627737118974493,0.9090467095375061,0.8945803642272949,0.9320213794708252,0.8510101437568665,1024,0,0,0.20749342441558838,-0.36647891998291016,0.0032963729463517666,0.003330591833218932,0.8662651777267456,0.035866476595401764,0.06690340489149094
9,11.268952369689941,11.294242858886719,0.01458197832107544,0.8713354303658798,0.9012486934661865,0.8866667151451111,0.9238840341567993,0.8338510990142822,1152,0,0,0.2165425419807434,-0.32023489475250244,0.003353215055540204,0.003403276205062866,0.8555626273155212,0.026633521541953087,0.0627840906381607
10,11.051753044128418,11.078804016113281,0.015091478824615479,0.8838198625806102,0.8851942420005798,0.8701027631759644,0.9032227396965027,0.7632961273193359,1280,0,1,0.40847498178482056,-0.2060253620147705,0.0038608103059232235,0.0039014751091599464,0.8792315125465393,0.02776988595724106,0.0676136314868927
