step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,17.512939453125,20.72047996520996,0.011184636037796736,0.9887405308421725,0.017830874770879745,0.00664623873308301,0.36270222067832947,0.010117842815816402,128,0,1,-0.16594314575195312,-0.548713207244873,0.012850634753704071,0.013668149709701538,0.5479816794395447,0.0029829544946551323,0.008806818164885044
2,19.797433853149414,23.638601303100586,0.03906969726085663,0.9643473179329303,-0.05677204579114914,-0.09584174305200577,0.6701305508613586,-0.06074844300746918,256,0,0,-1.3333847522735596,-2.2813825607299805,0.007101021707057953,0.008199602365493774,0.522454559803009,0.004687499720603228,0.012642045505344868
3,15.451515197753906,17.44853401184082,0.03505682945251465,0.9457651287489881,0.3886677324771881,0.35361090302467346,0.7043158411979675,0.31037548184394836,384,0,0,-0.3387352228164673,-1.1035356521606445,0.006658507976680994,0.007809530012309551,0.7625274658203125,0.012855113483965397,0.033309657126665115
4,12.976828575134277,13.83393669128418,0.03038269281387329,0.9163095536948448,0.6673461198806763,0.636963427066803,0.7739354968070984,0.5357163548469543,512,0,1,0.1270657181739807,-0.48948025703430176,0.005540558602660894,0.006342432461678982,0.8606756925582886,0.04311079531908035,0.08970170468091965
5,12.071470260620117,12.403999328613281,0.02105480432510376,0.9028672289741033,0.8042916655540466,0.7832368612289429,0.8458280563354492,0.6828465461730957,640,0,0,0.2826731204986572,-0.28165745735168457,0.004308266099542379,0.0048873755149543285,0.8707506656646729,0.05703124776482582,0.11889204382896423
6,11.660643577575684,11.7998628616333,0.021794021129608154,0.8664841629256687,0.8585622906684875,0.8367682695388794,0.868570864200592,0.719337522983551,768,0,0,0.45537644624710083,-0.08815395832061768,0.00416009034961462,0.0046310266479849815,0.9128500819206238,0.07819601893424988,0.15014204382896423
7,11.428571701049805,11.502131462097168,0.01666051149368286,0.8798034314355757,0.8780499696731567,0.8613894581794739,0.8821080923080444,0.6973838210105896,896,0,1,0.5927664339542389,-0.043337345123291016,0.004269446711987257,0.004819635301828384,0.9246068596839905,0.05838067829608917,0.13032670319080353
8,11.263513565063477,11.313876152038574,0.013409435749053955,0.8927892856479092,0.8883339166641235,0.8749244809150696,0.8866367936134338,0.6582589745521545,1024,0,0,0.6533226668834686,0.004645049571990967,0.004612566903233528,0.005143344402313232,0.9390075206756592,0.07144886255264282,0.15625
9,11.183685302734375,11.220168113708496,0.013366878032684326,0.8922965723589106,0.8892586827278137,0.8758918046951294,0.8799076676368713,0.6313422322273254,1152,0,0,0.6790986955165863,0.07076799869537354,0.004636256955564022,0.005339226219803095,0.9355135560035706,0.06661931425333023,0.16015625
10,10.995156288146973,11.087562561035156,0.0113411545753479,0.9112394374869965,0.8835687041282654,0.8722275495529175,0.8524484038352966,0.48755156993865967,1280,0,1,0.7634971886873245,0.20767885446548462,0.005905393976718187,0.0067293159663677216,0.9401729106903076,0.06605113297700882,0.1583806723356247
