step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,16.2283992767334,19.724809646606445,-0.007139712572097778,1.00735347923509,0.021930426359176636,0.029070138931274414,0.3826095163822174,0.014518339186906815,128,0,0,-0.20045208930969238,-0.5911967754364014,0.012357738800346851,0.013551684096455574,0.5485392808914185,0.002414772752672434,0.006747158709913492
2,15.866095542907715,18.936941146850586,0.01149149239063263,0.9867924416172403,0.1414220929145813,0.12993060052394867,0.6874300837516785,0.08930844068527222,256,0,0,-1.0738012790679932,-1.8192546367645264,0.006625588983297348,0.007215915247797966,0.6904733777046204,0.006036931648850441,0.016122158616781235
3,12.239008903503418,13.377963066101074,0.007996737957000732,0.9808304093550541,0.5908392667770386,0.5828425288200378,0.7745749950408936,0.5248384475708008,384,0,0,-0.30665838718414307,-0.8605183362960815,0.005144758149981499,0.005397029221057892,0.7118561863899231,0.008664772845804691,0.02265624888241291
4,11.200664520263672,11.337158203125,0.01075291633605957,0.9467592947828807,0.8087849617004395,0.7980320453643799,0.8518570065498352,0.7526558041572571,512,0,1,0.08023524284362793,-0.3163405656814575,0.004040449392050505,0.004132100380957127,0.7668857574462891,0.025071021169424057,0.044034089893102646
5,11.1715087890625,11.216634750366211,0.009881317615509033,0.9332827329365522,0.8617739677429199,0.8518926501274109,0.8831642866134644,0.8178055286407471,640,0,0,0.12044906616210938,-0.20441746711730957,0.0035996048245579004,0.0036622523330152035,0.7448709607124329,0.0181818176060915,0.03693181648850441
6,11.059228897094727,11.058176040649414,0.014588236808776855,0.8918997465661883,0.8796372413635254,0.8650490045547485,0.8826589584350586,0.8248103857040405,768,0,0,0.26296138763427734,-0.046216487884521484,0.0036657005548477173,0.003717824351042509,0.796726405620575,0.03536931797862053,0.05767045170068741
7,10.977882385253906,10.973649978637695,0.016408562660217285,0.87573476239786,0.8843638896942139,0.8679553270339966,0.8739323616027832,0.8120306730270386,896,0,0,0.3870406150817871,0.06962871551513672,0.003838194068521261,0.00390747981145978,0.7815011739730835,0.007812499534338713,0.022230112925171852
8,10.810750961303711,10.79982852935791,0.022555887699127197,0.8444104742987936,0.8775854110717773,0.8550295233726501,0.8548249006271362,0.7619667053222656,1024,0,1,0.5042220652103424,0.1438797116279602,0.004350169096142054,0.004438772797584534,0.8290390968322754,0.018892044201493263,0.03735795244574547
9,10.787125587463379,10.826550483703613,0.029968559741973877,0.8242679769264538,0.8594329953193665,0.8294644355773926,0.8120750784873962,0.7132460474967957,1152,0,0,0.5316126048564911,0.244543194770813,0.004794194363057613,0.004937061108648777,0.8268661499023438,0.018252840265631676,0.045383520424366
10,10.54545783996582,10.606721878051758,0.05166018009185791,0.7510038545371179,0.8441863656044006,0.7925261855125427,0.7627220153808594,0.5886358022689819,1280,0,1,0.6436531841754913,0.33753782510757446,0.006239807233214378,0.006384135223925114,0.8672945499420166,0.02109374850988388,0.05511363595724106
11,10.476576805114746,10.565937995910645,0.07879364490509033,0.6660988565496442,0.8428146839141846,0.7640210390090942,0.7407034635543823,0.5593018531799316,1408,0,0,0.6716565489768982,0.39075350761413574,0.00651719281449914,0.0069060130044817924,0.883961021900177,0.02812499925494194,0.07507102191448212
12,10.315320014953613,10.407866477966309,0.09527993202209473,0.6185262928800318,0.8455119132995605,0.7502319812774658,0.7315248847007751,0.45415449142456055,1536,0,1,0.7413643896579742,0.41907960176467896,0.007334486581385136,0.007759829051792622,0.9136143922805786,0.03210227191448212,0.08316761255264282
13,10.188532829284668,10.233236312866211,0.11205941438674927,0.5771873285175823,0.8470261693000793,0.7349667549133301,0.6895277500152588,0.46801719069480896,1664,0,1,0.7417592704296112,0.5058368146419525,0.007687644101679325,0.008106165565550327,0.923063337802887,0.03863636404275894,0.09936079382896423
14,10.045233726501465,10.03862190246582,0.11812376976013184,0.5467956142868414,0.8574824929237366,0.7393587231636047,0.6822263598442078,0.45365920662879944,1792,0,1,0.7593544125556946,0.5500167310237885,0.007813396863639355,0.008386468514800072,0.9322947859764099,0.03735795244574547,0.09715908765792847
15,10.007201194763184,10.02016544342041,0.1255021095275879,0.5297081704979195,0.858642041683197,0.7331399321556091,0.6720942258834839,0.4424992799758911,1920,0,0,0.764011561870575,0.5679548978805542,0.00794594082981348,0.008650628849864006,0.9405489563941956,0.09609374403953552,0.17535510659217834
16,9.847148895263672,9.87833309173584,0.15684747695922852,0.46841634791075576,0.8617904782295227,0.7049430012702942,0.6571558117866516,0.3553832769393921,2048,0,0,0.7932628244161606,0.5958455801010132,0.008472559042274952,0.00927354022860527,0.9528483748435974,0.06690340489149094,0.16683238744735718
17,9.698177337646484,9.727062225341797,0.1950429081916809,0.41526678517590904,0.8614841103553772,0.6664412021636963,0.6392087340354919,0.23692527413368225,2176,0,1,0.8181485533714294,0.6151208281517029,0.00856524333357811,0.009356606751680374,0.9578601717948914,0.10710226744413376,0.2142755687236786
18,9.629947662353516,9.676994323730469,0.21462762355804443,0.39259984218088606,0.8612730503082275,0.6466454267501831,0.6325639486312866,0.1893990933895111,2304,0,0,0.8275463879108429,0.6213049590587616,0.008591677993535995,0.009489372372627258,0.961027204990387,0.08615056425333023,0.20774146914482117
19,9.478922843933105,9.45626163482666,0.21830534934997559,0.3721927373966512,0.8705786466598511,0.6522732973098755,0.625390350818634,0.16999895870685577,2432,0,0,0.8428001254796982,0.6530835926532745,0.00867118127644062,0.009562911465764046,0.9654561281204224,0.10376419872045517,0.2413352131843567
20,9.428845405578613,9.406789779663086,0.21876192092895508,0.350286379387411,0.8820567727088928,0.6632948517799377,0.6139717102050781,0.20483608543872833,2560,0,0,0.8501894474029541,0.6929268836975098,0.008994379080832005,0.01013367809355259,0.9733583927154541,0.15973010659217834,0.3011363446712494
21,9.268935203552246,9.17399787902832,0.21104305982589722,0.34309822854155325,0.8897727131843567,0.6787296533584595,0.6140508055686951,0.16804450750350952,2688,0,1,0.8658169358968735,0.7130573391914368,0.00904647633433342,0.009905623272061348,0.9762012362480164,0.1391335129737854,0.3079545497894287
22,9.193930625915527,9.087111473083496,0.21669155359268188,0.3210142835211145,0.8975514769554138,0.6808599233627319,0.6228200793266296,0.14279857277870178,2816,0,0,0.8795816227793694,0.727101743221283,0.009009305387735367,0.009726627729833126,0.9792131781578064,0.16370737552642822,0.35589486360549927
23,9.0551176071167,8.899017333984375,0.2487218976020813,0.28830445551942285,0.899243950843811,0.6505220532417297,0.600419819355011,0.1535785049200058,2944,0,1,0.881657138466835,0.7464103698730469,0.009433513507246971,0.010240618139505386,0.9825801253318787,0.18799714744091034,0.38480111956596375
24,9.068459510803223,8.931002616882324,0.2676188349723816,0.2759615938169277,0.8979991674423218,0.6303803324699402,0.5821801424026489,0.19297188520431519,3072,0,0,0.8731759190559387,0.7541364431381226,0.009862013161182404,0.011033346876502037,0.9861215353012085,0.2064630687236786,0.42741474509239197
25,8.972318649291992,8.844756126403809,0.30774831771850586,0.25536551435298704,0.8944605588912964,0.5867122411727905,0.5491195917129517,0.1181805431842804,3200,0,0,0.8808159753680229,0.7644181847572327,0.00966527871787548,0.01132039912045002,0.9876970648765564,0.24176135659217834,0.4804687201976776
26,8.876275062561035,8.73813247680664,0.3394297957420349,0.2386686410230289,0.8935926556587219,0.554162859916687,0.5230156183242798,0.03604232892394066,3328,0,1,0.8889427855610847,0.7763280868530273,0.009944855235517025,0.010548303835093975,0.9864320158958435,0.24467328190803528,0.45575281977653503
27,8.779147148132324,8.617538452148438,0.3866163492202759,0.21213710560978016,0.895901083946228,0.5092847347259521,0.4791373908519745,0.03355368971824646,3456,0,1,0.8923695310950279,0.7992392331361771,0.010516094043850899,0.01082628034055233,0.9885579347610474,0.2770596444606781,0.5089488625526428
28,8.680922508239746,8.476912498474121,0.4209533631801605,0.19290342926236767,0.899388313293457,0.4784349501132965,0.44947636127471924,0.04311142489314079,3584,0,1,0.8925544992089272,0.8158769756555557,0.01086406596004963,0.010890889912843704,0.9896359443664551,0.28267043828964233,0.530823826789856
29,8.873387336730957,8.771295547485352,0.39828574657440186,0.19219321812934723,0.9052399396896362,0.5069541931152344,0.4878714680671692,0.052912794053554535,3712,0,0,0.897332638502121,0.8135780692100525,0.010392325930297375,0.01157383807003498,0.9888837933540344,0.2935369312763214,0.5489346385002136
30,8.67816162109375,8.465688705444336,0.3709758520126343,0.187924438691899,0.9141515493392944,0.5431756973266602,0.5265165567398071,0.07848706841468811,3840,0,0,0.9061776995658875,0.8175771683454514,0.010123207233846188,0.011663380078971386,0.9925832152366638,0.33245736360549927,0.605823814868927
31,8.55213451385498,8.250621795654297,0.435003399848938,0.15580597343814795,0.9197149872779846,0.48471158742904663,0.4558678865432739,0.12143441289663315,3968,0,1,0.906291238963604,0.8515125960111618,0.011080650612711906,0.0116590466350317,0.9934833645820618,0.37876418232917786,0.6401278376579285
32,8.660907745361328,8.46850299835205,0.3765431046485901,0.17743792612657963,0.9187744855880737,0.5422313809394836,0.513252854347229,0.043501704931259155,4096,0,0,0.9152210429310799,0.8324780911207199,0.010346388444304466,0.011573749594390392,0.9922543168067932,0.38842329382896423,0.6676136255264282
33,8.430048942565918,8.139593124389648,0.40390610694885254,0.1581488771624518,0.9241228103637695,0.520216703414917,0.48553282022476196,0.03979326784610748,4224,0,0,0.9197046160697937,0.8517871052026749,0.010541721247136593,0.011068431660532951,0.9949472546577454,0.40674713253974915,0.6954545378684998
