step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,18.038497924804688,21.49604034423828,0.028077317401766777,0.9733213102469063,-0.024347582831978798,-0.052424900233745575,0.3625718057155609,-0.0020250091329216957,128,0,0,-0.23312461376190186,-0.6177994012832642,0.012633152306079865,0.013928111642599106,0.40424248576164246,0.0008522727293893695,0.002698863623663783
2,19.458160400390625,23.24828338623047,0.0313434936106205,0.9710833474782674,-0.05258188769221306,-0.08392538130283356,0.6003733277320862,-0.08312851935625076,256,0,1,-1.0465755462646484,-1.6962645053863525,0.008464900776743889,0.00973431020975113,0.6442830562591553,0.009801136329770088,0.021946022287011147
3,16.279104232788086,18.85724449157715,0.04794834554195404,0.9402961399658293,0.2448454052209854,0.19689705967903137,0.5716113448143005,0.11530502885580063,384,0,0,-0.23923468589782715,-0.7826306819915771,0.009565507993102074,0.01132294163107872,0.7942123413085938,0.027414772659540176,0.06747158616781235
4,13.659296989440918,15.098344802856445,0.07019463181495667,0.8720833038027034,0.5214419364929199,0.45124730467796326,0.6115060448646545,0.318119078874588,512,0,0,0.15195518732070923,-0.2405482530593872,0.008410408161580563,0.01014001201838255,0.8490868210792542,0.10348010808229446,0.16115055978298187
5,12.295929908752441,12.957718849182129,0.05331254005432129,0.8500677216038621,0.697735071182251,0.6444225311279297,0.72719806432724,0.4902459681034088,640,0,0,0.33753883838653564,-0.11765086650848389,0.0060744620859622955,0.007527084555476904,0.8817589282989502,0.08607954531908035,0.1592329442501068
6,11.611778259277344,11.887002944946289,0.04880189895629883,0.8033743550457426,0.8006048798561096,0.7518029808998108,0.7835480570793152,0.5844101905822754,768,0,0,0.5011723041534424,0.06927013397216797,0.00518864206969738,0.006379715166985989,0.9266635775566101,0.09985794872045517,0.19573862850666046
7,11.275203704833984,11.381119728088379,0.033376216888427734,0.8197921604633732,0.8481666445732117,0.8147904276847839,0.822245180606842,0.6075507998466492,896,0,1,0.6024310290813446,0.14056271314620972,0.004771004430949688,0.006078677251935005,0.9331420660018921,0.07187499850988388,0.16448862850666046
8,11.043956756591797,11.073569297790527,0.02803093194961548,0.818136291531994,0.8738994002342224,0.8458684682846069,0.839806854724884,0.5985029935836792,1024,0,1,0.6846889853477478,0.20643949508666992,0.004938180558383465,0.006150371395051479,0.9479126930236816,0.09211647510528564,0.19566760957241058
9,10.935525894165039,10.947711944580078,0.029013514518737793,0.8108136049599214,0.8756541013717651,0.8466405868530273,0.8376966714859009,0.554334282875061,1152,0,1,0.7181500792503357,0.22869092226028442,0.004807035904377699,0.006522778887301683,0.9530503153800964,0.10213068127632141,0.2286931723356247
10,10.79245376586914,10.81304931640625,0.03304183483123779,0.7880956667694938,0.8771137595176697,0.8440719246864319,0.8290080428123474,0.48901596665382385,1280,0,1,0.7538436204195023,0.2779724597930908,0.005464801099151373,0.0072407191619277,0.9573072791099548,0.10227272659540176,0.2367897629737854
11,10.624260902404785,10.632291793823242,0.04211580753326416,0.7310068863753774,0.8855474591255188,0.8434316515922546,0.8297129273414612,0.4118266701698303,1408,0,0,0.7973359525203705,0.32508933544158936,0.005628170445561409,0.007898075506091118,0.9641931653022766,0.13622158765792847,0.2939630448818207
12,10.493042945861816,10.53976058959961,0.05248212814331055,0.6894653220217638,0.8834764361381531,0.8309943079948425,0.807913064956665,0.2931095361709595,1536,0,1,0.8239246010780334,0.3915157914161682,0.006856874562799931,0.008948792703449726,0.9670050740242004,0.13437499105930328,0.2860085070133209
13,10.37266731262207,10.390260696411133,0.07653045654296875,0.6024908716131161,0.8840054273605347,0.8074749708175659,0.7789657115936279,0.2824859917163849,1664,0,0,0.8387808501720428,0.4726164937019348,0.007163093890994787,0.009364886209368706,0.971035897731781,0.15752840042114258,0.32073861360549927
14,10.279952049255371,10.282556533813477,0.08952361345291138,0.5517711663624174,0.8897961378097534,0.800272524356842,0.7696151733398438,0.22763508558273315,1792,0,1,0.8509653955698013,0.5169494450092316,0.007241163402795792,0.009444989264011383,0.9745910167694092,0.17137783765792847,0.3455255627632141
15,10.18112850189209,10.169839859008789,0.09963935613632202,0.5176980784333413,0.893048107624054,0.7934087514877319,0.7597896456718445,0.24054114520549774,1920,0,0,0.8559348285198212,0.5516673028469086,0.0071087796241045,0.009827876463532448,0.9775018692016602,0.2238636314868927,0.40497156977653503
