model,step_k,participation_ratio,H
k=1: transformer (β),5,34.7367,384
k=1: transformer (β),10,24.4702,384
k=1: transformer (β),15,14.0004,384
k=1: transformer (β),20,14.2495,384
k=1: transformer (β),25,9.8126,384
k=1: transformer (β),30,5.8686,384
k=1: transformer (β),35,5.3552,384
k=1: transformer (β),40,3.7500,384
k=1: transformer (β),45,3.0742,384
k=1: transformer (β),50,3.1720,384
k=12: transformer,5,37.9388,384
k=12: transformer,10,37.3005,384
k=12: transformer,15,49.3933,384
k=12: transformer,20,51.4151,384
k=12: transformer,25,50.5501,384
k=12: transformer,30,44.0367,384
k=12: transformer,35,52.1700,384
k=12: transformer,40,52.3026,384
k=12: transformer,45,53.5799,384
k=12: transformer,50,55.3084,384
k=1: linear,5,45.3395,384
k=1: linear,10,22.2854,384
k=1: linear,15,29.0457,384
k=1: linear,20,20.2256,384
k=1: linear,25,23.4023,384
k=1: linear,30,20.0255,384
k=1: linear,35,5.4058,384
k=1: linear,40,5.8095,384
k=1: linear,45,4.6329,384
k=1: linear,50,4.8591,384
k=12: linear,5,37.9332,384
k=12: linear,10,42.4226,384
k=12: linear,15,48.5826,384
k=12: linear,20,49.3651,384
k=12: linear,25,51.2815,384
k=12: linear,30,47.8726,384
k=12: linear,35,49.2848,384
k=12: linear,40,49.6052,384
k=12: linear,45,47.2445,384
k=12: linear,50,51.4115,384
