head,domain,tasks,delta,ci_lo,ci_hi,reliable
2L,Energy,32,-0.0124,-0.0654,0.0365,0
2L,Web/CloudOps,20,0.0640,0.0211,0.1191,1
2L,Nature,15,-0.0084,-0.0229,0.0071,0
2L,Transport,15,0.0634,0.0242,0.1121,1
2L,Econ/Fin,6,-0.1183,-0.4283,0.0088,0
2L,Healthcare,5,-0.0799,-0.1359,-0.0272,1
2L,Sales,4,0.0034,-0.0060,0.0150,0
6L,Energy,32,-0.0144,-0.0701,0.0386,0
6L,Web/CloudOps,20,0.0789,0.0271,0.1424,1
6L,Nature,15,0.0120,-0.0121,0.0354,0
6L,Transport,15,0.0436,-0.0032,0.0977,0
6L,Econ/Fin,6,-0.1362,-0.5065,0.0040,0
6L,Healthcare,5,-0.0310,-0.0871,0.0142,0
6L,Sales,4,0.0178,0.0048,0.0342,1
