head,domain,tasks,delta,ci_lo,ci_hi,reliable
2L,Energy,32,-0.0658,-0.1228,-0.0178,1
2L,Web/CloudOps,20,-0.0001,-0.0245,0.0239,0
2L,Nature,15,-0.0609,-0.0904,-0.0337,1
2L,Transport,15,0.0364,0.0073,0.0681,1
2L,Econ/Fin,6,-0.0251,-0.0866,0.0246,0
2L,Healthcare,5,-0.0887,-0.2249,-0.0072,1
2L,Sales,4,-0.0224,-0.0521,0.0029,0
6L,Energy,32,-0.0887,-0.1415,-0.0415,1
6L,Web/CloudOps,20,0.0108,-0.0294,0.0437,0
6L,Nature,15,-0.0270,-0.0601,0.0021,0
6L,Transport,15,0.0056,-0.0200,0.0320,0
6L,Econ/Fin,6,0.0300,-0.0453,0.1851,0
6L,Healthcare,5,-0.0286,-0.1249,0.0317,0
6L,Sales,4,-0.0211,-0.0443,-0.0028,1
