step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3
1,13.899076461791992,25.746726989746094,-0.0009818784892559052,1.0009625160911433,-0.021098319441080093,-0.020116440951824188,0.5345382690429688,-0.021700112149119377,2032,16,0,-0.45315825939178467,-1.321547508239746,0.012099111452698708,0.03028722107410431,0.4845186173915863,0.0016068891854956746,0.005379971582442522
2,13.505781173706055,25.19930076599121,-0.0035167932510375977,1.0038886125257405,0.09210067242383957,0.09561746567487717,0.6173486113548279,0.004996960982680321,4064,32,0,-0.39499998092651367,-1.4913403987884521,0.008899717591702938,0.019873585551977158,0.8511766791343689,0.03189808130264282,0.07751242816448212
3,11.932558059692383,22.8562068939209,-0.005648910999298096,1.0077487312436786,0.26534000039100647,0.27098891139030457,0.662886917591095,0.02499391697347164,6096,48,1,-0.08373570442199707,-1.2843258380889893,0.0076477001421153545,0.01853063330054283,0.9025852084159851,0.03528941795229912,0.08024679869413376
4,9.569892883300781,19.76165008544922,-0.007503092288970947,1.0147644275595533,0.48430976271629333,0.4918128550052643,0.6760799288749695,0.03333327919244766,8128,64,0,0.4187798500061035,-0.6191785335540771,0.0077635012567043304,0.020631680265069008,0.9330552816390991,0.08979935944080353,0.18088600039482117
5,8.49357795715332,18.244808197021484,-0.009014308452606201,1.0240736457609227,0.6165385246276855,0.6255528330802917,0.706621527671814,0.031507231295108795,10160,80,0,0.5870448350906372,-0.32113003730773926,0.00711292028427124,0.01761922985315323,0.9467830061912537,0.108833447098732,0.2063121348619461
6,7.881534576416016,17.36528778076172,-0.008597970008850098,1.0290996752133303,0.695935845375061,0.7045338153839111,0.7250480651855469,0.02874024026095867,12192,96,0,0.6758550405502319,-0.11202621459960938,0.0065215835347771645,0.015935154631733894,0.9588515758514404,0.1268732249736786,0.25422585010528564
7,7.565042495727539,16.91954803466797,-0.008748412132263184,1.033962121823904,0.7336583733558655,0.7424067854881287,0.7436554431915283,0.030846422538161278,14224,112,0,0.7178618609905243,-0.044348835945129395,0.006212449166923761,0.015489362180233002,0.965991199016571,0.1445578783750534,0.28912463784217834
8,7.404916763305664,16.682619094848633,-0.007998466491699219,1.0328218413759385,0.7483081221580505,0.7563065886497498,0.750589907169342,0.03434007242321968,16256,128,0,0.7358400225639343,-0.013657927513122559,0.0060424646362662315,0.015641283243894577,0.9720444083213806,0.189399853348732,0.34754082560539246
9,7.213300704956055,16.405195236206055,-0.006700754165649414,1.0295163307330852,0.7662807106971741,0.7729814648628235,0.759207546710968,0.026230592280626297,18288,144,1,0.7535548061132431,0.02463829517364502,0.005862640682607889,0.015217149630188942,0.9779364466667175,0.2193892002105713,0.39616477489471436
10,7.058170318603516,16.210533142089844,-0.005674183368682861,1.025637006785134,0.7729979753494263,0.7786721587181091,0.7621057629585266,0.027983402833342552,20320,160,0,0.7651012986898422,0.04162025451660156,0.005788359325379133,0.016073137521743774,0.9818452000617981,0.2675071060657501,0.4549804627895355
11,6.97551155090332,16.07893180847168,-0.004761219024658203,1.0225908810669864,0.7844803333282471,0.7892415523529053,0.7646860480308533,0.02498660795390606,22352,176,1,0.7756377756595612,0.08051037788391113,0.005738615524023771,0.015567637048661709,0.9817817807197571,0.26124823093414307,0.45459869503974915
12,6.835731506347656,15.918829917907715,-0.004779815673828125,1.0243802778534459,0.7991676330566406,0.8039474487304688,0.7735219597816467,0.02795221470296383,24384,192,0,0.7956341505050659,0.10940814018249512,0.005540614016354084,0.015834584832191467,0.9867094159126282,0.3105202317237854,0.5143288373947144
13,6.699623107910156,15.708822250366211,-0.004353165626525879,1.0231027257382472,0.8072203397750854,0.8115735054016113,0.773120641708374,0.023956960067152977,26416,208,0,0.7996921390295029,0.14644193649291992,0.0055722082033753395,0.015959814190864563,0.988892138004303,0.36563387513160706,0.5876597762107849
14,6.61480712890625,15.594364166259766,-0.0038534998893737793,1.021359443982462,0.8157345056533813,0.8195880055427551,0.7769762277603149,0.019837340340018272,28448,224,1,0.8092087209224701,0.16987061500549316,0.005637414753437042,0.015853891149163246,0.9892436265945435,0.39510828256607056,0.6071910262107849
15,6.549520492553711,15.536635398864746,-0.002399921417236328,1.014006677035541,0.8262588381767273,0.8286587595939636,0.7819511890411377,0.020524924620985985,30480,240,0,0.8234099298715591,0.19969183206558228,0.0055329143069684505,0.0157835204154253,0.9910416603088379,0.4111061692237854,0.6326615810394287
16,6.449440956115723,15.384943962097168,-0.001424551010131836,1.0084464682983547,0.8299190402030945,0.8313435912132263,0.7786682844161987,0.019902583211660385,32512,256,0,0.8246235847473145,0.22864705324172974,0.005600646138191223,0.01596027985215187,0.9922072887420654,0.4698241949081421,0.6865056753158569
17,6.387957572937012,15.304611206054688,-0.0004534125328063965,1.0027139457638972,0.832478940486908,0.8329323530197144,0.7790367007255554,0.020690932869911194,34544,272,0,0.8294136673212051,0.23900914192199707,0.0056156013160943985,0.016191929578781128,0.9921419620513916,0.4453302323818207,0.6667169332504272
18,6.3647918701171875,15.272747039794922,0.0017077326774597168,0.989663578355098,0.836492657661438,0.8347849249839783,0.7779994606971741,0.021935246884822845,36576,288,1,0.8312416225671768,0.2612267732620239,0.005801945459097624,0.015943389385938644,0.9928159713745117,0.4763849377632141,0.6937056183815002
19,6.28273868560791,15.154838562011719,0.0027585625648498535,0.9835477038736001,0.8350881934165955,0.8323296308517456,0.7767963409423828,0.024421248584985733,38608,304,1,0.8299703001976013,0.25913798809051514,0.005799298640340567,0.016565369442105293,0.9937084913253784,0.48271483182907104,0.7096945643424988
20,6.214980125427246,15.080940246582031,0.004232347011566162,0.975081110009563,0.8343874216079712,0.830155074596405,0.7698345184326172,0.016991030424833298,40640,320,0,0.8305280655622482,0.2786409854888916,0.005915939807891846,0.016915366053581238,0.9940822124481201,0.49965375661849976,0.7248579263687134
21,6.1679534912109375,15.034124374389648,0.00620347261428833,0.9642098638917737,0.8328743577003479,0.8266708850860596,0.7637246251106262,0.009011335670948029,42672,336,1,0.8287136554718018,0.2911205291748047,0.006151343695819378,0.017168372869491577,0.994316041469574,0.5094637870788574,0.7361505627632141
22,6.077217102050781,14.924263000488281,0.0069356560707092285,0.9604363927657295,0.8316317200660706,0.8246960639953613,0.7649223208427429,0.009239203296601772,44704,352,0,0.8298818022012711,0.28280550241470337,0.006183762568980455,0.018109913915395737,0.9952208995819092,0.5308149456977844,0.7573952078819275
23,6.126715660095215,15.035337448120117,0.008283615112304688,0.9527054757459702,0.8331340551376343,0.8248504400253296,0.7622920870780945,0.01913326419889927,46736,368,0,0.8290745764970779,0.29733413457870483,0.006161736324429512,0.018408875912427902,0.995543897151947,0.5473987460136414,0.7715020775794983
24,5.975198745727539,14.81794548034668,0.009732306003570557,0.945242061270968,0.8319990634918213,0.8222667574882507,0.7585774064064026,0.01014108955860138,48768,384,0,0.8294937163591385,0.3045206665992737,0.0064441123977303505,0.019171157851815224,0.9961586594581604,0.5942294001579285,0.8004704713821411
25,5.916253089904785,14.727222442626953,0.011003673076629639,0.9388200056603035,0.8311462998390198,0.8201426267623901,0.753272294998169,0.009878478944301605,50800,400,0,0.8297884166240692,0.31689172983169556,0.006534071639180183,0.019462203606963158,0.9965004920959473,0.6055930256843567,0.8144974708557129
26,5.859627723693848,14.654938697814941,0.01317065954208374,0.9269990544800533,0.8327530026435852,0.8195823431015015,0.7491162419319153,0.01119088102132082,52832,416,0,0.8313911259174347,0.3346937894821167,0.006679803133010864,0.019834168255329132,0.9968001842498779,0.6184126138687134,0.8219992518424988
27,5.799049377441406,14.569231986999512,0.015600085258483887,0.9140830682001715,0.8340283632278442,0.8184282779693604,0.7453013062477112,0.008260387927293777,54864,432,0,0.8321547955274582,0.3507489562034607,0.006887293886393309,0.02016966976225376,0.9971598982810974,0.6354580521583557,0.8427201509475708
