checkpoint,head,domain,tasks,delta,ci_lo,ci_hi,reliable
best,2L,Healthcare,5,0.0541,-0.0587,0.2286,0
best,2L,Econ/Fin,6,0.0833,-0.0307,0.3869,0
best,2L,Transport,15,-0.0377,-0.0937,0.0127,0
best,2L,Energy,32,-0.0301,-0.0850,0.0300,0
best,2L,Sales,4,-0.0289,-0.0497,-0.0111,1
best,2L,Nature,15,-0.0483,-0.0804,-0.0185,1
best,2L,Web/CloudOps,20,-0.1291,-0.2335,-0.0589,1
best,6L,Healthcare,5,-0.0640,-0.1685,0.0000,0
best,6L,Econ/Fin,6,0.0983,-0.0148,0.4033,0
best,6L,Transport,15,-0.0330,-0.0950,0.0255,0
best,6L,Energy,32,-0.0223,-0.0808,0.0360,0
best,6L,Sales,4,-0.0403,-0.0747,-0.0118,1
best,6L,Nature,15,-0.0524,-0.0780,-0.0280,1
best,6L,Web/CloudOps,20,-0.1556,-0.2567,-0.0860,1
last,2L,Healthcare,5,0.0020,-0.1045,0.1479,0
last,2L,Econ/Fin,6,0.0587,0.0215,0.1222,1
last,2L,Transport,15,-0.0221,-0.0646,0.0220,0
last,2L,Energy,32,0.0479,-0.0016,0.1039,0
last,2L,Sales,4,-0.0075,-0.0117,-0.0028,1
last,2L,Nature,15,0.0045,-0.0180,0.0287,0
last,2L,Web/CloudOps,20,-0.0721,-0.1655,0.0025,0
last,6L,Healthcare,5,-0.0756,-0.1761,-0.0048,1
last,6L,Econ/Fin,6,-0.0420,-0.2994,0.0301,0
last,6L,Transport,15,-0.0013,-0.0432,0.0423,0
last,6L,Energy,32,0.0553,0.0133,0.1053,1
last,6L,Sales,4,-0.0044,-0.0099,0.0018,0
last,6L,Nature,15,0.0003,-0.0209,0.0234,0
last,6L,Web/CloudOps,20,-0.0826,-0.1609,-0.0188,1
