arm,label,head,ckpt,gm,n
base_enc3,baseline enc3+full+sg (#339 arm2),2L,best,1.1767794644053335,97
base_enc3,baseline enc3+full+sg (#339 arm2),2L,last,1.180075049027856,97
base_enc3,baseline enc3+full+sg (#339 arm2),6L,best,1.1586636106803785,97
base_enc3,baseline enc3+full+sg (#339 arm2),6L,last,1.1629340235718684,97
base_enc6,baseline enc6+full+sg (#341 arm3),2L,best,1.1800923396531624,97
base_enc6,baseline enc6+full+sg (#341 arm3),2L,last,1.2134387976249226,97
base_enc6,baseline enc6+full+sg (#341 arm3),6L,best,1.160596443446397,97
base_enc6,baseline enc6+full+sg (#341 arm3),6L,last,1.1932610880596872,97
cpc_enc3,CPC enc3+full+sg (NEW),2L,best,1.1845955220800255,97
cpc_enc3,CPC enc3+full+sg (NEW),2L,last,1.1531062578216253,97
cpc_enc3,CPC enc3+full+sg (NEW),6L,best,1.1583832280133097,97
cpc_enc3,CPC enc3+full+sg (NEW),6L,last,1.1435819294844403,97
cpc_enc6,CPC enc6+full+sg (NEW),2L,best,1.1786259301811712,97
cpc_enc6,CPC enc6+full+sg (NEW),2L,last,1.1803285769514595,97
cpc_enc6,CPC enc6+full+sg (NEW),6L,best,1.1575495811428855,97
cpc_enc6,CPC enc6+full+sg (NEW),6L,last,1.162280409057811,97
