A,B,why,head,ckpt,gm_A,gm_B,delta,ci_lo,ci_hi,n,verdict
base_enc3,cpc_enc3,CPC term on enc3+full+sg [hypothesis],2L,best,1.1767794644053335,1.1845955220800255,0.007816057674691956,-0.007130792393938767,0.024014999274814208,97,ns (CI straddles 0)
base_enc3,cpc_enc3,CPC term on enc3+full+sg [hypothesis],2L,last,1.180075049027856,1.1531062578216253,-0.026968791206230636,-0.043007793592650945,-0.01220767194854,97,B BETTER (reliable)
base_enc3,cpc_enc3,CPC term on enc3+full+sg [hypothesis],6L,best,1.1586636106803785,1.1583832280133097,-0.00028038266706875703,-0.014839690773998715,0.013530458762189834,97,ns (CI straddles 0)
base_enc3,cpc_enc3,CPC term on enc3+full+sg [hypothesis],6L,last,1.1629340235718684,1.1435819294844403,-0.019352094087428107,-0.03336495090931657,-0.006765530869169645,97,B BETTER (reliable)
base_enc6,cpc_enc6,CPC term on enc6+full+sg [hypothesis],2L,best,1.1800923396531624,1.1786259301811712,-0.0014664094719911702,-0.015653928798119,0.011575785536582117,97,ns (CI straddles 0)
base_enc6,cpc_enc6,CPC term on enc6+full+sg [hypothesis],2L,last,1.2134387976249226,1.1803285769514595,-0.03311022067346303,-0.05261114193496952,-0.014114477336502729,97,B BETTER (reliable)
base_enc6,cpc_enc6,CPC term on enc6+full+sg [hypothesis],6L,best,1.160596443446397,1.1575495811428855,-0.0030468623035113662,-0.011461166962361657,0.005783014106686357,97,ns (CI straddles 0)
base_enc6,cpc_enc6,CPC term on enc6+full+sg [hypothesis],6L,last,1.1932610880596872,1.162280409057811,-0.030980679001876288,-0.049433695820832124,-0.014196055485736991,97,B BETTER (reliable)
cpc_enc3,cpc_enc6,enc3->enc6 WITH the CPC term (capacity knob),2L,best,1.1845955220800255,1.1786259301811712,-0.005969591898854265,-0.02210807143550042,0.00871041016025731,97,ns (CI straddles 0)
cpc_enc3,cpc_enc6,enc3->enc6 WITH the CPC term (capacity knob),2L,last,1.1531062578216253,1.1803285769514595,0.027222319129834194,0.014678756747907418,0.04010996659656452,97,B worse (reliable)
cpc_enc3,cpc_enc6,enc3->enc6 WITH the CPC term (capacity knob),6L,best,1.1583832280133097,1.1575495811428855,-0.0008336468704241984,-0.01331824580987262,0.011308822301725918,97,ns (CI straddles 0)
cpc_enc3,cpc_enc6,enc3->enc6 WITH the CPC term (capacity knob),6L,last,1.1435819294844403,1.162280409057811,0.018698479573370674,0.009428154299305325,0.02839780982553952,97,B worse (reliable)
