step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e
1,18.107261657714844,18.95355224609375,-0.33636391162872314,1.9027715121416828,0.29104578495025635,0.6274096965789795,0.4664917290210724,0.14441153407096863,508,4,0,0.05767226219177246,-0.3448840379714966,0.016691450029611588,0.02720397338271141,0.8046923875808716,0.11216239631175995,0.18651367723941803,7.684585094451904,0.00262714852578938,0.020318087190389633,0.008652923628687859,0.0090057123452425
2,19.060773849487305,17.299789428710938,-0.23910704255104065,1.7419584571379425,0.438628226518631,0.6777352690696716,0.5533435940742493,0.2002539187669754,1016,8,0,0.26359593868255615,-0.2704828977584839,0.012851398438215256,0.02302710898220539,0.8953642249107361,0.13786406815052032,0.22241835296154022,8.214941024780273,0.0026713183615356684,0.02483566291630268,0.009379498660564423,0.009472832083702087
3,27.584640502929688,17.818180084228516,-0.23478400707244873,1.7065302473613333,0.43291032314300537,0.6676943302154541,0.5852117538452148,0.15969812870025635,1524,12,1,0.27541011571884155,-0.38345086574554443,0.01306723989546299,0.02102312445640564,0.9022102355957031,0.14626654982566833,0.25165048241615295,14.768110275268555,0.002393272239714861,0.0249552633613348,0.008074178360402584,0.00799238495528698
4,31.947162628173828,17.816518783569336,-0.21677759289741516,1.6341707979296691,0.44139400124549866,0.6581715941429138,0.5815538167953491,0.22128674387931824,2032,16,0,0.23481261730194092,-0.34956562519073486,0.012458482757210732,0.019542891532182693,0.87288898229599,0.11240952461957932,0.19975285232067108,16.656688690185547,0.0024322231765836477,0.030828803777694702,0.009197765961289406,0.00944383442401886
5,22.57672691345215,18.470577239990234,-0.21815991401672363,1.6382212674393666,0.44001519680023193,0.6581751108169556,0.6074776649475098,0.10998199880123138,2540,20,1,0.31248217821121216,-0.44192707538604736,0.01230442151427269,0.01779146119952202,0.908306360244751,0.11262135207653046,0.2078728973865509,10.63919448852539,0.00219446187838912,0.025055130943655968,0.008035674691200256,0.008086174726486206
6,20.7404842376709,18.24820899963379,-0.21064996719360352,1.6195500858733176,0.44934529066085815,0.6599952578544617,0.5955156087875366,0.09125719964504242,3048,24,0,0.36066484451293945,-0.37022626399993896,0.012577281333506107,0.018579114228487015,0.916030764579773,0.12070608139038086,0.20956751704216003,10.03052043914795,0.0022707018069922924,0.025034677237272263,0.008471347391605377,0.008558901026844978
7,16.236318588256836,17.738264083862305,-0.22648411989212036,1.7319940381303063,0.46410882472991943,0.6905929446220398,0.5760216116905212,0.040940046310424805,3556,28,0,0.4214751720428467,-0.267269492149353,0.01315787248313427,0.019890453666448593,0.9292586445808411,0.13729919493198395,0.2422947883605957,5.598389625549316,0.0019894104916602373,0.020269906148314476,0.008763985708355904,0.009330471977591515
8,15.977068901062012,17.440444946289062,-0.2146240770816803,1.7268207940339564,0.49008432030677795,0.7047083973884583,0.6010404825210571,0.05335405841469765,4064,32,1,0.44046950340270996,-0.2809680700302124,0.012717167846858501,0.019969208166003227,0.9369248747825623,0.14227713644504547,0.25405117869377136,5.282906532287598,0.002198892179876566,0.020811203867197037,0.008906707167625427,0.009201466105878353
9,15.182019233703613,17.186742782592773,-0.2182704210281372,1.7696208692962052,0.49812185764312744,0.7163922786712646,0.5906842350959778,0.053598493337631226,4572,36,1,0.4601033329963684,-0.22839069366455078,0.013259503059089184,0.01971161924302578,0.9388484358787537,0.13083846867084503,0.24007059633731842,4.828701496124268,0.0017534526996314526,0.021909603849053383,0.008329925127327442,0.008465996012091637
10,14.337385177612305,16.94606590270996,-0.21513667702674866,1.747165366946649,0.4969261586666107,0.7120628356933594,0.5891705751419067,0.054600849747657776,5080,40,1,0.46319645643234253,-0.22520506381988525,0.01325699221342802,0.02150803431868553,0.9464438557624817,0.1466548889875412,0.264889657497406,4.5006794929504395,0.0017166425241157413,0.02239372208714485,0.008918821811676025,0.00893956609070301
