source,arm,label,head,ckpt,gm,gm_mase,gm_mape_sn,gm_crps_sn,n
cross,cross_A,"cross_A: λ_e=10, λ_h=1, τ=0.90",2L,best,1.1704,1.6360,1.1866,0.8789,97
cross,cross_A,"cross_A: λ_e=10, λ_h=1, τ=0.90",2L,last,1.1811,1.6511,1.2142,0.9094,97
cross,cross_A,"cross_A: λ_e=10, λ_h=1, τ=0.90",6L,best,1.1604,1.6221,1.1578,0.8759,97
cross,cross_A,"cross_A: λ_e=10, λ_h=1, τ=0.90",6L,last,1.1375,1.5901,1.1118,0.8612,97
cross,cross_B,"cross_B: λ_e=1000, λ_h=1, τ=0.90",2L,best,1.1889,1.6619,1.2125,0.8963,97
cross,cross_B,"cross_B: λ_e=1000, λ_h=1, τ=0.90",2L,last,1.1517,1.6099,1.1368,0.8752,97
cross,cross_B,"cross_B: λ_e=1000, λ_h=1, τ=0.90",6L,best,1.1743,1.6415,1.1962,0.8898,97
cross,cross_B,"cross_B: λ_e=1000, λ_h=1, τ=0.90",6L,last,1.1340,1.5852,1.1437,0.8515,97
cross,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",2L,best,1.1682,1.6330,1.1965,0.8899,97
cross,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",2L,last,1.1491,1.6063,1.0792,0.8793,97
cross,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",6L,best,1.1561,1.6161,1.1565,0.8727,97
cross,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",6L,last,1.1254,1.5732,1.0995,0.8495,97
cross,cross_D,"cross_D: λ_e=10, λ_h=10, τ=0.90",2L,best,1.1701,1.6357,1.2289,0.8764,97
cross,cross_D,"cross_D: λ_e=10, λ_h=10, τ=0.90",2L,last,1.1570,1.6173,1.1079,0.8892,97
cross,cross_D,"cross_D: λ_e=10, λ_h=10, τ=0.90",6L,best,1.1650,1.6286,1.2137,0.8747,97
cross,cross_D,"cross_D: λ_e=10, λ_h=10, τ=0.90",6L,last,1.1434,1.5983,1.0727,0.8698,97
