source,arm,label,head,ckpt,gm,gm_mase,gm_mape_sn,gm_crps_sn,n
retrain,b1024_parentstep,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ parent-best-step (500)",2L,step500,1.1873,1.6598,1.2114,0.8828,97
retrain,b1024_parentstep,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ parent-best-step (500)",6L,step500,1.1746,1.6419,1.2089,0.8751,97
retrain,b1024_last,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ last (12,500)",2L,step12500,1.1621,1.6245,1.1167,0.8905,97
retrain,b1024_last,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ last (12,500)",6L,step12500,1.1407,1.5946,1.0716,0.8703,97
retrain,b1024_step15000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 15000",2L,step15000,1.1656,1.6293,1.1475,0.8888,97
retrain,b1024_step15000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 15000",6L,step15000,1.1445,1.5999,1.1577,0.8725,97
retrain,b1024_step20000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 20000",2L,step20000,1.1609,1.6228,1.1778,0.8840,97
retrain,b1024_step20000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 20000",6L,step20000,1.1286,1.5777,1.0726,0.8621,97
retrain,b1024_step25000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 25000",2L,step25000,1.1560,1.6160,1.1656,0.8774,97
retrain,b1024_step25000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 25000",6L,step25000,1.1289,1.5781,1.1067,0.8635,97
retrain,b1024_step30000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 30000",2L,step30000,1.1568,1.6171,1.1318,0.8842,97
retrain,b1024_step30000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 30000",6L,step30000,1.1206,1.5664,1.1287,0.8539,97
retrain,b1024_step35000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 35000",2L,step35000,1.1789,1.6480,1.1944,0.8893,97
retrain,b1024_step35000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 35000",6L,step35000,1.1250,1.5727,1.1673,0.8495,97
retrain,b1024_step37500,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 37500",2L,step37500,1.1731,1.6399,1.2144,0.8860,97
retrain,b1024_step37500,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 37500",6L,step37500,1.1197,1.5652,1.1537,0.8426,97
retrain,b1024_step40000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 40000",2L,step40000,1.1485,1.6055,1.1723,0.8649,97
retrain,b1024_step40000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 40000",6L,step40000,1.1179,1.5627,1.1352,0.8452,97
retrain,b1024_step45000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 45000",2L,step45000,1.1669,1.6311,1.1797,0.8808,97
retrain,b1024_step45000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 45000",6L,step45000,1.1241,1.5713,1.0988,0.8577,97
retrain,b1024_step50000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 50000",2L,step50000,1.1674,1.6319,1.2094,0.8868,97
retrain,b1024_step50000,"retrain: λ_e=1.0, λ_h=1.0, τ=0.90, B=1024 @ step 50000",6L,step50000,1.1286,1.5777,1.1526,0.8527,97
parent_366,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",2L,best,1.1682,1.6330,1.1965,0.8899,97
parent_366,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",2L,last,1.1491,1.6063,1.0792,0.8793,97
parent_366,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",6L,best,1.1561,1.6161,1.1565,0.8727,97
parent_366,cross_C,"cross_C: λ_e=1, λ_h=1, τ=0.90",6L,last,1.1254,1.5732,1.0995,0.8495,97
