step,loss,hf_rows_consumed
1,0.47599324584007263,256
2,0.4670308828353882,512
3,0.47291237115859985,768
4,0.4749835431575775,1024
5,0.4707053601741791,1280
6,0.4726864695549011,1536
7,0.47138699889183044,1792
8,0.4709320664405823,2048
9,0.4665048122406006,2304
10,0.4785677194595337,2560
11,0.4779874384403229,2816
12,0.47112250328063965,3072
13,0.4771060347557068,3328
14,0.46320557594299316,3584
15,0.46429839730262756,3840
16,0.4523233473300934,4096
17,0.47991737723350525,4352
18,0.47088611125946045,4608
19,0.47336283326148987,4864
20,0.464709609746933,5120
21,0.4732871949672699,5376
22,0.4689064621925354,5632
23,0.4648284614086151,5888
24,0.46799248456954956,6144
25,0.46948879957199097,6400
26,0.4516635835170746,6656
27,0.45824140310287476,6912
28,0.4587783217430115,7168
29,0.4676748216152191,7424
30,0.4553062617778778,7680
31,0.46863728761672974,7936
32,0.45828869938850403,8192
33,0.45773065090179443,8448
34,0.4538019597530365,8704
35,0.4596720039844513,8960
36,0.45408329367637634,9216
37,0.4478846490383148,9472
38,0.4604300856590271,9728
39,0.44436144828796387,9984
40,0.4510692358016968,10240
41,0.44097307324409485,10496
42,0.45776844024658203,10752
43,0.44888171553611755,11008
44,0.44493094086647034,11264
45,0.42970266938209534,11520
46,0.4510559141635895,11776
47,0.44163116812705994,12032
48,0.4467201232910156,12288
49,0.446468323469162,12544
50,0.4194220304489136,12800
51,0.4370144009590149,13056
52,0.4324544072151184,13312
53,0.4248218834400177,13568
54,0.4196327328681946,13824
55,0.43157070875167847,14080
56,0.4272366464138031,14336
57,0.42220309376716614,14592
58,0.4262318015098572,14848
59,0.42315489053726196,15104
60,0.4148971438407898,15360
61,0.4232500493526459,15616
62,0.41441959142684937,15872
63,0.39767685532569885,16128
64,0.4150787591934204,16384
65,0.4018882215023041,16640
66,0.41350826621055603,16896
67,0.3993549644947052,17152
68,0.404153048992157,17408
69,0.4093388617038727,17664
70,0.3887367844581604,17920
71,0.39301514625549316,18176
72,0.39339402318000793,18432
73,0.38848182559013367,18688
74,0.38351529836654663,18944
75,0.3776416480541229,19200
76,0.3567606508731842,19456
77,0.36375725269317627,19712
78,0.36228227615356445,19968
79,0.3729570508003235,20224
80,0.36336153745651245,20480
81,0.3507538139820099,20736
82,0.35696226358413696,20992
83,0.34878960251808167,21248
84,0.3546788692474365,21504
85,0.3445139527320862,21760
86,0.34428563714027405,22016
87,0.33298659324645996,22272
88,0.3347584903240204,22528
89,0.33939728140830994,22784
90,0.33283695578575134,23040
91,0.33011478185653687,23296
92,0.33378323912620544,23552
93,0.333810955286026,23808
94,0.3243853747844696,24064
95,0.32170000672340393,24320
96,0.32365477085113525,24576
97,0.32722410559654236,24832
98,0.3294112980365753,25088
99,0.3220283091068268,25344
100,0.3282451629638672,25600
101,0.322072833776474,25856
102,0.31965726613998413,26112
103,0.3136901259422302,26368
104,0.3212318420410156,26624
105,0.323171466588974,26880
106,0.3098933696746826,27136
107,0.31534644961357117,27392
108,0.30268943309783936,27648
109,0.31647801399230957,27904
110,0.31104156374931335,28160
111,0.3077707290649414,28416
112,0.31171759963035583,28672
113,0.31054043769836426,28928
114,0.3154541552066803,29184
115,0.3075316548347473,29440
116,0.311013400554657,29696
117,0.30613985657691956,29952
118,0.31189802289009094,30208
119,0.3158927261829376,30464
120,0.3183019459247589,30720
121,0.3149854242801666,30976
122,0.3026166260242462,31232
123,0.3077789545059204,31488
124,0.3131614327430725,31744
125,0.3119356632232666,32000
126,0.31061747670173645,32256
127,0.2997288405895233,32512
128,0.30085325241088867,32768
129,0.30420124530792236,33024
130,0.2996048629283905,33280
131,0.30954286456108093,33536
132,0.3049025535583496,33792
133,0.29997915029525757,34048
134,0.2976464331150055,34304
135,0.29947882890701294,34560
136,0.2981211543083191,34816
137,0.2967800498008728,35072
138,0.30422866344451904,35328
139,0.2910531759262085,35584
140,0.2963448464870453,35840
141,0.28390738368034363,36096
142,0.2972705662250519,36352
143,0.2891986668109894,36608
144,0.29091912508010864,36864
145,0.2955552935600281,37120
146,0.2828788757324219,37376
147,0.28189828991889954,37632
148,0.2776312232017517,37888
149,0.28011077642440796,38144
150,0.28706854581832886,38400
151,0.2846209704875946,38656
152,0.275529146194458,38912
153,0.2805786430835724,39168
154,0.2711332142353058,39424
155,0.2697387933731079,39680
156,0.27230924367904663,39936
157,0.2780309319496155,40192
158,0.2716812491416931,40448
159,0.27103662490844727,40704
160,0.2681578993797302,40960
161,0.2625478208065033,41216
162,0.2690269649028778,41472
163,0.2582019567489624,41728
164,0.26228195428848267,41984
165,0.2635810077190399,42240
166,0.2552807033061981,42496
167,0.26145100593566895,42752
168,0.2506309747695923,43008
169,0.2586140036582947,43264
170,0.26508578658103943,43520
171,0.2668394446372986,43776
172,0.26525458693504333,44032
173,0.2622953951358795,44288
174,0.2461673766374588,44544
175,0.255328893661499,44800
176,0.24860802292823792,45056
177,0.26180702447891235,45312
178,0.25924545526504517,45568
179,0.24593740701675415,45824
180,0.2556344270706177,46080
181,0.25629305839538574,46336
182,0.2359386533498764,46592
183,0.2453380972146988,46848
184,0.242861807346344,47104
185,0.2507970631122589,47360
186,0.24871636927127838,47616
187,0.2415458709001541,47872
188,0.24084824323654175,48128
189,0.24379900097846985,48384
190,0.25343823432922363,48640
191,0.23467811942100525,48896
192,0.254254013299942,49152
193,0.2558096647262573,49408
194,0.2580409049987793,49664
195,0.2453906536102295,49920
196,0.23726503551006317,50176
197,0.24231064319610596,50432
198,0.23887841403484344,50688
199,0.23427380621433258,50944
200,0.24127624928951263,51200
201,0.24154092371463776,51456
202,0.23825421929359436,51712
203,0.25267648696899414,51968
204,0.2453778237104416,52224
205,0.25148022174835205,52480
206,0.240447536110878,52736
207,0.2554735243320465,52992
208,0.24236564338207245,53248
209,0.2467559278011322,53504
210,0.23851238191127777,53760
211,0.25832974910736084,54016
212,0.2397148758172989,54272
213,0.23827645182609558,54528
214,0.24689967930316925,54784
215,0.23951442539691925,55040
216,0.24761316180229187,55296
217,0.24155455827713013,55552
218,0.23757153749465942,55808
219,0.23191434144973755,56064
220,0.23077496886253357,56320
221,0.23896817862987518,56576
222,0.23418104648590088,56832
223,0.24285995960235596,57088
224,0.2340112030506134,57344
225,0.2509262263774872,57600
226,0.24316556751728058,57856
227,0.24601787328720093,58112
228,0.2439064383506775,58368
229,0.2355077713727951,58624
230,0.2469615787267685,58880
231,0.23940123617649078,59136
232,0.23201900720596313,59392
233,0.23324070870876312,59648
234,0.24538365006446838,59904
235,0.23954355716705322,60160
236,0.24046020209789276,60416
237,0.23851832747459412,60672
238,0.23761938512325287,60928
239,0.2448892444372177,61184
240,0.2391393929719925,61440
241,0.23961347341537476,61696
242,0.24196961522102356,61952
243,0.22397974133491516,62208
244,0.25131338834762573,62464
245,0.23300589621067047,62720
246,0.24164937436580658,62976
247,0.2205444723367691,63232
248,0.24120129644870758,63488
249,0.2457209676504135,63744
250,0.2408105432987213,64000
251,0.23552967607975006,64256
252,0.23723627626895905,64512
253,0.24741289019584656,64768
254,0.2548631429672241,65024
255,0.24480339884757996,65280
256,0.24364511668682098,65536
257,0.23212352395057678,65792
258,0.23558737337589264,66048
259,0.2426915466785431,66304
260,0.2234436571598053,66560
261,0.23917624354362488,66816
262,0.23290051519870758,67072
263,0.22726808488368988,67328
264,0.2416275143623352,67584
265,0.2514932155609131,67840
266,0.2235122174024582,68096
267,0.23197951912879944,68352
268,0.23040972650051117,68608
269,0.24865823984146118,68864
270,0.2285439819097519,69120
271,0.2340390831232071,69376
272,0.24287371337413788,69632
273,0.229659304022789,69888
274,0.23963144421577454,70144
275,0.24128738045692444,70400
276,0.2456212341785431,70656
277,0.22667673230171204,70912
278,0.2313600778579712,71168
279,0.23678146302700043,71424
280,0.2316950410604477,71680
281,0.24001261591911316,71936
282,0.2306065857410431,72192
283,0.23125356435775757,72448
284,0.22873780131340027,72704
285,0.22440044581890106,72960
286,0.23289214074611664,73216
287,0.2372361570596695,73472
288,0.24177362024784088,73728
289,0.23262758553028107,73984
290,0.2160101979970932,74240
291,0.24142029881477356,74496
292,0.22650882601737976,74752
293,0.23449771106243134,75008
294,0.2345598191022873,75264
295,0.22694307565689087,75520
296,0.22881002724170685,75776
297,0.2321930080652237,76032
298,0.23089997470378876,76288
299,0.22184696793556213,76544
300,0.22661085426807404,76800
301,0.22985365986824036,77056
302,0.24050499498844147,77312
303,0.2399929165840149,77568
304,0.2267204076051712,77824
305,0.2401997596025467,78080
306,0.2283867448568344,78336
307,0.23786887526512146,78592
308,0.23690101504325867,78848
309,0.2247837334871292,79104
310,0.23744526505470276,79360
311,0.22680281102657318,79616
312,0.2313210815191269,79872
313,0.22682231664657593,80128
314,0.24430832266807556,80384
315,0.22505757212638855,80640
316,0.22651423513889313,80896
317,0.232415571808815,81152
318,0.23876355588436127,81408
319,0.23182247579097748,81664
320,0.23609036207199097,81920
321,0.2118339091539383,82176
322,0.2288593053817749,82432
323,0.2295064777135849,82688
324,0.2206997126340866,82944
325,0.23765797913074493,83200
326,0.22143858671188354,83456
327,0.23226585984230042,83712
328,0.23381727933883667,83968
329,0.2333582192659378,84224
330,0.22507883608341217,84480
331,0.22961930930614471,84736
332,0.2291494905948639,84992
333,0.2300025224685669,85248
334,0.21369627118110657,85504
335,0.23291230201721191,85760
336,0.21889223158359528,86016
337,0.23543336987495422,86272
338,0.22764231264591217,86528
339,0.23703190684318542,86784
340,0.22709335386753082,87040
341,0.21968169510364532,87296
342,0.22980879247188568,87552
343,0.22813670337200165,87808
344,0.22028809785842896,88064
345,0.2155134677886963,88320
346,0.2278459519147873,88576
347,0.23382365703582764,88832
348,0.22553488612174988,89088
349,0.23513317108154297,89344
350,0.22981487214565277,89600
351,0.23856423795223236,89856
352,0.21691153943538666,90112
353,0.22129614651203156,90368
354,0.21909315884113312,90624
355,0.24018102884292603,90880
356,0.21511968970298767,91136
357,0.2207951694726944,91392
358,0.21823309361934662,91648
359,0.21556736528873444,91904
360,0.23414088785648346,92160
361,0.2179940938949585,92416
362,0.21903355419635773,92672
363,0.22420504689216614,92928
364,0.2359846532344818,93184
365,0.22203052043914795,93440
366,0.2137279212474823,93696
367,0.22856734693050385,93952
368,0.22775179147720337,94208
369,0.23456116020679474,94464
370,0.2320517748594284,94720
371,0.22241272032260895,94976
372,0.22406090795993805,95232
373,0.2246938943862915,95488
374,0.2215430736541748,95744
375,0.2239995300769806,96000
376,0.2230282872915268,96256
377,0.22704347968101501,96512
378,0.21201935410499573,96768
379,0.21478843688964844,97024
380,0.22398610413074493,97280
381,0.2300410121679306,97536
382,0.22468307614326477,97792
383,0.2356337457895279,98048
384,0.22456654906272888,98304
385,0.21943014860153198,98560
386,0.2305939942598343,98816
387,0.21069006621837616,99072
388,0.22564344108104706,99328
389,0.21449962258338928,99584
390,0.22746478021144867,99840
391,0.22376728057861328,100096
392,0.22154608368873596,100352
393,0.21810656785964966,100608
394,0.22285501658916473,100864
395,0.24280838668346405,101120
396,0.2226286381483078,101376
397,0.21935245394706726,101632
398,0.2147989571094513,101888
399,0.2262677103281021,102144
400,0.22500336170196533,102400
401,0.2148411124944687,102656
402,0.22442638874053955,102912
403,0.22192110121250153,103168
404,0.21018925309181213,103424
405,0.222116619348526,103680
406,0.23108866810798645,103936
407,0.21808719635009766,104192
408,0.22061549127101898,104448
409,0.2355576753616333,104704
410,0.23382465541362762,104960
411,0.21910853683948517,105216
412,0.23491418361663818,105472
413,0.22251728177070618,105728
414,0.23484379053115845,105984
415,0.21593941748142242,106240
416,0.2207968682050705,106496
417,0.22385017573833466,106752
418,0.227460578083992,107008
419,0.2188388854265213,107264
420,0.21767264604568481,107520
421,0.23323822021484375,107776
422,0.22261618077754974,108032
423,0.22863063216209412,108288
424,0.22832317650318146,108544
425,0.22875793278217316,108800
426,0.22402849793434143,109056
427,0.2356017827987671,109312
428,0.22386233508586884,109568
429,0.2369403839111328,109824
430,0.21965734660625458,110080
431,0.20785051584243774,110336
432,0.22550658881664276,110592
433,0.23384512960910797,110848
434,0.21557103097438812,111104
435,0.21188119053840637,111360
436,0.21528217196464539,111616
437,0.22823476791381836,111872
438,0.21381404995918274,112128
439,0.22848577797412872,112384
440,0.21822310984134674,112640
441,0.22367192804813385,112896
442,0.22475665807724,113152
443,0.2059977948665619,113408
444,0.2242799997329712,113664
445,0.23292796313762665,113920
