config,seed,step,head_layers,gm_rel_mase_full97
B512_seed1_original,20260520,12500,2L,1.1491
B512_seed1_original,20260520,12500,6L,1.1254
B512_seed2,20260707,12500,2L,1.1441
B512_seed2,20260707,15000,2L,1.1519
B512_seed2,20260707,20000,2L,1.1460
B512_seed2,20260707,25000,2L,1.1415
B512_seed2,20260707,30000,2L,1.1333
B512_seed2,20260707,35000,2L,1.1599
B512_seed2,20260707,37500,2L,1.1498
B512_seed2,20260707,40000,2L,1.1468
B512_seed2,20260707,45000,2L,1.1943
B512_seed2,20260707,50000,2L,1.1768
B512_seed2,20260707,12500,6L,1.1318
B512_seed2,20260707,15000,6L,1.1483
B512_seed2,20260707,20000,6L,1.1349
B512_seed2,20260707,25000,6L,1.1325
B512_seed2,20260707,30000,6L,1.1302
B512_seed2,20260707,35000,6L,1.1522
B512_seed2,20260707,37500,6L,1.1400
B512_seed2,20260707,40000,6L,1.1368
B512_seed2,20260707,45000,6L,1.1667
B512_seed2,20260707,50000,6L,1.1510
