arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm1,2000,5000,3000,adjacent,0.738192,0.351591,0.386602,0.669719
arm1,5000,7000,2000,adjacent,0.717836,0.369975,0.347861,0.560968
arm1,2000,7000,5000,vs_first,0.877020,0.410687,0.466333,0.526301
arm1,7000,10000,3000,adjacent,0.548787,0.309846,0.238942,0.596078
arm1,2000,10000,8000,vs_first,0.894011,0.411617,0.482394,0.528838
arm1,10000,12000,2000,adjacent,0.569019,0.305828,0.263191,0.600302
arm1,2000,12000,10000,vs_first,0.910279,0.408872,0.501407,0.519978
arm1,12000,15000,3000,adjacent,0.588815,0.337800,0.251016,0.559160
arm1,2000,15000,13000,vs_first,0.919767,0.441341,0.478427,0.478410
arm1,15000,17000,2000,adjacent,0.561472,0.345047,0.216425,0.555200
arm1,2000,17000,15000,vs_first,0.939912,0.474706,0.465206,0.413897
arm1,17000,20000,3000,adjacent,0.571743,0.352361,0.219382,0.537981
arm1,2000,20000,18000,vs_first,0.954785,0.526689,0.428096,0.335494
arm1,20000,22000,2000,adjacent,0.563721,0.359635,0.204086,0.514608
arm1,2000,22000,20000,vs_first,0.960742,0.546673,0.414069,0.303502
arm1,22000,25000,3000,adjacent,0.570559,0.372482,0.198077,0.494977
arm1,2000,25000,23000,vs_first,0.958188,0.569452,0.388736,0.271973
arm3,2000,12500,10500,adjacent,0.910109,0.538536,0.371572,0.568760
arm3,12500,25000,12500,adjacent,0.923552,0.658433,0.265119,0.254898
arm3,2000,25000,23000,vs_first,0.973834,0.705375,0.268458,0.189614
arm4,2000,5000,3000,adjacent,0.876063,0.388497,0.487566,0.554716
arm4,5000,7000,2000,adjacent,0.764953,0.466280,0.298673,0.460030
arm4,2000,7000,5000,vs_first,0.901523,0.507946,0.393577,0.469809
arm4,7000,10000,3000,adjacent,0.637042,0.416939,0.220103,0.579582
arm4,2000,10000,8000,vs_first,0.919706,0.547079,0.372628,0.452863
arm4,10000,12000,2000,adjacent,0.562031,0.351367,0.210664,0.645835
arm4,2000,12000,10000,vs_first,0.921976,0.562779,0.359197,0.439684
arm4,12000,15000,3000,adjacent,0.531720,0.337313,0.194407,0.667291
arm4,2000,15000,13000,vs_first,0.931432,0.590964,0.340468,0.427956
arm4,15000,17000,2000,adjacent,0.511340,0.319653,0.191688,0.693169
arm4,2000,17000,15000,vs_first,0.936588,0.603528,0.333060,0.375578
arm4,17000,20000,3000,adjacent,0.501559,0.316703,0.184857,0.698075
arm4,2000,20000,18000,vs_first,0.947207,0.621237,0.325970,0.339128
arm4,20000,22000,2000,adjacent,0.489009,0.303037,0.185972,0.728446
arm4,2000,22000,20000,vs_first,0.948743,0.626142,0.322601,0.325348
arm4,22000,25000,3000,adjacent,0.508466,0.314470,0.193996,0.723477
arm4,2000,25000,23000,vs_first,0.955579,0.637602,0.317978,0.310939
arm4,25000,30000,5000,adjacent,0.669723,0.404019,0.265704,0.655002
arm4,2000,30000,28000,vs_first,0.959909,0.654736,0.305173,0.283512
arm4,30000,35000,5000,adjacent,0.672548,0.411599,0.260949,0.617247
