arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm1,2000,5000,3000,adjacent,0.734698,0.359270,0.375428,0.670758
arm1,5000,7000,2000,adjacent,0.716814,0.374933,0.341881,0.565529
arm1,2000,7000,5000,vs_first,0.874789,0.418432,0.456357,0.530700
arm1,7000,10000,3000,adjacent,0.546087,0.311229,0.234857,0.609885
arm1,2000,10000,8000,vs_first,0.893431,0.422311,0.471120,0.534286
arm1,10000,12000,2000,adjacent,0.558518,0.307778,0.250740,0.606021
arm1,2000,12000,10000,vs_first,0.910019,0.423934,0.486085,0.517558
arm1,12000,15000,3000,adjacent,0.582696,0.342520,0.240176,0.561857
arm1,2000,15000,13000,vs_first,0.917940,0.456535,0.461405,0.475700
arm1,15000,17000,2000,adjacent,0.560277,0.349177,0.211101,0.557298
arm1,2000,17000,15000,vs_first,0.938077,0.489195,0.448882,0.409981
arm1,17000,20000,3000,adjacent,0.570994,0.357377,0.213617,0.533013
arm1,2000,20000,18000,vs_first,0.954499,0.540286,0.414213,0.329567
arm1,20000,22000,2000,adjacent,0.564226,0.365271,0.198956,0.507638
arm1,2000,22000,20000,vs_first,0.960567,0.559102,0.401465,0.299038
arm1,22000,25000,3000,adjacent,0.569127,0.376801,0.192326,0.485154
arm1,2000,25000,23000,vs_first,0.958549,0.582028,0.376521,0.265870
arm3,2000,12500,10500,adjacent,0.908941,0.548168,0.360773,0.575030
arm3,12500,25000,12500,adjacent,0.926353,0.667735,0.258619,0.243099
arm3,2000,25000,23000,vs_first,0.974273,0.716133,0.258139,0.179997
arm4,2000,5000,3000,adjacent,0.872144,0.395990,0.476153,0.569111
arm4,5000,7000,2000,adjacent,0.761147,0.470617,0.290530,0.461400
arm4,2000,7000,5000,vs_first,0.899197,0.514447,0.384751,0.467661
arm4,7000,10000,3000,adjacent,0.639275,0.421502,0.217773,0.576246
arm4,2000,10000,8000,vs_first,0.917047,0.552394,0.364653,0.460686
arm4,10000,12000,2000,adjacent,0.564380,0.360980,0.203401,0.652590
arm4,2000,12000,10000,vs_first,0.919856,0.575493,0.344363,0.441715
arm4,12000,15000,3000,adjacent,0.534431,0.348319,0.186112,0.666805
arm4,2000,15000,13000,vs_first,0.930243,0.600469,0.329773,0.424355
arm4,15000,17000,2000,adjacent,0.513941,0.329884,0.184057,0.683896
arm4,2000,17000,15000,vs_first,0.936471,0.614692,0.321780,0.372636
arm4,17000,20000,3000,adjacent,0.506209,0.329331,0.176879,0.683091
arm4,2000,20000,18000,vs_first,0.946737,0.632387,0.314349,0.334231
arm4,20000,22000,2000,adjacent,0.498601,0.320580,0.178020,0.696700
arm4,2000,22000,20000,vs_first,0.949871,0.637686,0.312185,0.314983
arm4,22000,25000,3000,adjacent,0.515047,0.329000,0.186047,0.690455
arm4,2000,25000,23000,vs_first,0.955626,0.649423,0.306202,0.303648
arm4,25000,30000,5000,adjacent,0.680652,0.423248,0.257404,0.616769
arm4,2000,30000,28000,vs_first,0.961862,0.666007,0.295855,0.275279
arm4,30000,35000,5000,adjacent,0.685028,0.431057,0.253970,0.572433
arm4,2000,35000,33000,vs_first,0.963841,0.673302,0.290539,0.247848
arm4,35000,40000,5000,adjacent,0.675593,0.425178,0.250415,0.555307
arm4,2000,40000,38000,vs_first,0.969303,0.680365,0.288938,0.236258
arm4,40000,45000,5000,adjacent,0.682970,0.444798,0.238173,0.546863
arm4,2000,45000,43000,vs_first,0.974172,0.689197,0.284974,0.227106
arm4,45000,50000,5000,adjacent,0.702127,0.456124,0.246003,0.518509
arm4,2000,50000,48000,vs_first,0.981943,0.708166,0.273778,0.194065
arm5,2000,5000,3000,adjacent,0.977306,0.368548,0.608758,0.601896
arm5,5000,7000,2000,adjacent,0.920100,0.317911,0.602189,0.743375
arm5,2000,7000,5000,vs_first,0.981343,0.383286,0.598057,0.581838
arm5,7000,10000,3000,adjacent,0.853931,0.250993,0.602938,0.805242
arm5,2000,10000,8000,vs_first,0.981844,0.355348,0.626496,0.579958
arm5,10000,12000,2000,adjacent,0.884044,0.141925,0.742119,0.878404
arm5,2000,12000,10000,vs_first,0.986264,0.376810,0.609454,0.549312
arm5,12000,15000,3000,adjacent,0.846975,0.126773,0.720202,0.907097
arm5,2000,15000,13000,vs_first,0.985610,0.390669,0.594941,0.553165
arm5,15000,17000,2000,adjacent,0.780201,0.149700,0.630501,0.863772
arm5,2000,17000,15000,vs_first,0.996020,0.411260,0.584760,0.518504
arm5,17000,20000,3000,adjacent,0.792896,0.198346,0.594550,0.807750
arm5,2000,20000,18000,vs_first,0.994415,0.419729,0.574686,0.471562
arm5,20000,22000,2000,adjacent,0.808990,0.301681,0.507309,0.670447
arm5,2000,22000,20000,vs_first,0.996070,0.417884,0.578186,0.436599
