step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,0.978291,0.846546,0.131746,0.008284
10000,adjacent,5000,5000,0.702697,0.548529,0.154169,0.313155
10000,vs_initial,0,10000,1.002930,0.851588,0.151342,0.007575
15000,adjacent,10000,5000,0.659234,0.442102,0.217131,0.393637
15000,vs_initial,0,15000,1.007812,0.795035,0.212777,0.006477
20000,adjacent,15000,5000,0.707698,0.511222,0.196476,0.500803
20000,vs_initial,0,20000,0.986108,0.854957,0.131151,0.006169
25000,adjacent,20000,5000,0.588328,0.469553,0.118775,0.545376
25000,vs_initial,0,25000,1.025663,0.781621,0.244043,0.007892
30000,adjacent,25000,5000,0.418172,0.312622,0.105550,0.625492
30000,vs_initial,0,30000,0.986665,0.837900,0.148765,0.008394
35000,adjacent,30000,5000,0.696440,0.352495,0.343945,0.568569
35000,vs_initial,0,35000,1.028851,0.742230,0.286621,0.006111
40000,adjacent,35000,5000,0.422210,0.138434,0.283776,0.838403
40000,vs_initial,0,40000,1.015173,0.755464,0.259709,0.005493
45000,adjacent,40000,5000,0.475888,0.403914,0.071974,0.629404
45000,vs_initial,0,45000,0.986023,0.830463,0.155560,0.007894
50000,adjacent,45000,5000,0.712558,0.547398,0.165160,0.424996
50000,vs_initial,0,50000,1.000279,0.800148,0.200131,0.005414
55000,adjacent,50000,5000,0.725601,0.397405,0.328197,0.622030
55000,vs_initial,0,55000,0.998626,0.795605,0.203021,0.006136
60000,adjacent,55000,5000,0.508207,0.189031,0.319176,0.867225
60000,vs_initial,0,60000,0.992999,0.738115,0.254883,0.005020
65000,adjacent,60000,5000,0.267527,0.049540,0.217987,0.974629
65000,vs_initial,0,65000,1.004175,0.753052,0.251123,0.004996
70000,adjacent,65000,5000,0.645811,0.139356,0.506455,0.909916
70000,vs_initial,0,70000,0.953852,0.704538,0.249313,0.005117
75000,adjacent,70000,5000,1.051529,0.154804,0.896725,0.903124
75000,vs_initial,0,75000,0.998295,0.764026,0.234268,0.005392
80000,adjacent,75000,5000,0.335121,0.141679,0.193442,0.907661
80000,vs_initial,0,80000,1.017688,0.760018,0.257670,0.003307
85000,adjacent,80000,5000,0.873764,0.417288,0.456476,0.640304
85000,vs_initial,0,85000,0.976818,0.818390,0.158428,0.010602
90000,adjacent,85000,5000,0.881949,0.471844,0.410105,0.549890
90000,vs_initial,0,90000,0.992013,0.743116,0.248896,0.005938
95000,adjacent,90000,5000,0.665937,0.315067,0.350870,0.763386
95000,vs_initial,0,95000,0.986914,0.808876,0.178038,0.005338
100000,adjacent,95000,5000,0.439878,0.253028,0.186849,0.828705
100000,vs_initial,0,100000,0.995125,0.733123,0.262001,0.005366
