step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,0.588972,0.474505,0.114467,0.448377
10000,adjacent,5000,5000,0.521880,0.390889,0.130991,0.468953
10000,vs_initial,0,10000,0.715053,0.558244,0.156809,0.318134
15000,adjacent,10000,5000,0.438792,0.309840,0.128953,0.564435
15000,vs_initial,0,15000,0.790362,0.593198,0.197164,0.285849
20000,adjacent,15000,5000,0.345285,0.261392,0.083893,0.640404
20000,vs_initial,0,20000,0.844734,0.608996,0.235738,0.251922
25000,adjacent,20000,5000,0.305112,0.210079,0.095033,0.708179
25000,vs_initial,0,25000,0.890987,0.662356,0.228631,0.200565
30000,adjacent,25000,5000,0.272913,0.158149,0.114765,0.770362
30000,vs_initial,0,30000,0.918176,0.687363,0.230813,0.175457
35000,adjacent,30000,5000,0.240146,0.138256,0.101890,0.797639
35000,vs_initial,0,35000,0.954812,0.709275,0.245538,0.140466
40000,adjacent,35000,5000,0.308368,0.159147,0.149221,0.759715
40000,vs_initial,0,40000,0.967757,0.728967,0.238790,0.127147
45000,adjacent,40000,5000,0.282556,0.140972,0.141583,0.803626
45000,vs_initial,0,45000,0.969907,0.735540,0.234367,0.116689
50000,adjacent,45000,5000,0.302889,0.152016,0.150873,0.789922
50000,vs_initial,0,50000,0.977545,0.754214,0.223331,0.105068
55000,adjacent,50000,5000,0.314032,0.149593,0.164440,0.782563
55000,vs_initial,0,55000,0.980128,0.754286,0.225841,0.098853
60000,adjacent,55000,5000,0.285534,0.130999,0.154535,0.800541
60000,vs_initial,0,60000,0.989937,0.767833,0.222105,0.090148
65000,adjacent,60000,5000,0.200543,0.125245,0.075299,0.819484
65000,vs_initial,0,65000,0.989709,0.758599,0.231110,0.093991
70000,adjacent,65000,5000,0.184773,0.144146,0.040627,0.776505
70000,vs_initial,0,70000,0.994049,0.757977,0.236071,0.096338
75000,adjacent,70000,5000,0.212634,0.149269,0.063366,0.758159
75000,vs_initial,0,75000,1.001561,0.760681,0.240881,0.094203
80000,adjacent,75000,5000,0.180376,0.108893,0.071483,0.827178
80000,vs_initial,0,80000,1.004472,0.755693,0.248779,0.100227
85000,adjacent,80000,5000,0.284377,0.164744,0.119634,0.756845
85000,vs_initial,0,85000,1.005611,0.775117,0.230494,0.085012
90000,adjacent,85000,5000,0.185677,0.127074,0.058603,0.811826
90000,vs_initial,0,90000,1.005805,0.764381,0.241424,0.091852
95000,adjacent,90000,5000,0.326739,0.122908,0.203831,0.810236
95000,vs_initial,0,95000,0.997178,0.770092,0.227086,0.086873
100000,adjacent,95000,5000,0.288370,0.096217,0.192153,0.851431
100000,vs_initial,0,100000,0.996652,0.773921,0.222731,0.087691
