step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,0.604714,0.414739,0.189975,0.328828
10000,adjacent,5000,5000,0.159008,0.123615,0.035393,0.777176
10000,vs_initial,0,10000,0.660420,0.429600,0.230820,0.298245
15000,adjacent,10000,5000,0.094868,0.074412,0.020456,0.880221
15000,vs_initial,0,15000,0.716845,0.440618,0.276226,0.301030
20000,adjacent,15000,5000,0.066209,0.052256,0.013954,0.915373
20000,vs_initial,0,20000,0.762652,0.439407,0.323244,0.299176
25000,adjacent,20000,5000,0.063682,0.054198,0.009484,0.915627
25000,vs_initial,0,25000,0.804681,0.466849,0.337832,0.246837
30000,adjacent,25000,5000,0.045926,0.039276,0.006650,0.941653
30000,vs_initial,0,30000,0.816543,0.456411,0.360132,0.269557
35000,adjacent,30000,5000,0.047563,0.040335,0.007227,0.925829
35000,vs_initial,0,35000,0.834513,0.461766,0.372747,0.268423
40000,adjacent,35000,5000,0.043181,0.036574,0.006607,0.932510
40000,vs_initial,0,40000,0.835323,0.451378,0.383945,0.289700
45000,adjacent,40000,5000,0.042479,0.037186,0.005293,0.926612
45000,vs_initial,0,45000,0.857788,0.468707,0.389081,0.258507
50000,adjacent,45000,5000,0.049602,0.042446,0.007156,0.930660
50000,vs_initial,0,50000,0.849424,0.456003,0.393421,0.276311
55000,adjacent,50000,5000,0.029872,0.026730,0.003142,0.950001
55000,vs_initial,0,55000,0.863705,0.464897,0.398808,0.255342
60000,adjacent,55000,5000,0.036752,0.033442,0.003310,0.936335
60000,vs_initial,0,60000,0.859537,0.457626,0.401911,0.274691
65000,adjacent,60000,5000,0.041047,0.037170,0.003877,0.930507
65000,vs_initial,0,65000,0.863970,0.453507,0.410463,0.279420
70000,adjacent,65000,5000,0.055883,0.052778,0.003105,0.911056
70000,vs_initial,0,70000,0.870141,0.463112,0.407029,0.265124
75000,adjacent,70000,5000,0.034430,0.032412,0.002018,0.946578
75000,vs_initial,0,75000,0.870636,0.455894,0.414742,0.276119
80000,adjacent,75000,5000,0.031212,0.028396,0.002817,0.951364
80000,vs_initial,0,80000,0.865788,0.458528,0.407259,0.271295
85000,adjacent,80000,5000,0.031487,0.028894,0.002593,0.952065
85000,vs_initial,0,85000,0.873859,0.464815,0.409043,0.256988
90000,adjacent,85000,5000,0.037855,0.035109,0.002746,0.936925
90000,vs_initial,0,90000,0.874687,0.466650,0.408037,0.256243
95000,adjacent,90000,5000,0.030950,0.028905,0.002045,0.941903
95000,vs_initial,0,95000,0.877687,0.465181,0.412506,0.259802
100000,adjacent,95000,5000,0.052133,0.047831,0.004302,0.918198
100000,vs_initial,0,100000,0.874722,0.464750,0.409973,0.261655
