step,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
5000,adjacent,0,5000,0.870469,0.570961,0.299508,0.222626
10000,adjacent,5000,5000,0.716188,0.456436,0.259753,0.400166
10000,vs_initial,0,10000,0.919666,0.742144,0.177522,0.080415
15000,adjacent,10000,5000,0.539997,0.426656,0.113341,0.418533
15000,vs_initial,0,15000,0.954491,0.787600,0.166892,0.058750
20000,adjacent,15000,5000,0.422347,0.332169,0.090178,0.533373
20000,vs_initial,0,20000,0.977612,0.822736,0.154876,0.043591
25000,adjacent,20000,5000,0.389947,0.325714,0.064233,0.569021
25000,vs_initial,0,25000,0.990861,0.824404,0.166457,0.046452
30000,adjacent,25000,5000,0.504139,0.459559,0.044580,0.376463
30000,vs_initial,0,30000,0.995585,0.833355,0.162230,0.040533
35000,adjacent,30000,5000,0.510271,0.468259,0.042012,0.360070
35000,vs_initial,0,35000,0.986530,0.831279,0.155251,0.047004
40000,adjacent,35000,5000,0.390476,0.324489,0.065987,0.562865
40000,vs_initial,0,40000,0.985063,0.817623,0.167441,0.043748
45000,adjacent,40000,5000,0.594599,0.562748,0.031851,0.259408
45000,vs_initial,0,45000,0.988075,0.830414,0.157661,0.042720
50000,adjacent,45000,5000,0.511635,0.470539,0.041096,0.372785
50000,vs_initial,0,50000,0.994723,0.840524,0.154199,0.042789
55000,adjacent,50000,5000,0.419113,0.381633,0.037481,0.484882
55000,vs_initial,0,55000,1.003184,0.825718,0.177466,0.044993
60000,adjacent,55000,5000,0.359097,0.312375,0.046722,0.567391
60000,vs_initial,0,60000,0.995062,0.836964,0.158099,0.046650
65000,adjacent,60000,5000,0.206385,0.170420,0.035964,0.784109
65000,vs_initial,0,65000,0.993019,0.837561,0.155458,0.049123
70000,adjacent,65000,5000,0.331539,0.299736,0.031803,0.585093
70000,vs_initial,0,70000,0.998744,0.824229,0.174515,0.045385
75000,adjacent,70000,5000,0.349941,0.314503,0.035438,0.582837
75000,vs_initial,0,75000,1.001640,0.840713,0.160927,0.043648
80000,adjacent,75000,5000,0.278470,0.236941,0.041530,0.715659
80000,vs_initial,0,80000,1.003535,0.820519,0.183016,0.052882
85000,adjacent,80000,5000,0.244410,0.203597,0.040813,0.762648
85000,vs_initial,0,85000,0.999075,0.832779,0.166296,0.048833
90000,adjacent,85000,5000,0.346129,0.309136,0.036993,0.628016
90000,vs_initial,0,90000,0.992614,0.833592,0.159022,0.043977
95000,adjacent,90000,5000,0.459675,0.419865,0.039810,0.445886
95000,vs_initial,0,95000,1.003196,0.820652,0.182544,0.052433
100000,adjacent,95000,5000,0.378938,0.347797,0.031142,0.546559
100000,vs_initial,0,100000,1.003082,0.824397,0.178685,0.051986
