arm,step,one_minus_ff
pred,1,0.605284
pred,2,0.468292
pred,3,0.336243
pred,4,0.255856
pred,5,0.169026
pred,6,0.110958
pred,7,0.104067
pred,8,0.097497
pred,9,0.101313
pred,10,0.113465
pred,11,0.123746
pred,12,0.141315
pred,13,0.168413
pred,14,0.163886
pred,15,0.193476
pred,16,0.164299
pred,17,0.168229
pred,18,0.169378
pred,19,0.148338
pred,20,0.123996
pred,21,0.120602
pred,22,0.108962
pred,23,0.112332
pred,24,0.124641
pred,25,0.107831
pred,26,0.104514
pred,27,0.115321
pred,28,0.119868
pred,29,0.121309
pred,30,0.119403
pred,31,0.123916
pred,32,0.126352
pred,33,0.123169
pred,34,0.127252
pred,35,0.147563
pred,36,0.139071
pred,37,0.131488
pred,38,0.122029
pred,39,0.141209
pred,40,0.140711
pred,41,0.120826
pred,42,0.118987
pred,43,0.109841
pred,44,0.107320
pred,45,0.102063
pred,46,0.107593
pred,47,0.103604
pred,48,0.104305
pred,49,0.108872
pred,50,0.117784
pred,51,0.112528
pred,52,0.106878
pred,53,0.100018
pred,54,0.112731
pred,55,0.113372
pred,56,0.110055
pred,57,0.107809
pred,58,0.113655
pred,59,0.115636
pred,60,0.110039
pred,61,0.114085
pred,62,0.110424
pred,63,0.108168
pred,64,0.101320
pred,65,0.100869
pred,66,0.095893
pred,67,0.104519
pred,68,0.103635
pred,69,0.101464
pred,70,0.104415
pred,71,0.098774
pred,72,0.102620
pred,73,0.101672
pred,74,0.098577
pred,75,0.106350
pred,76,0.102190
pred,77,0.100482
pred,78,0.104150
pred,79,0.105155
pred,80,0.106653
pred,81,0.102344
pred,82,0.103975
pred,83,0.098967
pred,84,0.103406
pred,85,0.103509
pred,86,0.103247
pred,87,0.106566
pred,88,0.104283
pred,89,0.104280
pred,90,0.109768
pred,91,0.107555
pred,92,0.126764
pred,93,0.111353
pred,94,0.107947
pred,95,0.104924
pred,96,0.115877
pred,97,0.110991
pred,98,0.109874
pred,99,0.112090
pred,100,0.119015
pred,101,0.107245
pred,102,0.113331
pred,103,0.110692
pred,104,0.114128
pred,105,0.121682
pred,106,0.115605
pred,107,0.122500
pred,108,0.122016
pred,109,0.124882
pred,110,0.121371
pred,111,0.118261
pred,112,0.116190
pred,113,0.113733
pred,114,0.112704
pred,115,0.121292
pred,116,0.120171
pred,117,0.120291
pred,118,0.123453
pred,119,0.120167
pred,120,0.127058
pred,121,0.121557
pred,122,0.134192
pred,123,0.132183
pred,124,0.132482
pred,125,0.125348
pred,126,0.132078
pred,127,0.135270
pred,128,0.130293
pred,129,0.129281
pred,130,0.131980
pred,131,0.124922
pred,132,0.130135
pred,133,0.126986
pred,134,0.128891
pred,135,0.132203
pred,136,0.140035
pred,137,0.137568
pred,138,0.147910
pred,139,0.137913
pred,140,0.141853
pred,141,0.133798
pred,142,0.131875
pred,143,0.138092
pred,144,0.133783
pred,145,0.128984
pred,146,0.131542
pred,147,0.143838
pred,148,0.135243
pred,149,0.140984
pred,150,0.135207
pred,151,0.135092
pred,152,0.146696
pred,153,0.145062
pred,154,0.148491
pred,155,0.142347
pred,156,0.142525
pred,157,0.148111
pred,158,0.141705
pred,159,0.140379
pred,160,0.147833
pred,161,0.145707
pred,162,0.143745
pred,163,0.145757
pred,164,0.141441
pred,165,0.150550
pred,166,0.150275
pred,167,0.146007
pred,168,0.150337
pred,169,0.149343
pred,170,0.143418
pred,171,0.155527
pred,172,0.149239
pred,173,0.154653
pred,174,0.149326
pred,175,0.154613
pred,176,0.161312
pred,177,0.151679
pred,178,0.167459
pred,179,0.161933
pred,180,0.155664
pred,181,0.164779
pred,182,0.160143
pred,183,0.154372
pred,184,0.153432
pred,185,0.149686
pred,186,0.157220
pred,187,0.150694
pred,188,0.159005
pred,189,0.155397
pred,190,0.162306
pred,191,0.156222
pred,192,0.151725
pred,193,0.157154
pred,194,0.151759
pred,195,0.157251
pred,196,0.151944
pred,197,0.156275
pred,198,0.150220
pred,199,0.154108
pred,200,0.152917
pred,201,0.160557
pred,202,0.147033
pred,203,0.153516
pred,204,0.143954
pred,205,0.153382
pred,206,0.152013
pred,207,0.163422
pred,208,0.151395
pred,209,0.150755
pred,210,0.153557
pred,211,0.155298
pred,212,0.145593
pred,213,0.151712
pred,214,0.143393
pred,215,0.148394
pred,216,0.146149
pred,217,0.159167
pred,218,0.142797
pred,219,0.151942
pred,220,0.157328
pred,221,0.150698
pred,222,0.148344
pred,223,0.149055
pred,224,0.150650
pred,225,0.143220
pred,226,0.151106
pred,227,0.156332
pred,228,0.154181
pred,229,0.158523
pred,230,0.152534
pred,231,0.146178
pred,232,0.157494
pred,233,0.148837
pred,234,0.149104
pred,235,0.153915
pred,236,0.148742
pred,237,0.150396
pred,238,0.152910
pred,239,0.163949
pred,240,0.161631
pred,241,0.149383
pred,242,0.151168
pred,243,0.153390
pred,244,0.151390
pred,245,0.159836
pred,246,0.153202
pred,247,0.152601
pred,248,0.149602
pred,249,0.148842
pred,250,0.149718
pred,251,0.148500
pred,252,0.142009
pred,253,0.143875
pred,254,0.149179
pred,255,0.148350
pred,256,0.145100
pred,257,0.151701
pred,258,0.140733
pred,259,0.144022
pred,260,0.145869
pred,261,0.142171
pred,262,0.142974
pred,263,0.146100
pred,264,0.148100
pred,265,0.142881
pred,266,0.146963
pred,267,0.153165
pred,268,0.150680
pred,269,0.149827
pred,270,0.145283
pred,271,0.144750
pred,272,0.150061
pred,273,0.150997
pred,274,0.152397
pred,275,0.141785
pred,276,0.142548
pred,277,0.140955
pred,278,0.147772
pred,279,0.142187
pred,280,0.151284
pred,281,0.145400
pred,282,0.143978
pred,283,0.147177
pred,284,0.148207
pred,285,0.146479
pred,286,0.143354
pred,287,0.138906
pred,288,0.143001
pred,289,0.144209
pred,290,0.145889
pred,291,0.156140
pred,292,0.152807
pred,293,0.144477
pred,294,0.137757
pred,295,0.141083
pred,296,0.143651
pred,297,0.142881
pred,298,0.138869
pred,299,0.141952
pred,300,0.141591
pred,301,0.149291
pred,302,0.141804
pred,303,0.150327
pred,304,0.137641
pred,305,0.138362
pred,306,0.140693
pred,307,0.138948
pred,308,0.151621
pred,309,0.148927
pred,310,0.150332
pred,311,0.142226
pred,312,0.141282
pred,313,0.139144
pred,314,0.150285
pred,315,0.137625
pred,316,0.138579
pred,317,0.143015
pred,318,0.144972
pred,319,0.145770
pred,320,0.135747
pred,321,0.140019
pred,322,0.144433
pred,323,0.140632
pred,324,0.154416
pred,325,0.136448
pred,326,0.134964
pred,327,0.146123
pred,328,0.145629
pred,329,0.139855
pred,330,0.137497
pred,331,0.132308
pred,332,0.139525
pred,333,0.135032
pred,334,0.137936
pred,335,0.135993
pred,336,0.137216
pred,337,0.136056
pred,338,0.137237
pred,339,0.142951
pred,340,0.136140
pred,341,0.138852
pred,342,0.146861
pred,343,0.138259
pred,344,0.140994
pred,345,0.139585
pred,346,0.134192
pred,347,0.133661
pred,348,0.135664
pred,349,0.149283
pred,350,0.166555
pred,351,0.134618
pred,352,0.132920
pred,353,0.140377
pred,354,0.135825
pred,355,0.139223
pred,356,0.140755
pred,357,0.145823
pred,358,0.133873
pred,359,0.154879
pred,360,0.155140
pred,361,0.140774
pred,362,0.135750
pred,363,0.130308
pred,364,0.133491
pred,365,0.150879
pred,366,0.138808
pred,367,0.130474
pred,368,0.129294
pred,369,0.139937
pred,370,0.130715
pred,371,0.127770
pred,372,0.127191
pred,373,0.133234
pred,374,0.135013
pred,375,0.127575
pred,376,0.135600
pred,377,0.132877
pred,378,0.131991
pred,379,0.132945
pred,380,0.128158
pred,381,0.132603
pred,382,0.139666
pred,383,0.130682
pred,384,0.133659
pred,385,0.129887
pred,386,0.131294
pred,387,0.127638
pred,388,0.132529
pred,389,0.129943
pred,390,0.132956
pred,391,0.128108
pred,392,0.124617
pred,393,0.124683
pred,394,0.129320
pred,395,0.136066
pred,396,0.136492
pred,397,0.129498
pred,398,0.139921
pred,399,0.140050
pred,400,0.131246
pred,401,0.125458
pred,402,0.126391
pred,403,0.144761
pred,404,0.125586
pred,405,0.126568
pred,406,0.123807
pred,407,0.133858
pred,408,0.127974
pred,409,0.129847
pred,410,0.122589
pred,411,0.129642
pred,412,0.126186
pred,413,0.129668
pred,414,0.124577
pred,415,0.126520
pred,416,0.133732
pred,417,0.132470
pred,418,0.125845
pred,419,0.130825
pred,420,0.126319
pred,421,0.127544
pred,422,0.134948
pred,423,0.135325
pred,424,0.136873
pred,425,0.133894
pred,426,0.129647
pred,427,0.123861
pred,428,0.127474
pred,429,0.131562
pred,430,0.127550
pred,431,0.136008
pred,432,0.129789
pred,433,0.131614
pred,434,0.132776
pred,435,0.134598
pred,436,0.125963
pred,437,0.123792
pred,438,0.132150
pred,439,0.127332
pred,440,0.124036
pred,441,0.123045
pred,442,0.124569
pred,443,0.126079
pred,444,0.126491
pred,445,0.130777
pred,446,0.129956
pred,447,0.131016
pred,448,0.128895
pred,449,0.123880
pred,450,0.131446
pred,451,0.126719
pred,452,0.125661
pred,453,0.123677
pred,454,0.124344
pred,455,0.130203
pred,456,0.129682
pred,457,0.126949
pred,458,0.122962
pred,459,0.123904
pred,460,0.127328
pred,461,0.125711
pred,462,0.127306
pred,463,0.128414
pred,464,0.127210
pred,465,0.124299
pred,466,0.126185
pred,467,0.130323
pred,468,0.125275
pred,469,0.120742
pred,470,0.127076
pred,471,0.123878
pred,472,0.123112
pred,473,0.130606
pred,474,0.128985
pred,475,0.124828
pred,476,0.130165
pred,477,0.120570
pred,478,0.123837
pred,479,0.127656
pred,480,0.122093
pred,481,0.117671
pred,482,0.120998
pred,483,0.119334
pred,484,0.119306
pred,485,0.118858
pred,486,0.123172
pred,487,0.120043
pred,488,0.120478
pred,489,0.122172
pred,490,0.129801
pred,491,0.126746
pred,492,0.125532
pred,493,0.126364
pred,494,0.123244
pred,495,0.122538
pred,496,0.122070
pred,497,0.119221
pred,498,0.120922
pred,499,0.120800
pred,500,0.121529
pred,501,0.123564
pred,502,0.126195
pred,503,0.119465
pred,504,0.122167
pred,505,0.121182
pred,506,0.122593
pred,507,0.128069
pred,508,0.124567
pred,509,0.126566
pred,510,0.124130
pred,511,0.124662
pred,512,0.122230
pred,513,0.121406
pred,514,0.123149
pred,515,0.119720
pred,516,0.125764
pred,517,0.122653
pred,518,0.122927
pred,519,0.126021
pred,520,0.125139
pred,521,0.121591
pred,522,0.122646
pred,523,0.123631
pred,524,0.120582
pred,525,0.120770
pred,526,0.123906
pred,527,0.125499
pred,528,0.114870
pred,529,0.117877
pred,530,0.116106
pred,531,0.125464
pred,532,0.118280
pred,533,0.118954
pred,534,0.121249
pred,535,0.121078
pred,536,0.123606
pred,537,0.118548
pred,538,0.124205
pred,539,0.120484
pred,540,0.121405
pred,541,0.119517
pred,542,0.115918
pred,543,0.118871
pred,544,0.115968
pred,545,0.116818
pred,546,0.115717
pred,547,0.119131
pred,548,0.121295
pred,549,0.119999
pred,550,0.116947
pred,551,0.116855
pred,552,0.118475
pred,553,0.119845
pred,554,0.122289
pred,555,0.114280
pred,556,0.118128
pred,557,0.115560
pred,558,0.120914
pred,559,0.116348
pred,560,0.119529
pred,561,0.121439
pred,562,0.120959
pred,563,0.117359
pred,564,0.122777
pred,565,0.121033
pred,566,0.118542
pred,567,0.120325
pred,568,0.119480
pred,569,0.122160
pred,570,0.118599
pred,571,0.116668
pred,572,0.118405
pred,573,0.118968
pred,574,0.113572
pred,575,0.116450
pred,576,0.116939
pred,577,0.118226
pred,578,0.119088
pred,579,0.119841
pred,580,0.122925
pred,581,0.118586
pred,582,0.119075
pred,583,0.117302
pred,584,0.117103
pred,585,0.115696
pred,586,0.119886
pred,587,0.117872
pred,588,0.116155
pred,589,0.116871
pred,590,0.114096
pred,591,0.115197
pred,592,0.115858
pred,593,0.115774
pred,594,0.116105
pred,595,0.115932
pred,596,0.118027
pred,597,0.121334
pred,598,0.115806
pred,599,0.117537
pred,600,0.115974
pred,601,0.117894
pred,602,0.117516
pred,603,0.124563
pred,604,0.117104
pred,605,0.120319
pred,606,0.117959
pred,607,0.115472
pred,608,0.113185
pred,609,0.119520
pred,610,0.122437
pred,611,0.111030
pred,612,0.113718
pred,613,0.113521
pred,614,0.115653
pred,615,0.114326
pred,616,0.114087
pred,617,0.115672
pred,618,0.119664
pred,619,0.119921
pred,620,0.113956
pred,621,0.115056
pred,622,0.113019
pred,623,0.112706
pred,624,0.114856
pred,625,0.113665
pred,626,0.108076
pred,627,0.112642
pred,628,0.112663
pred,629,0.117222
pred,630,0.113528
pred,631,0.113836
pred,632,0.113596
pred,633,0.111433
pred,634,0.114175
pred,635,0.111543
pred,636,0.113601
pred,637,0.115674
pred,638,0.112960
pred,639,0.110413
pred,640,0.112307
pred,641,0.116028
pred,642,0.116226
pred,643,0.121151
pred,644,0.109289
pred,645,0.111925
pred,646,0.110271
pred,647,0.110280
pred,648,0.112362
pred,649,0.114043
pred,650,0.110768
pred,651,0.115013
pred,652,0.113398
pred,653,0.110922
pred,654,0.112164
pred,655,0.115681
pred,656,0.112676
pred,657,0.116403
pred,658,0.113233
pred,659,0.113839
pred,660,0.115379
pred,661,0.108301
pred,662,0.110753
pred,663,0.108620
pred,664,0.111969
pred,665,0.109750
pred,666,0.108893
pred,667,0.110355
pred,668,0.113964
pred,669,0.110211
pred,670,0.108225
pred,671,0.107903
pred,672,0.111804
pred,673,0.109435
pred,674,0.114969
pred,675,0.108253
pred,676,0.107352
pred,677,0.109212
pred,678,0.110189
pred,679,0.108152
pred,680,0.107467
pred,681,0.111784
pred,682,0.108860
pred,683,0.110804
pred,684,0.110836
pred,685,0.109596
pred,686,0.109237
pred,687,0.109535
pred,688,0.109020
pred,689,0.118548
pred,690,0.113118
pred,691,0.109632
pred,692,0.112433
pred,693,0.109334
pred,694,0.107285
pred,695,0.106456
pred,696,0.109722
pred,697,0.106713
pred,698,0.111851
pred,699,0.112310
pred,700,0.111807
pred,701,0.108612
pred,702,0.112747
