arm,step,u_batchtime,u_batchtime_e
pred,1,0.062303,
pred,2,0.074579,
pred,3,0.052224,
pred,4,0.036898,
pred,5,0.028151,
pred,6,0.024682,
pred,7,0.023015,
pred,8,0.024349,
pred,9,0.026289,
pred,10,0.027425,
pred,11,0.034902,
pred,12,0.035758,
pred,13,0.042363,
pred,14,0.054326,
pred,15,0.056418,
pred,16,0.058348,
pred,17,0.057200,
pred,18,0.057408,
pred,19,0.052331,
pred,20,0.056439,
pred,21,0.056592,
pred,22,0.050792,
pred,23,0.053876,
pred,24,0.055332,
pred,25,0.055917,
pred,26,0.055847,
pred,27,0.060857,
pred,28,0.062789,
pred,29,0.062774,
pred,30,0.068392,
pred,31,0.068656,
pred,32,0.072900,
pred,33,0.074026,
pred,34,0.059736,
pred,35,0.078659,
pred,36,0.079218,
pred,37,0.075926,
pred,38,0.085552,
pred,39,0.092721,
pred,40,0.091581,
pred,41,0.085570,
pred,42,0.094966,
pred,43,0.094060,
pred,44,0.091055,
pred,45,0.090800,
pred,46,0.091431,
pred,47,0.089633,
pred,48,0.092749,
pred,49,0.091449,
pred,50,0.098283,
pred,51,0.095344,
pred,52,0.096254,
pred,53,0.085380,
pred,54,0.099018,
pred,55,0.103591,
pred,56,0.104062,
pred,57,0.100234,
pred,58,0.103505,
pred,59,0.102471,
pred,60,0.099087,
pred,61,0.103613,
pred,62,0.100846,
pred,63,0.110610,
pred,64,0.105567,
pred,65,0.109768,
pred,66,0.105942,
pred,67,0.106340,
pred,68,0.110411,
pred,69,0.107310,
pred,70,0.113546,
pred,71,0.113606,
pred,72,0.110682,
pred,73,0.110935,
pred,74,0.113288,
pred,75,0.111009,
pred,76,0.120506,
pred,77,0.119934,
pred,78,0.113295,
pred,79,0.119386,
pred,80,0.123883,
pred,81,0.115769,
pred,82,0.117913,
pred,83,0.116547,
pred,84,0.123375,
pred,85,0.121880,
pred,86,0.124074,
pred,87,0.121549,
pred,88,0.120478,
pred,89,0.126890,
pred,90,0.116684,
pred,91,0.123924,
pred,92,0.123314,
pred,93,0.123888,
pred,94,0.122375,
pred,95,0.124057,
pred,96,0.125508,
pred,97,0.122981,
pred,98,0.133878,
pred,99,0.129196,
pred,100,0.129856,
pred,101,0.124079,
pred,102,0.127478,
pred,103,0.124959,
pred,104,0.131650,
pred,105,0.127110,
pred,106,0.135047,
pred,107,0.127106,
pred,108,0.130419,
pred,109,0.133318,
pred,110,0.134242,
pred,111,0.131182,
pred,112,0.131517,
pred,113,0.122497,
pred,114,0.136050,
pred,115,0.136037,
pred,116,0.125314,
pred,117,0.139095,
pred,118,0.139438,
pred,119,0.139532,
pred,120,0.139060,
pred,121,0.136730,
pred,122,0.136570,
pred,123,0.138058,
pred,124,0.131976,
pred,125,0.137399,
pred,126,0.135293,
pred,127,0.123706,
pred,128,0.139565,
pred,129,0.143598,
pred,130,0.144499,
pred,131,0.142618,
pred,132,0.143698,
pred,133,0.141149,
pred,134,0.143727,
pred,135,0.145933,
pred,136,0.148042,
pred,137,0.147127,
pred,138,0.147830,
pred,139,0.138847,
pred,140,0.143291,
pred,141,0.133374,
pred,142,0.148489,
pred,143,0.148097,
pred,144,0.148947,
pred,145,0.147006,
pred,146,0.150214,
pred,147,0.151262,
pred,148,0.145918,
pred,149,0.142331,
pred,150,0.150574,
pred,151,0.153029,
pred,152,0.157283,
pred,153,0.149421,
pred,154,0.161259,
pred,155,0.151843,
pred,156,0.148403,
pred,157,0.154991,
pred,158,0.137462,
pred,159,0.154501,
pred,160,0.163781,
pred,161,0.154021,
pred,162,0.156209,
pred,163,0.161460,
pred,164,0.160090,
pred,165,0.164815,
pred,166,0.163349,
pred,167,0.153595,
pred,168,0.168802,
pred,169,0.169578,
pred,170,0.166992,
pred,171,0.171232,
pred,172,0.169451,
pred,173,0.171089,
pred,174,0.170001,
pred,175,0.165867,
pred,176,0.178174,
pred,177,0.176786,
pred,178,0.165887,
pred,179,0.183692,
pred,180,0.179659,
pred,181,0.186636,
pred,182,0.178338,
pred,183,0.174355,
pred,184,0.177750,
pred,185,0.178103,
pred,186,0.185440,
pred,187,0.171840,
pred,188,0.190903,
pred,189,0.188453,
pred,190,0.193369,
pred,191,0.191907,
pred,192,0.187901,
pred,193,0.191717,
pred,194,0.192351,
pred,195,0.193812,
pred,196,0.187631,
pred,197,0.179629,
pred,198,0.191657,
pred,199,0.191536,
pred,200,0.197401,
pred,201,0.175317,
pred,202,0.203170,
pred,203,0.199533,
pred,204,0.198935,
pred,205,0.193205,
pred,206,0.188692,
pred,207,0.200094,
pred,208,0.192751,
pred,209,0.198972,
pred,210,0.201551,
pred,211,0.196568,
pred,212,0.193519,
pred,213,0.197310,
pred,214,0.190448,
pred,215,0.194187,
pred,216,0.197350,
pred,217,0.198204,
pred,218,0.195515,
pred,219,0.209627,
pred,220,0.205333,
pred,221,0.207832,
pred,222,0.199838,
pred,223,0.213116,
pred,224,0.212123,
pred,225,0.201972,
pred,226,0.212853,
pred,227,0.208672,
pred,228,0.215604,
pred,229,0.214641,
pred,230,0.217759,
pred,231,0.215966,
pred,232,0.223815,
pred,233,0.213215,
pred,234,0.210166,
pred,235,0.211924,
pred,236,0.212760,
pred,237,0.204263,
pred,238,0.209202,
pred,239,0.226488,
pred,240,0.226021,
pred,241,0.215190,
pred,242,0.220862,
pred,243,0.219130,
pred,244,0.221930,
pred,245,0.226852,
pred,246,0.226861,
pred,247,0.224952,
pred,248,0.226315,
pred,249,0.219191,
pred,250,0.220296,
pred,251,0.222598,
pred,252,0.218647,
pred,253,0.210665,
pred,254,0.230007,
pred,255,0.223668,
pred,256,0.216320,
pred,257,0.227099,
pred,258,0.215687,
pred,259,0.216364,
pred,260,0.216455,
pred,261,0.220541,
pred,262,0.229278,
pred,263,0.225835,
pred,264,0.217486,
pred,265,0.226211,
pred,266,0.234991,
pred,267,0.221345,
pred,268,0.229675,
pred,269,0.225838,
pred,270,0.226411,
pred,271,0.218004,
pred,272,0.226930,
pred,273,0.233784,
pred,274,0.233572,
pred,275,0.239900,
pred,276,0.229252,
pred,277,0.231504,
pred,278,0.228203,
pred,279,0.228173,
pred,280,0.239737,
pred,281,0.233640,
pred,282,0.231418,
pred,283,0.235803,
pred,284,0.243441,
pred,285,0.227478,
pred,286,0.235901,
pred,287,0.225273,
pred,288,0.235871,
pred,289,0.233212,
pred,290,0.235076,
pred,291,0.238412,
pred,292,0.230365,
pred,293,0.238789,
pred,294,0.234713,
pred,295,0.238743,
pred,296,0.238596,
pred,297,0.235510,
pred,298,0.224017,
pred,299,0.227523,
pred,300,0.227319,
pred,301,0.236069,
pred,302,0.235735,
pred,303,0.230920,
pred,304,0.232922,
pred,305,0.241545,
pred,306,0.232324,
pred,307,0.248983,
pred,308,0.238845,
pred,309,0.242080,
pred,310,0.236302,
pred,311,0.234430,
pred,312,0.242358,
pred,313,0.240841,
pred,314,0.234286,
pred,315,0.243049,
pred,316,0.241452,
pred,317,0.233830,
pred,318,0.241359,
pred,319,0.241805,
pred,320,0.243901,
pred,321,0.252678,
pred,322,0.251203,
pred,323,0.244400,
pred,324,0.225980,
pred,325,0.246453,
pred,326,0.230395,
pred,327,0.247160,
pred,328,0.241343,
pred,329,0.245929,
pred,330,0.250894,
pred,331,0.240763,
pred,332,0.253515,
pred,333,0.243901,
pred,334,0.239740,
pred,335,0.254849,
pred,336,0.238957,
pred,337,0.255983,
pred,338,0.243511,
pred,339,0.235415,
pred,340,0.248747,
pred,341,0.251313,
pred,342,0.242157,
pred,343,0.252237,
pred,344,0.250669,
pred,345,0.254697,
pred,346,0.249431,
pred,347,0.249108,
pred,348,0.239421,
pred,349,0.251886,
pred,350,0.230660,
pred,351,0.248709,
pred,352,0.247544,
pred,353,0.256377,
pred,354,0.244824,
pred,355,0.249409,
pred,356,0.246625,
pred,357,0.245441,
pred,358,0.253495,
pred,359,0.228397,
pred,360,0.241615,
pred,361,0.257272,
pred,362,0.252024,
pred,363,0.249978,
pred,364,0.245594,
pred,365,0.229207,
pred,366,0.252267,
pred,367,0.244409,
pred,368,0.243463,
pred,369,0.254132,
pred,370,0.252947,
pred,371,0.247476,
pred,372,0.245234,
pred,373,0.259688,
pred,374,0.254383,
pred,375,0.241761,
pred,376,0.255643,
pred,377,0.259924,
pred,378,0.254342,
pred,379,0.260608,
pred,380,0.257327,
pred,381,0.248547,
pred,382,0.262940,
pred,383,0.246646,
pred,384,0.254445,
pred,385,0.240258,
pred,386,0.247558,
pred,387,0.251216,
pred,388,0.258271,
pred,389,0.256525,
pred,390,0.258459,
pred,391,0.242387,
pred,392,0.254797,
pred,393,0.239945,
pred,394,0.249167,
pred,395,0.252979,
pred,396,0.255856,
pred,397,0.251526,
pred,398,0.255708,
pred,399,0.245242,
pred,400,0.260083,
pred,401,0.244556,
pred,402,0.256858,
pred,403,0.257060,
pred,404,0.259903,
pred,405,0.257047,
pred,406,0.247315,
pred,407,0.258539,
pred,408,0.261994,
pred,409,0.263080,
pred,410,0.244381,
pred,411,0.257806,
pred,412,0.247007,
pred,413,0.258170,
pred,414,0.245890,
pred,415,0.259334,
pred,416,0.268780,
pred,417,0.265327,
pred,418,0.265118,
pred,419,0.266318,
pred,420,0.247800,
pred,421,0.257654,
pred,422,0.260566,
pred,423,0.268949,
pred,424,0.260701,
pred,425,0.276954,
pred,426,0.267621,
pred,427,0.261353,
pred,428,0.264089,
pred,429,0.273491,
pred,430,0.279787,
pred,431,0.268303,
pred,432,0.264201,
pred,433,0.264304,
pred,434,0.249948,
pred,435,0.256981,
pred,436,0.250835,
pred,437,0.251916,
pred,438,0.264405,
pred,439,0.274633,
pred,440,0.260157,
pred,441,0.279393,
pred,442,0.259810,
pred,443,0.270487,
pred,444,0.256420,
pred,445,0.258549,
pred,446,0.265604,
pred,447,0.269784,
pred,448,0.259499,
pred,449,0.275110,
pred,450,0.260767,
pred,451,0.260391,
pred,452,0.264445,
pred,453,0.268603,
pred,454,0.257675,
pred,455,0.272749,
pred,456,0.271554,
pred,457,0.267051,
pred,458,0.258165,
pred,459,0.262021,
pred,460,0.260531,
pred,461,0.262709,
pred,462,0.282848,
pred,463,0.267429,
pred,464,0.273754,
pred,465,0.267746,
pred,466,0.272931,
pred,467,0.258702,
pred,468,0.258134,
pred,469,0.276451,
pred,470,0.277981,
pred,471,0.263185,
pred,472,0.270494,
pred,473,0.278531,
pred,474,0.272280,
pred,475,0.265117,
pred,476,0.270381,
pred,477,0.255143,
pred,478,0.277494,
pred,479,0.270204,
pred,480,0.273024,
pred,481,0.265065,
pred,482,0.274601,
pred,483,0.263883,
pred,484,0.270977,
pred,485,0.275813,
pred,486,0.274614,
pred,487,0.263010,
pred,488,0.272681,
pred,489,0.275731,
pred,490,0.281516,
pred,491,0.281552,
pred,492,0.269846,
pred,493,0.271990,
pred,494,0.279396,
pred,495,0.263770,
pred,496,0.285691,
pred,497,0.261939,
pred,498,0.278631,
pred,499,0.276032,
pred,500,0.268979,
pred,501,0.284732,
pred,502,0.290546,
pred,503,0.265821,
pred,504,0.281991,
pred,505,0.271936,
pred,506,0.264630,
pred,507,0.268977,
pred,508,0.278715,
pred,509,0.277793,
pred,510,0.260579,
pred,511,0.267273,
pred,512,0.265554,
pred,513,0.280977,
pred,514,0.274723,
pred,515,0.276982,
pred,516,0.274674,
pred,517,0.284771,
pred,518,0.279380,
pred,519,0.279596,
pred,520,0.289015,
pred,521,0.280217,
pred,522,0.284167,
pred,523,0.278558,
pred,524,0.280668,
pred,525,0.280752,
pred,526,0.288535,
pred,527,0.279229,
pred,528,0.274461,
pred,529,0.279667,
pred,530,0.292683,
pred,531,0.293668,
pred,532,0.285287,
pred,533,0.260182,
pred,534,0.273598,
pred,535,0.274485,
pred,536,0.285151,
pred,537,0.281874,
pred,538,0.289866,
pred,539,0.281058,
pred,540,0.279099,
pred,541,0.279573,
pred,542,0.284511,
pred,543,0.289749,
pred,544,0.278237,
pred,545,0.275106,
pred,546,0.273906,
pred,547,0.290432,
pred,548,0.290325,
pred,549,0.276222,
pred,550,0.276604,
pred,551,0.278273,
pred,552,0.277431,
pred,553,0.287206,
pred,554,0.281228,
pred,555,0.291518,
pred,556,0.281546,
pred,557,0.292602,
pred,558,0.288311,
pred,559,0.286854,
pred,560,0.290541,
pred,561,0.284944,
pred,562,0.289640,
pred,563,0.295620,
pred,564,0.285562,
pred,565,0.280716,
pred,566,0.287475,
pred,567,0.293239,
pred,568,0.279743,
pred,569,0.295259,
pred,570,0.284931,
pred,571,0.280281,
pred,572,0.291773,
pred,573,0.299028,
pred,574,0.291902,
pred,575,0.288204,
pred,576,0.294458,
pred,577,0.290495,
pred,578,0.289234,
pred,579,0.288308,
pred,580,0.273766,
pred,581,0.284079,
pred,582,0.298134,
pred,583,0.297875,
pred,584,0.286226,
pred,585,0.290884,
pred,586,0.304273,
pred,587,0.289477,
pred,588,0.274320,
pred,589,0.288529,
pred,590,0.299887,
pred,591,0.293265,
pred,592,0.296322,
pred,593,0.285704,
pred,594,0.288530,
pred,595,0.293295,
pred,596,0.294258,
pred,597,0.290478,
pred,598,0.293334,
pred,599,0.294888,
pred,600,0.294964,
pred,601,0.283096,
pred,602,0.293468,
pred,603,0.286433,
pred,604,0.297082,
pred,605,0.290234,
pred,606,0.274713,
pred,607,0.286498,
pred,608,0.300995,
pred,609,0.295178,
pred,610,0.295944,
pred,611,0.289352,
pred,612,0.280009,
pred,613,0.290557,
pred,614,0.286617,
pred,615,0.289041,
pred,616,0.292036,
pred,617,0.285493,
pred,618,0.291182,
pred,619,0.282776,
pred,620,0.296757,
pred,621,0.287714,
pred,622,0.293744,
pred,623,0.289714,
pred,624,0.297219,
pred,625,0.291404,
pred,626,0.293932,
pred,627,0.287181,
pred,628,0.299177,
pred,629,0.300622,
pred,630,0.297238,
pred,631,0.295423,
pred,632,0.291463,
pred,633,0.282331,
pred,634,0.290962,
pred,635,0.292861,
pred,636,0.284308,
pred,637,0.285784,
pred,638,0.288789,
pred,639,0.293204,
pred,640,0.293039,
pred,641,0.292056,
pred,642,0.299667,
pred,643,0.286903,
pred,644,0.295386,
pred,645,0.302203,
pred,646,0.303661,
pred,647,0.283478,
pred,648,0.300422,
pred,649,0.293425,
pred,650,0.299052,
pred,651,0.300959,
pred,652,0.287493,
pred,653,0.295709,
pred,654,0.286277,
pred,655,0.299444,
pred,656,0.297214,
pred,657,0.299679,
pred,658,0.303878,
pred,659,0.285217,
pred,660,0.302674,
pred,661,0.302051,
pred,662,0.304319,
pred,663,0.294953,
pred,664,0.288532,
pred,665,0.290198,
pred,666,0.279731,
pred,667,0.308969,
pred,668,0.289061,
pred,669,0.305289,
pred,670,0.287949,
pred,671,0.299727,
pred,672,0.303261,
pred,673,0.294926,
pred,674,0.297146,
pred,675,0.298566,
pred,676,0.289247,
pred,677,0.297567,
pred,678,0.296633,
pred,679,0.296131,
pred,680,0.280804,
pred,681,0.304793,
pred,682,0.296333,
pred,683,0.301132,
pred,684,0.309085,
pred,685,0.305789,
pred,686,0.295789,
pred,687,0.308127,
pred,688,0.296723,
pred,689,0.293802,
pred,690,0.299124,
pred,691,0.297145,
pred,692,0.299632,
pred,693,0.298657,
pred,694,0.291690,
pred,695,0.300388,
pred,696,0.299669,
pred,697,0.296899,
pred,698,0.294028,
pred,699,0.302692,
pred,700,0.296089,
pred,701,0.301928,
pred,702,0.310366,
pred,703,0.296030,
pred,704,0.300381,
pred,705,0.299096,
pred,706,0.304456,
pred,707,0.301752,
pred,708,0.301002,
pred,709,0.296608,
pred,710,0.304935,
pred,711,0.299393,
pred,712,0.305246,
pred,713,0.297360,
pred,714,0.303574,
pred,715,0.294294,
pred,716,0.294756,
pred,717,0.311422,
pred,718,0.309958,
pred,719,0.311840,
pred,720,0.301156,
pred,721,0.297185,
pred,722,0.305201,
pred,723,0.299534,
pred,724,0.307500,
pred,725,0.309666,
pred,726,0.313111,
pred,727,0.297520,
pred,728,0.313735,
pred,729,0.301658,
pred,730,0.305993,
pred,731,0.320314,
pred,732,0.308124,
pred,733,0.304021,
pred,734,0.319804,
pred,735,0.311530,
pred,736,0.313701,
pred,737,0.310646,
pred,738,0.303885,
pred,739,0.301404,
pred,740,0.307021,
pred,741,0.290798,
pred,742,0.292799,
pred,743,0.306966,
pred,744,0.305451,
pred,745,0.295626,
pred,746,0.308301,
pred,747,0.306932,
pred,748,0.307278,
pred,749,0.303028,
pred,750,0.301122,
pred,751,0.309411,
pred,752,0.295426,
pred,753,0.311395,
pred,754,0.299060,
pred,755,0.303058,
pred,756,0.307438,
pred,757,0.301897,
pred,758,0.304499,
pred,759,0.307177,
pred,760,0.311375,
pred,761,0.302034,
pred,762,0.306516,
pred,763,0.306003,
pred,764,0.289476,
pred,765,0.316855,
pred,766,0.304528,
pred,767,0.311456,
pred,768,0.319033,
pred,769,0.309048,
pred,770,0.309353,
pred,771,0.320205,
pred,772,0.292685,
pred,773,0.302459,
pred,774,0.313040,
pred,775,0.304376,
pred,776,0.297465,
pred,777,0.305831,
pred,778,0.320050,
pred,779,0.314705,
pred,780,0.309962,
pred,781,0.313208,
pred,782,0.311115,
pred,783,0.322368,
pred,784,0.309519,
pred,785,0.305551,
pred,786,0.314114,
pred,787,0.307641,
pred,788,0.305168,
pred,789,0.316334,
pred,790,0.319175,
pred,791,0.308304,
pred,792,0.315395,
pred,793,0.311037,
pred,794,0.319193,
pred,795,0.309925,
pred,796,0.315851,
pred,797,0.299343,
pred,798,0.318657,
pred,799,0.313203,
pred,800,0.306606,
pred,801,0.314732,
pred,802,0.313859,
pred,803,0.308429,
pred,804,0.312728,
pred,805,0.307678,
pred,806,0.295775,
pred,807,0.306938,
pred,808,0.304205,
pred,809,0.316288,
pred,810,0.319268,
pred,811,0.311642,
pred,812,0.312814,
pred,813,0.310408,
pred,814,0.312249,
pred,815,0.296298,
pred,816,0.298608,
pred,817,0.318129,
pred,818,0.296325,
pred,819,0.313515,
pred,820,0.316690,
pred,821,0.312598,
pred,822,0.316734,
pred,823,0.306006,
pred,824,0.310349,
pred,825,0.315707,
pred,826,0.299286,
pred,827,0.310215,
pred,828,0.308817,
pred,829,0.305001,
pred,830,0.312247,
pred,831,0.308142,
pred,832,0.318779,
pred,833,0.314023,
pred,834,0.293219,
pred,835,0.310462,
pred,836,0.314354,
pred,837,0.313312,
pred,838,0.309737,
pred,839,0.310908,
pred,840,0.301344,
pred,841,0.308906,
pred,842,0.298023,
pred,843,0.301892,
pred,844,0.312180,
pred,845,0.305893,
pred,846,0.323287,
pred,847,0.313349,
pred,848,0.314479,
pred,849,0.321229,
pred,850,0.317494,
pred,851,0.301021,
pred,852,0.313764,
pred,853,0.299713,
pred,854,0.289339,
pred,855,0.314939,
pred,856,0.316735,
pred,857,0.312314,
pred,858,0.307919,
pred,859,0.310429,
pred,860,0.321994,
pred,861,0.308552,
pred,862,0.318920,
pred,863,0.314704,
pred,864,0.316687,
pred,865,0.309152,
pred,866,0.312515,
pred,867,0.307789,
pred,868,0.306716,
pred,869,0.308029,
pred,870,0.312062,
pred,871,0.312996,
pred,872,0.312423,
pred,873,0.305586,
pred,874,0.306633,
pred,875,0.307239,
pred,876,0.315195,
pred,877,0.316076,
pred,878,0.314371,
pred,879,0.315976,
pred,880,0.320422,
pred,881,0.316954,
pred,882,0.303268,
pred,883,0.308227,
pred,884,0.314510,
pred,885,0.312849,
pred,886,0.315308,
pred,887,0.316634,
pred,888,0.299507,
pred,889,0.308264,
pred,890,0.312587,
pred,891,0.321857,
pred,892,0.310492,
pred,893,0.321872,
pred,894,0.317959,
pred,895,0.320809,
pred,896,0.314225,
pred,897,0.319548,
pred,898,0.314144,
pred,899,0.313085,
pred,900,0.315116,
pred,901,0.304792,
pred,902,0.314557,
pred,903,0.316383,
pred,904,0.313118,
pred,905,0.314486,
pred,906,0.317370,
pred,907,0.317300,
pred,908,0.319611,
pred,909,0.318537,
pred,910,0.316876,
pred,911,0.317554,
pred,912,0.307514,
pred,913,0.321081,
pred,914,0.321088,
pred,915,0.320158,
pred,916,0.316567,
pred,917,0.320446,
pred,918,0.309295,
pred,919,0.319241,
pred,920,0.315002,
pred,921,0.313241,
pred,922,0.305086,
pred,923,0.323392,
pred,924,0.313654,
pred,925,0.322365,
pred,926,0.327223,
pred,927,0.320425,
pred,928,0.316059,
pred,929,0.329031,
pred,930,0.325000,
pred,931,0.317152,
pred,932,0.319371,
pred,933,0.322373,
pred,934,0.316963,
pred,935,0.303822,
pred,936,0.320548,
pred,937,0.301952,
pred,938,0.315377,
pred,939,0.331285,
pred,940,0.322769,
pred,941,0.325485,
pred,942,0.306535,
pred,943,0.308398,
pred,944,0.310197,
pred,945,0.311154,
pred,946,0.304733,
pred,947,0.314030,
pred,948,0.324938,
pred,949,0.320969,
pred,950,0.316893,
pred,951,0.311978,
pred,952,0.318228,
pred,953,0.324709,
pred,954,0.317778,
pred,955,0.302900,
pred,956,0.328351,
pred,957,0.319385,
pred,958,0.313804,
pred,959,0.324202,
pred,960,0.312910,
pred,961,0.315862,
pred,962,0.296142,
pred,963,0.316923,
pred,964,0.320329,
pred,965,0.318385,
pred,966,0.313655,
pred,967,0.328884,
pred,968,0.325590,
pred,969,0.317715,
pred,970,0.317204,
pred,971,0.318407,
pred,972,0.324828,
pred,973,0.321718,
pred,974,0.324938,
pred,975,0.324607,
pred,976,0.316896,
pred,977,0.333370,
pred,978,0.329923,
pred,979,0.325120,
pred,980,0.323399,
pred,981,0.316589,
pred,982,0.304886,
pred,983,0.319901,
pred,984,0.322081,
pred,985,0.320738,
pred,986,0.327452,
pred,987,0.317655,
pred,988,0.310833,
pred,989,0.318586,
pred,990,0.307963,
pred,991,0.316844,
pred,992,0.329217,
pred,993,0.322238,
pred,994,0.311657,
pred,995,0.332220,
pred,996,0.320607,
pred,997,0.321107,
pred,998,0.313837,
pred,999,0.320119,
pred,1000,0.317619,
pred,1001,0.312629,
pred,1002,0.328028,
pred,1003,0.336409,
pred,1004,0.320702,
pred,1005,0.324186,
pred,1006,0.331182,
pred,1007,0.329094,
pred,1008,0.335254,
pred,1009,0.330218,
pred,1010,0.325438,
pred,1011,0.311190,
pred,1012,0.319844,
pred,1013,0.329081,
pred,1014,0.328607,
pred,1015,0.321063,
pred,1016,0.323137,
pred,1017,0.321052,
pred,1018,0.326421,
pred,1019,0.314628,
pred,1020,0.317110,
pred,1021,0.325330,
pred,1022,0.313184,
pred,1023,0.339590,
pred,1024,0.325532,
pred,1025,0.315639,
pred,1026,0.327788,
pred,1027,0.328727,
pred,1028,0.327519,
pred,1029,0.320869,
pred,1030,0.332034,
pred,1031,0.319216,
pred,1032,0.335389,
pred,1033,0.315313,
pred,1034,0.321730,
pred,1035,0.324790,
pred,1036,0.330819,
pred,1037,0.323412,
pred,1038,0.317013,
pred,1039,0.327211,
pred,1040,0.330910,
pred,1041,0.325154,
pred,1042,0.325790,
pred,1043,0.330664,
pred,1044,0.321722,
pred,1045,0.319141,
pred,1046,0.327649,
pred,1047,0.319860,
pred,1048,0.318707,
pred,1049,0.328800,
pred,1050,0.331626,
pred,1051,0.330624,
pred,1052,0.335101,
pred,1053,0.343646,
pred,1054,0.329781,
pred,1055,0.325961,
pred,1056,0.331793,
pred,1057,0.331527,
pred,1058,0.331318,
pred,1059,0.326639,
pred,1060,0.333125,
pred,1061,0.324894,
pred,1062,0.330231,
pred,1063,0.328248,
pred,1064,0.333867,
pred,1065,0.333742,
pred,1066,0.322640,
pred,1067,0.326582,
pred,1068,0.333105,
pred,1069,0.328198,
pred,1070,0.340778,
pred,1071,0.334519,
pred,1072,0.336153,
pred,1073,0.337285,
pred,1074,0.331176,
pred,1075,0.333970,
pred,1076,0.337383,
pred,1077,0.321443,
pred,1078,0.319647,
pred,1079,0.338133,
pred,1080,0.322075,
pred,1081,0.335681,
pred,1082,0.333362,
pred,1083,0.324814,
pred,1084,0.335963,
pred,1085,0.329597,
pred,1086,0.318379,
pred,1087,0.334055,
pred,1088,0.332300,
pred,1089,0.336229,
pred,1090,0.332766,
pred,1091,0.320430,
pred,1092,0.338500,
pred,1093,0.331847,
pred,1094,0.323425,
pred,1095,0.333755,
pred,1096,0.339131,
pred,1097,0.334486,
pred,1098,0.336028,
pred,1099,0.311956,
pred,1100,0.328024,
pred,1101,0.329816,
pred,1102,0.331317,
pred,1103,0.332189,
pred,1104,0.330997,
pred,1105,0.334863,
pred,1106,0.330972,
pred,1107,0.329181,
pred,1108,0.324887,
pred,1109,0.334947,
pred,1110,0.327576,
pred,1111,0.335705,
pred,1112,0.334134,
pred,1113,0.328151,
pred,1114,0.329594,
pred,1115,0.328736,
pred,1116,0.320271,
pred,1117,0.336469,
pred,1118,0.331730,
pred,1119,0.326772,
pred,1120,0.332738,
pred,1121,0.330754,
pred,1122,0.335707,
pred,1123,0.323685,
pred,1124,0.334497,
pred,1125,0.341239,
pred,1126,0.335618,
pred,1127,0.334577,
pred,1128,0.326857,
pred,1129,0.331635,
pred,1130,0.338442,
pred,1131,0.343498,
pred,1132,0.334329,
pred,1133,0.334499,
pred,1134,0.317851,
pred,1135,0.332421,
pred,1136,0.331190,
pred,1137,0.335125,
pred,1138,0.331672,
pred,1139,0.336096,
pred,1140,0.328884,
pred,1141,0.324943,
pred,1142,0.339547,
pred,1143,0.325870,
pred,1144,0.332652,
pred,1145,0.334102,
pred,1146,0.339203,
pred,1147,0.332550,
pred,1148,0.343038,
pred,1149,0.337390,
pred,1150,0.335416,
pred,1151,0.331045,
pred,1152,0.340096,
pred,1153,0.337461,
pred,1154,0.342873,
pred,1155,0.339528,
pred,1156,0.326894,
pred,1157,0.335577,
pred,1158,0.339115,
pred,1159,0.333180,
pred,1160,0.335417,
pred,1161,0.330583,
pred,1162,0.340084,
