arm,step_ref,step,delta_step,drift_cos_h
pred,0,5000,5000,0.961718
pred,5000,10000,5000,0.707687
pred,10000,15000,5000,0.635266
pred,15000,20000,5000,0.407798
pred,20000,25000,5000,0.517983
pred,25000,30000,5000,0.517995
pred,30000,35000,5000,0.720172
pred,35000,40000,5000,0.629238
pred,40000,45000,5000,0.661580
pred,45000,50000,5000,0.792258
pred,50000,55000,5000,0.805612
pred,55000,60000,5000,0.843816
pred,60000,65000,5000,0.638677
pred,65000,70000,5000,0.851478
pred,70000,75000,5000,0.802168
pred,75000,80000,5000,0.769118
pred,80000,85000,5000,0.763273
pred,85000,90000,5000,0.730601
pred,90000,95000,5000,0.794913
pred,95000,100000,5000,0.860528
rep,0,5000,5000,0.758894
rep,5000,10000,5000,0.607838
rep,10000,15000,5000,0.941227
rep,15000,20000,5000,0.863189
rep,20000,25000,5000,0.900318
rep,25000,30000,5000,0.373916
rep,30000,35000,5000,0.371843
rep,35000,40000,5000,0.527722
rep,40000,45000,5000,0.471682
rep,45000,50000,5000,0.507960
rep,50000,55000,5000,0.339754
rep,55000,60000,5000,0.662321
rep,60000,65000,5000,0.759941
rep,65000,70000,5000,0.690983
rep,70000,75000,5000,0.372602
rep,75000,80000,5000,0.254769
rep,80000,85000,5000,0.288510
rep,85000,90000,5000,0.253940
rep,90000,95000,5000,0.644278
rep,95000,100000,5000,0.603573
align,0,5000,5000,1.039134
align,5000,10000,5000,1.049046
align,10000,15000,5000,1.237592
align,15000,20000,5000,0.676743
align,20000,25000,5000,1.322595
align,25000,30000,5000,0.157391
align,30000,35000,5000,0.760414
align,35000,40000,5000,0.536124
align,40000,45000,5000,0.013300
align,45000,50000,5000,0.069159
align,50000,55000,5000,0.475621
align,55000,60000,5000,0.184089
align,60000,65000,5000,0.195504
align,65000,70000,5000,0.422945
align,70000,75000,5000,0.666933
align,75000,80000,5000,0.126830
align,80000,85000,5000,0.023576
align,85000,90000,5000,0.757472
align,90000,95000,5000,0.107750
align,95000,100000,5000,0.311007
pred_moco,0,5000,5000,0.852640
pred_moco,5000,10000,5000,0.460542
pred_moco,10000,15000,5000,0.484990
pred_moco,15000,20000,5000,0.462824
pred_moco,20000,25000,5000,0.439104
pred_moco,25000,30000,5000,0.432745
pred_moco,30000,35000,5000,0.414691
pred_moco,35000,40000,5000,0.439873
pred_moco,40000,45000,5000,0.358036
pred_moco,45000,50000,5000,0.363333
pred_moco,50000,55000,5000,0.405875
pred_moco,55000,60000,5000,0.373897
pred_moco,60000,65000,5000,0.394992
pred_moco,65000,70000,5000,0.375501
pred_moco,70000,75000,5000,0.357114
pred_moco,75000,80000,5000,0.338135
pred_moco,80000,85000,5000,0.377926
pred_moco,85000,90000,5000,0.450177
pred_moco,90000,95000,5000,0.475225
pred_moco,95000,100000,5000,0.457573
rep_moco,0,5000,5000,0.588972
rep_moco,5000,10000,5000,0.521880
rep_moco,10000,15000,5000,0.438792
rep_moco,15000,20000,5000,0.345285
rep_moco,20000,25000,5000,0.305112
rep_moco,25000,30000,5000,0.272913
rep_moco,30000,35000,5000,0.240146
rep_moco,35000,40000,5000,0.308368
rep_moco,40000,45000,5000,0.282556
rep_moco,45000,50000,5000,0.302889
rep_moco,50000,55000,5000,0.314032
rep_moco,55000,60000,5000,0.285534
rep_moco,60000,65000,5000,0.200543
rep_moco,65000,70000,5000,0.184773
rep_moco,70000,75000,5000,0.212634
rep_moco,75000,80000,5000,0.180376
rep_moco,80000,85000,5000,0.284377
rep_moco,85000,90000,5000,0.185677
rep_moco,90000,95000,5000,0.326739
rep_moco,95000,100000,5000,0.288370
sigreg_e,0,5000,5000,0.604714
sigreg_e,5000,10000,5000,0.159008
sigreg_e,10000,15000,5000,0.094868
sigreg_e,15000,20000,5000,0.066209
sigreg_e,20000,25000,5000,0.063682
sigreg_e,25000,30000,5000,0.045926
sigreg_e,30000,35000,5000,0.047563
sigreg_e,35000,40000,5000,0.043181
sigreg_e,40000,45000,5000,0.042479
sigreg_e,45000,50000,5000,0.049602
sigreg_e,50000,55000,5000,0.029872
sigreg_e,55000,60000,5000,0.036752
sigreg_e,60000,65000,5000,0.041047
sigreg_e,65000,70000,5000,0.055883
sigreg_e,70000,75000,5000,0.034430
sigreg_e,75000,80000,5000,0.031212
sigreg_e,80000,85000,5000,0.031487
sigreg_e,85000,90000,5000,0.037855
sigreg_e,90000,95000,5000,0.030950
sigreg_e,95000,100000,5000,0.052133
sigreg_h,0,5000,5000,0.870469
sigreg_h,5000,10000,5000,0.716188
sigreg_h,10000,15000,5000,0.539997
sigreg_h,15000,20000,5000,0.422347
sigreg_h,20000,25000,5000,0.389947
sigreg_h,25000,30000,5000,0.504139
sigreg_h,30000,35000,5000,0.510271
sigreg_h,35000,40000,5000,0.390476
sigreg_h,40000,45000,5000,0.594599
sigreg_h,45000,50000,5000,0.511635
sigreg_h,50000,55000,5000,0.419113
sigreg_h,55000,60000,5000,0.359097
sigreg_h,60000,65000,5000,0.206385
sigreg_h,65000,70000,5000,0.331539
sigreg_h,70000,75000,5000,0.349941
sigreg_h,75000,80000,5000,0.278470
sigreg_h,80000,85000,5000,0.244410
sigreg_h,85000,90000,5000,0.346129
sigreg_h,90000,95000,5000,0.459675
sigreg_h,95000,100000,5000,0.378938
cpc,0,5000,5000,0.978291
cpc,5000,10000,5000,0.702697
cpc,10000,15000,5000,0.659234
cpc,15000,20000,5000,0.707698
cpc,20000,25000,5000,0.588328
cpc,25000,30000,5000,0.418172
cpc,30000,35000,5000,0.696440
cpc,35000,40000,5000,0.422210
cpc,40000,45000,5000,0.475888
cpc,45000,50000,5000,0.712558
cpc,50000,55000,5000,0.725601
cpc,55000,60000,5000,0.508207
cpc,60000,65000,5000,0.267527
cpc,65000,70000,5000,0.645811
cpc,70000,75000,5000,1.051529
cpc,75000,80000,5000,0.335121
cpc,80000,85000,5000,0.873764
cpc,85000,90000,5000,0.881949
cpc,90000,95000,5000,0.665937
cpc,95000,100000,5000,0.439878
