step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
500,student_h,adjacent,0,500,0.762229,0.553614,0.208615,0.136253
500,teacher_h,adjacent,0,500,0.763859,0.554335,0.209524,0.136495
1000,student_h,adjacent,500,500,0.084575,0.042113,0.042461,0.621988
1000,student_h,vs_initial,0,1000,0.777511,0.554163,0.223349,0.166798
1000,teacher_h,adjacent,500,500,0.088369,0.041730,0.046639,0.624262
1000,teacher_h,vs_initial,0,1000,0.778103,0.554806,0.223297,0.162690
1500,student_h,adjacent,1000,500,0.047438,0.024331,0.023108,0.735686
1500,student_h,vs_initial,0,1500,0.774727,0.556111,0.218617,0.191787
1500,teacher_h,adjacent,1000,500,0.047270,0.024714,0.022557,0.731781
1500,teacher_h,vs_initial,0,1500,0.774509,0.555949,0.218560,0.191856
2000,student_h,adjacent,1500,500,0.023432,0.013032,0.010400,0.861149
2000,student_h,vs_initial,0,2000,0.776762,0.557062,0.219700,0.196512
2000,teacher_h,adjacent,1500,500,0.022629,0.013135,0.009494,0.857463
2000,teacher_h,vs_initial,0,2000,0.777416,0.557391,0.220025,0.197167
2500,student_h,adjacent,2000,500,0.019488,0.010848,0.008640,0.876250
2500,student_h,vs_initial,0,2500,0.778498,0.563730,0.214767,0.223901
2500,teacher_h,adjacent,2000,500,0.019315,0.010669,0.008646,0.878403
2500,teacher_h,vs_initial,0,2500,0.777948,0.563610,0.214338,0.224626
3000,student_h,adjacent,2500,500,0.016163,0.009310,0.006854,0.848480
3000,student_h,vs_initial,0,3000,0.782810,0.578113,0.204697,0.209271
3000,teacher_h,adjacent,2500,500,0.015747,0.009185,0.006562,0.851210
3000,teacher_h,vs_initial,0,3000,0.782076,0.577649,0.204427,0.209127
3500,student_h,adjacent,3000,500,0.013191,0.006652,0.006538,0.875618
3500,student_h,vs_initial,0,3500,0.788737,0.592761,0.195976,0.196932
3500,teacher_h,adjacent,3000,500,0.012585,0.006749,0.005836,0.876883
3500,teacher_h,vs_initial,0,3500,0.788891,0.592622,0.196269,0.195857
4000,student_h,adjacent,3500,500,0.010105,0.004907,0.005198,0.884855
4000,student_h,vs_initial,0,4000,0.796959,0.607419,0.189539,0.186227
4000,teacher_h,adjacent,3500,500,0.010523,0.004820,0.005704,0.887357
4000,teacher_h,vs_initial,0,4000,0.795687,0.605903,0.189784,0.189405
4500,student_h,adjacent,4000,500,0.008385,0.003332,0.005053,0.896218
4500,student_h,vs_initial,0,4500,0.803658,0.620571,0.183088,0.176196
4500,teacher_h,adjacent,4000,500,0.007980,0.003454,0.004526,0.898356
4500,teacher_h,vs_initial,0,4500,0.803731,0.620012,0.183719,0.179243
5000,student_h,adjacent,4500,500,0.006094,0.002523,0.003571,0.904828
5000,student_h,vs_initial,0,5000,0.808571,0.632662,0.175909,0.167836
5000,teacher_h,adjacent,4500,500,0.005923,0.002525,0.003398,0.904041
5000,teacher_h,vs_initial,0,5000,0.808551,0.632743,0.175808,0.169559
5500,student_h,adjacent,5000,500,0.005063,0.001931,0.003132,0.891962
5500,student_h,vs_initial,0,5500,0.815323,0.642861,0.172462,0.184596
5500,teacher_h,adjacent,5000,500,0.004466,0.001824,0.002642,0.899361
5500,teacher_h,vs_initial,0,5500,0.814500,0.643014,0.171487,0.182255
6000,student_h,adjacent,5500,500,0.003292,0.001110,0.002182,0.914047
6000,student_h,vs_initial,0,6000,0.818195,0.652219,0.165975,0.174790
6000,teacher_h,adjacent,5500,500,0.003190,0.001072,0.002118,0.918214
6000,teacher_h,vs_initial,0,6000,0.818143,0.651933,0.166210,0.176527
6500,student_h,adjacent,6000,500,0.002648,0.000624,0.002024,0.925983
6500,student_h,vs_initial,0,6500,0.820144,0.659218,0.160926,0.153287
6500,teacher_h,adjacent,6000,500,0.002527,0.000604,0.001923,0.928325
6500,teacher_h,vs_initial,0,6500,0.819941,0.659105,0.160836,0.149167
7000,student_h,adjacent,6500,500,0.002139,0.000415,0.001723,0.936159
7000,student_h,vs_initial,0,7000,0.821127,0.664644,0.156482,0.131285
7000,teacher_h,adjacent,6500,500,0.001999,0.000425,0.001575,0.937541
7000,teacher_h,vs_initial,0,7000,0.820487,0.664633,0.155854,0.133615
7500,student_h,adjacent,7000,500,0.001619,0.000265,0.001354,0.948933
7500,student_h,vs_initial,0,7500,0.821624,0.669122,0.152502,0.105918
7500,teacher_h,adjacent,7000,500,0.001573,0.000255,0.001318,0.948760
7500,teacher_h,vs_initial,0,7500,0.821549,0.669055,0.152494,0.109127
8000,student_h,adjacent,7500,500,0.001387,0.000215,0.001171,0.941827
8000,student_h,vs_initial,0,8000,0.823313,0.672051,0.151262,0.084317
8000,teacher_h,adjacent,7500,500,0.001346,0.000196,0.001150,0.946010
8000,teacher_h,vs_initial,0,8000,0.823150,0.672097,0.151053,0.082169
8500,student_h,adjacent,8000,500,0.001089,0.000144,0.000945,0.974118
8500,student_h,vs_initial,0,8500,0.825060,0.674148,0.150912,0.075628
8500,teacher_h,adjacent,8000,500,0.001084,0.000147,0.000937,0.975383
8500,teacher_h,vs_initial,0,8500,0.824599,0.674255,0.150344,0.074511
9000,student_h,adjacent,8500,500,0.001092,0.000099,0.000993,0.981548
9000,student_h,vs_initial,0,9000,0.825250,0.676144,0.149106,0.057805
9000,teacher_h,adjacent,8500,500,0.000987,0.000092,0.000894,0.982978
9000,teacher_h,vs_initial,0,9000,0.825333,0.676108,0.149226,0.059881
9500,student_h,adjacent,9000,500,0.000937,0.000090,0.000847,0.983297
9500,student_h,vs_initial,0,9500,0.827024,0.677339,0.149685,0.047255
9500,teacher_h,adjacent,9000,500,0.000978,0.000083,0.000895,0.984683
