run,step,ema_tau
align_teacher_a09,1,0.9
align_teacher_a09,100,0.9
align_teacher_a09,200,0.9
align_teacher_a09,300,0.9
align_teacher_a09,400,0.9
align_teacher_a09,500,0.9
align_teacher_a09,600,0.9
align_teacher_a09,700,0.9
align_teacher_a09,800,0.9
align_teacher_a09,900,0.9
align_teacher_a09,1000,0.9
align_teacher_a09,1100,0.9
align_teacher_a09,1200,0.9
align_teacher_a09,1300,0.9
align_teacher_a09,1400,0.9
align_teacher_a09,1500,0.9
align_teacher_a09,1600,0.9
align_teacher_a09,1700,0.9
align_teacher_a09,1800,0.9
align_teacher_a09,1900,0.9
align_teacher_a09,2000,0.9
align_teacher_a09,2100,0.9
align_teacher_a09,2200,0.9
align_teacher_a09,2300,0.9
align_teacher_a09,2400,0.9
align_teacher_a09,2500,0.9
align_teacher_a09,2600,0.9
align_teacher_a09,2700,0.9
align_teacher_a09,2800,0.9
align_teacher_a09,2900,0.9
align_teacher_a09,3000,0.9
align_teacher_a09,3100,0.9
align_teacher_a09,3200,0.9
align_teacher_a09,3300,0.9
align_teacher_a09,3400,0.9
align_teacher_a09,3500,0.9
align_teacher_a09,3600,0.9
align_teacher_a09,3700,0.9
align_teacher_a09,3800,0.9
align_teacher_a09,3900,0.9
align_teacher_a09,4000,0.9
align_teacher_a09,4100,0.9
align_teacher_a09,4200,0.9
align_teacher_a09,4300,0.9
align_teacher_a09,4400,0.9
align_teacher_a09,4500,0.9
align_teacher_a09,4600,0.9
align_teacher_a09,4700,0.9
align_teacher_a09,4800,0.9
align_teacher_a09,4900,0.9
align_teacher_a09,5000,0.9
align_teacher_a09,5100,0.9
align_teacher_a09,5200,0.9
align_teacher_a09,5300,0.9
align_teacher_a09,5400,0.9
align_teacher_a09,5500,0.9
align_teacher_a09,5600,0.9
align_teacher_a09,5700,0.9
align_teacher_a09,5800,0.9
align_teacher_a09,5900,0.9
align_teacher_a09,6000,0.9
align_teacher_a09,6100,0.9
align_teacher_a09,6200,0.9
align_teacher_a09,6300,0.9
align_teacher_a09,6400,0.9
align_teacher_a09,6500,0.9
align_teacher_a09,6600,0.9
align_teacher_a09,6700,0.9
align_teacher_a09,6800,0.9
align_teacher_a09,6900,0.9
align_teacher_a09,7000,0.9
align_teacher_a09,7100,0.9
align_teacher_a09,7200,0.9
align_teacher_a09,7300,0.9
align_teacher_a09,7400,0.9
align_teacher_a09,7500,0.9
align_teacher_a09,7600,0.9
align_teacher_a09,7700,0.9
align_teacher_a09,7800,0.9
align_teacher_a09,7900,0.9
align_teacher_a09,8000,0.9
align_teacher_a09,8100,0.9
align_teacher_a09,8200,0.9
align_teacher_a09,8300,0.9
align_teacher_a09,8400,0.9
align_teacher_a09,8500,0.9
