run,arm,alpha,latent,kind,step,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
pred,pred,none,student_h,adjacent,10000,5000,5000,0.707686,0.542818,0.164868,0.180079
pred,pred,none,student_h,vs_initial,10000,5000,5000,0.707686,0.542818,0.164868,0.180079
pred,pred,none,student_h,adjacent,15000,10000,5000,0.635266,0.476103,0.159162,0.282033
pred,pred,none,student_h,vs_initial,15000,5000,10000,0.831589,0.466189,0.365400,0.356457
pred,pred,none,student_h,adjacent,20000,15000,5000,0.407799,0.270861,0.136938,0.588157
pred,pred,none,student_h,vs_initial,20000,5000,15000,0.822432,0.461596,0.360836,0.410908
pred,pred,none,student_h,adjacent,25000,20000,5000,0.517982,0.402346,0.115636,0.347970
pred,pred,none,student_h,vs_initial,25000,5000,20000,0.869725,0.476472,0.393253,0.339827
pred,pred,none,student_h,adjacent,30000,25000,5000,0.517996,0.372543,0.145453,0.444775
pred,pred,none,student_h,vs_initial,30000,5000,25000,0.873693,0.489233,0.384460,0.311732
pred,pred,none,student_h,adjacent,35000,30000,5000,0.720172,0.542566,0.177606,0.229915
pred,pred,none,student_h,vs_initial,35000,5000,30000,0.929193,0.506851,0.422342,0.353046
pred,pred,none,student_h,adjacent,40000,35000,5000,0.629239,0.504158,0.125081,0.310625
pred,pred,none,student_h,vs_initial,40000,5000,35000,0.926928,0.582701,0.344227,0.222957
pred,pred,none,student_h,adjacent,45000,40000,5000,0.661580,0.545893,0.115687,0.307212
pred,pred,none,student_h,vs_initial,45000,5000,40000,0.917565,0.595862,0.321703,0.223596
pred,pred,none,student_h,adjacent,50000,45000,5000,0.792253,0.713222,0.079031,0.097772
pred,pred,none,student_h,vs_initial,50000,5000,45000,0.972631,0.695370,0.277260,0.100281
pred,pred,none,student_h,adjacent,55000,50000,5000,0.805621,0.694350,0.111271,0.092118
pred,pred,none,student_h,vs_initial,55000,5000,50000,0.969848,0.714584,0.255264,0.080775
pred,pred,none,student_h,adjacent,60000,55000,5000,0.843813,0.729531,0.114282,0.072036
pred,pred,none,student_h,vs_initial,60000,5000,55000,0.983975,0.619488,0.364488,0.164545
pred,pred,none,student_h,adjacent,65000,60000,5000,0.638676,0.501403,0.137273,0.284006
pred,pred,none,student_h,vs_initial,65000,5000,60000,0.985000,0.689279,0.295721,0.105236
pred,pred,none,student_h,adjacent,70000,65000,5000,0.851480,0.717282,0.134198,0.104406
pred,pred,none,student_h,vs_initial,70000,5000,65000,0.981358,0.732985,0.248374,0.076743
pred,pred,none,student_h,adjacent,75000,70000,5000,0.802169,0.618661,0.183508,0.153030
pred,pred,none,student_h,vs_initial,75000,5000,70000,0.993863,0.638666,0.355197,0.127337
pred,pred,none,student_h,adjacent,80000,75000,5000,0.769118,0.507972,0.261146,0.221530
pred,pred,none,student_h,vs_initial,80000,5000,75000,0.995786,0.621196,0.374590,0.161701
pred,pred,none,student_h,adjacent,85000,80000,5000,0.763272,0.551925,0.211347,0.193904
pred,pred,none,student_h,vs_initial,85000,5000,80000,1.009834,0.678133,0.331701,0.108513
pred,pred,none,student_h,adjacent,90000,85000,5000,0.730601,0.625158,0.105443,0.120134
pred,pred,none,student_h,vs_initial,90000,5000,85000,0.993111,0.693581,0.299531,0.093202
pred,pred,none,student_h,adjacent,95000,90000,5000,0.794914,0.686765,0.108148,0.075748
pred,pred,none,student_h,vs_initial,95000,5000,90000,0.988091,0.714222,0.273868,0.076967
pred,pred,none,student_h,adjacent,100000,95000,5000,0.860528,0.776421,0.084107,0.024968
pred,pred,none,student_h,vs_initial,100000,5000,95000,0.988588,0.804230,0.184358,0.026500
rep,rep,none,student_h,adjacent,10000,5000,5000,0.607838,0.438974,0.168864,0.032014
rep,rep,none,student_h,vs_initial,10000,5000,5000,0.607838,0.438974,0.168864,0.032014
rep,rep,none,student_h,adjacent,15000,10000,5000,0.941227,0.763669,0.177558,0.011203
rep,rep,none,student_h,vs_initial,15000,5000,10000,1.029857,0.726937,0.302920,0.004037
rep,rep,none,student_h,adjacent,20000,15000,5000,0.863192,0.784986,0.078206,0.011327
rep,rep,none,student_h,vs_initial,20000,5000,15000,1.025647,0.640644,0.385003,0.006590
rep,rep,none,student_h,adjacent,25000,20000,5000,0.900319,0.626604,0.273715,0.014366
rep,rep,none,student_h,vs_initial,25000,5000,20000,1.051522,0.300463,0.751059,0.019808
rep,rep,none,student_h,adjacent,30000,25000,5000,0.373916,0.137595,0.236321,0.599513
rep,rep,none,student_h,vs_initial,30000,5000,25000,0.999654,0.384042,0.615612,0.015550
rep,rep,none,student_h,adjacent,35000,30000,5000,0.371843,0.116691,0.255153,0.458187
rep,rep,none,student_h,vs_initial,35000,5000,30000,0.952068,0.328411,0.623657,0.016512
rep,rep,none,student_h,adjacent,40000,35000,5000,0.527722,0.176105,0.351617,0.548923
rep,rep,none,student_h,vs_initial,40000,5000,35000,1.105051,0.443375,0.661676,0.028090
rep,rep,none,student_h,adjacent,45000,40000,5000,0.471682,0.394389,0.077293,0.135513
rep,rep,none,student_h,vs_initial,45000,5000,40000,1.082373,0.527727,0.554646,0.022053
rep,rep,none,student_h,adjacent,50000,45000,5000,0.507960,0.426924,0.081036,0.117577
rep,rep,none,student_h,vs_initial,50000,5000,45000,1.069382,0.513783,0.555598,0.021500
rep,rep,none,student_h,adjacent,55000,50000,5000,0.339754,0.171711,0.168043,0.720941
rep,rep,none,student_h,vs_initial,55000,5000,50000,1.065141,0.496636,0.568505,0.011189
rep,rep,none,student_h,adjacent,60000,55000,5000,0.662321,0.568795,0.093526,0.088338
rep,rep,none,student_h,vs_initial,60000,5000,55000,1.015678,0.681389,0.334290,0.016922
rep,rep,none,student_h,adjacent,65000,60000,5000,0.759941,0.659570,0.100371,0.043158
rep,rep,none,student_h,vs_initial,65000,5000,60000,0.980343,0.546175,0.434168,0.019347
rep,rep,none,student_h,adjacent,70000,65000,5000,0.690983,0.553813,0.137170,0.141873
rep,rep,none,student_h,vs_initial,70000,5000,65000,1.061578,0.565628,0.495950,0.021007
rep,rep,none,student_h,adjacent,75000,70000,5000,0.372602,0.319315,0.053287,0.425169
rep,rep,none,student_h,vs_initial,75000,5000,70000,1.089843,0.344373,0.745470,0.026025
rep,rep,none,student_h,adjacent,80000,75000,5000,0.254769,0.222244,0.032525,0.236755
rep,rep,none,student_h,vs_initial,80000,5000,75000,1.108350,0.377430,0.730920,0.034535
rep,rep,none,student_h,adjacent,85000,80000,5000,0.288510,0.262790,0.025720,0.118757
rep,rep,none,student_h,vs_initial,85000,5000,80000,1.103339,0.353709,0.749630,0.033246
rep,rep,none,student_h,adjacent,90000,85000,5000,0.253940,0.230405,0.023534,0.169861
rep,rep,none,student_h,vs_initial,90000,5000,85000,1.085465,0.338366,0.747099,0.021965
rep,rep,none,student_h,adjacent,95000,90000,5000,0.644278,0.562158,0.082120,0.066222
rep,rep,none,student_h,vs_initial,95000,5000,90000,0.983406,0.663790,0.319616,0.031047
rep,rep,none,student_h,adjacent,100000,95000,5000,0.603573,0.505218,0.098354,0.218764
rep,rep,none,student_h,vs_initial,100000,5000,95000,1.083988,0.347870,0.736118,0.022900
align,align,none,student_h,adjacent,10000,5000,5000,1.049046,0.001808,1.047238,0.883713
align,align,none,student_h,vs_initial,10000,5000,5000,1.049046,0.001808,1.047238,0.883713
align,align,none,student_h,adjacent,15000,10000,5000,1.237592,0.046424,1.191168,0.237303
align,align,none,student_h,vs_initial,15000,5000,10000,0.323562,0.052641,0.270921,0.205068
align,align,none,student_h,adjacent,20000,15000,5000,0.676743,0.039646,0.637097,0.308506
align,align,none,student_h,vs_initial,20000,5000,15000,0.759177,0.009885,0.749292,0.116115
align,align,none,student_h,adjacent,25000,20000,5000,1.322595,0.006510,1.316086,0.360363
align,align,none,student_h,vs_initial,25000,5000,20000,0.517632,0.002832,0.514800,0.250096
align,align,none,student_h,adjacent,30000,25000,5000,0.157391,0.002346,0.155045,0.278773
align,align,none,student_h,vs_initial,30000,5000,25000,0.369272,0.002361,0.366911,0.104174
align,align,none,student_h,adjacent,35000,30000,5000,0.760414,0.002463,0.757951,0.018454
align,align,none,student_h,vs_initial,35000,5000,30000,0.856804,0.000039,0.856765,0.007573
align,align,none,student_h,adjacent,40000,35000,5000,0.536124,0.000007,0.536117,0.024657
align,align,none,student_h,vs_initial,40000,5000,35000,0.936744,0.000035,0.936709,0.023830
align,align,none,student_h,adjacent,45000,40000,5000,0.013300,0.000001,0.013299,0.020764
align,align,none,student_h,vs_initial,45000,5000,40000,0.963867,0.000035,0.963832,0.007188
align,align,none,student_h,adjacent,50000,45000,5000,0.069159,0.000000,0.069159,0.018408
