run,arm,alpha,latent,early_10k_25k,late_80k_100k,slope_per_decade
pred,pred,none,student_h,0.5672,0.7837,+0.2778
rep,rep,none,student_h,0.8281,0.4090,-0.3678
align,align,none,student_h,1.0715,0.2653,-0.9308
sigreg_e,sigreg_e,none,student_h,0.0959,0.0367,-0.0861
sigreg_h,sigreg_h,none,student_h,0.5171,0.3415,-0.3007
cpc,cpc,none,student_h,0.6645,0.6393,+0.0107
pred_moco,pred_moco,const_0.9,student_h,0.4619,0.4198,-0.0722
pred_moco,pred_moco,const_0.9,teacher_h,0.4584,0.4091,-0.0769
rep_moco,rep_moco,const_0.9,student_h,0.4028,0.2531,-0.2277
rep_moco,rep_moco,const_0.9,teacher_h,0.4046,0.2470,-0.2422
align_teacher_a09,align_teacher,const_0.9,student_h,0.0531,0.0123,-0.0608
align_teacher_a09,align_teacher,const_0.9,teacher_h,0.0530,0.0122,-0.0602
align_teacher_sched,align_teacher,sched_0.9_1.0,student_h,0.0402,0.0120,-0.0472
align_teacher_sched,align_teacher,sched_0.9_1.0,teacher_h,0.0406,0.0111,-0.0488
pred_moco_sched,pred_moco,sched_0.9_1.0,student_h,0.3958,0.1531,-0.3239
pred_moco_sched,pred_moco,sched_0.9_1.0,teacher_h,0.3851,0.1409,-0.3269
rep_moco_sched,rep_moco,sched_0.9_1.0,student_h,0.3701,0.0326,-0.4608
rep_moco_sched,rep_moco,sched_0.9_1.0,teacher_h,0.3669,0.0257,-0.4656
