step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
500,student_h,adjacent,0,500,0.762229,0.553614,0.208615,0.136253
500,teacher_h,adjacent,0,500,0.763859,0.554335,0.209524,0.136495
1000,student_h,adjacent,500,500,0.084575,0.042113,0.042461,0.621988
1000,student_h,vs_initial,0,1000,0.777511,0.554163,0.223349,0.166798
1000,teacher_h,adjacent,500,500,0.088369,0.041730,0.046639,0.624262
1000,teacher_h,vs_initial,0,1000,0.778103,0.554806,0.223297,0.162690
1500,student_h,adjacent,1000,500,0.047438,0.024331,0.023108,0.735686
1500,student_h,vs_initial,0,1500,0.774727,0.556111,0.218617,0.191787
1500,teacher_h,adjacent,1000,500,0.047270,0.024714,0.022557,0.731781
1500,teacher_h,vs_initial,0,1500,0.774509,0.555949,0.218560,0.191856
2000,student_h,adjacent,1500,500,0.023432,0.013032,0.010400,0.861149
2000,student_h,vs_initial,0,2000,0.776762,0.557062,0.219700,0.196512
2000,teacher_h,adjacent,1500,500,0.022629,0.013135,0.009494,0.857463
2000,teacher_h,vs_initial,0,2000,0.777416,0.557391,0.220025,0.197167
2500,student_h,adjacent,2000,500,0.019488,0.010848,0.008640,0.876250
2500,student_h,vs_initial,0,2500,0.778498,0.563730,0.214767,0.223901
2500,teacher_h,adjacent,2000,500,0.019315,0.010669,0.008646,0.878403
2500,teacher_h,vs_initial,0,2500,0.777948,0.563610,0.214338,0.224626
3000,student_h,adjacent,2500,500,0.016163,0.009310,0.006854,0.848480
3000,student_h,vs_initial,0,3000,0.782810,0.578113,0.204697,0.209271
3000,teacher_h,adjacent,2500,500,0.015747,0.009185,0.006562,0.851210
3000,teacher_h,vs_initial,0,3000,0.782076,0.577649,0.204427,0.209127
3500,student_h,adjacent,3000,500,0.013191,0.006652,0.006538,0.875618
3500,student_h,vs_initial,0,3500,0.788737,0.592761,0.195976,0.196932
3500,teacher_h,adjacent,3000,500,0.012585,0.006749,0.005836,0.876883
3500,teacher_h,vs_initial,0,3500,0.788891,0.592622,0.196269,0.195857
4000,student_h,adjacent,3500,500,0.010105,0.004907,0.005198,0.884855
4000,student_h,vs_initial,0,4000,0.796959,0.607419,0.189539,0.186227
4000,teacher_h,adjacent,3500,500,0.010523,0.004820,0.005704,0.887357
4000,teacher_h,vs_initial,0,4000,0.795687,0.605903,0.189784,0.189405
4500,student_h,adjacent,4000,500,0.008385,0.003332,0.005053,0.896218
4500,student_h,vs_initial,0,4500,0.803658,0.620571,0.183088,0.176196
4500,teacher_h,adjacent,4000,500,0.007980,0.003454,0.004526,0.898356
4500,teacher_h,vs_initial,0,4500,0.803731,0.620012,0.183719,0.179243
