step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,1.195351243019104,12.260136604309082,-0.5144722163677216,6.665239430444468,0.39471569657325745,0.909187912940979,0.4350152015686035,0.1083536297082901,32,32,0,0.2958330512046814,-0.07235753536224365,0.04589986056089401,0.061583951115608215,0.6710610389709473,0.12784090638160706,0.21420453488826752,,,,,,0.06230255216360092,,0.9
2,1.0233895778656006,11.005672454833984,-0.412025511264801,6.769760976094271,0.5165632963180542,0.9285888075828552,0.5220484137535095,0.24343594908714294,64,64,0,0.35534340143203735,-0.01206672191619873,0.05054325610399246,0.0671251192688942,0.7027113437652588,0.11818181723356247,0.20539772510528564,,,,,,0.06787072867155075,,0.9
3,0.9421470165252686,10.298601150512695,-0.32863980531692505,6.05419893721463,0.6063370704650879,0.9349768757820129,0.5918575525283813,0.3524690270423889,96,96,0,0.4082072377204895,0.035535216331481934,0.04745793342590332,0.055365778505802155,0.6944331526756287,0.13750000298023224,0.22272726893424988,,,,,,0.056310612708330154,,0.9
4,1.0029022693634033,10.175902366638184,-0.31822001934051514,6.004744285718303,0.6181963086128235,0.9364163279533386,0.5841230154037476,0.4410983622074127,128,128,0,0.34650689363479614,0.08207815885543823,0.04557979106903076,0.054199595004320145,0.6565544009208679,0.09659090638160706,0.16022726893424988,,,,,,0.05517787113785744,,0.9
5,0.8686885237693787,9.631458282470703,-0.24990171194076538,5.39822818538489,0.6932795643806458,0.9431812763214111,0.6599900126457214,0.49542567133903503,160,160,0,0.41431689262390137,0.09779340028762817,0.03968222811818123,0.045070305466651917,0.6800809502601624,0.07244317978620529,0.14943180978298187,,,,,,0.04576479643583298,,0.9
6,0.6300575733184814,8.427521705627441,-0.16039299964904785,4.22534201751379,0.7898780107498169,0.9502710103988647,0.7735257744789124,0.5583549737930298,192,192,0,0.5476701855659485,0.0705614686012268,0.03474155068397522,0.03971346467733383,0.7549693584442139,0.13636362552642822,0.23323862254619598,,,,,,0.040033962577581406,,0.9
7,0.7429727911949158,9.275555610656738,-0.22151833772659302,5.443895602930503,0.7286338806152344,0.9501522183418274,0.6964101791381836,0.5582608580589294,224,224,0,0.41753917932510376,0.10620331764221191,0.037257663905620575,0.04106875881552696,0.6939676403999329,0.1144886314868927,0.18863636255264282,,,,,,0.04119621589779854,,0.9
8,0.6507160663604736,8.99256706237793,-0.2007533311843872,5.404097489280965,0.7536633610725403,0.9544166922569275,0.7254726886749268,0.5298740267753601,256,256,0,0.5071065127849579,0.10279643535614014,0.0363844558596611,0.04160176217556,0.7260371446609497,0.09829545021057129,0.17528408765792847,,,,,,0.04183019697666168,,0.9
9,0.6243078708648682,9.278182983398438,-0.21349698305130005,6.045377457622822,0.7441876530647278,0.9576846361160278,0.7096996903419495,0.521105945110321,288,288,0,0.46304064989089966,0.11891859769821167,0.035395823419094086,0.04045732319355011,0.7156700491905212,0.12443181127309799,0.21249999105930328,,,,,,0.04091350734233856,,0.9
10,0.5886189341545105,8.869075775146484,-0.18634814023971558,5.349469463731965,0.7708079814910889,0.9571561217308044,0.7391234040260315,0.5933442711830139,320,320,0,0.47193920612335205,0.12203645706176758,0.03293340653181076,0.03788303583860397,0.6989730596542358,0.12897726893424988,0.20198862254619598,,,,,,0.03790215775370598,,0.9
11,0.571394681930542,8.685510635375977,-0.17628496885299683,5.168839955627411,0.7814286947250366,0.9577136635780334,0.7504792213439941,0.5690160989761353,352,352,0,0.5020332634449005,0.12486732006072998,0.03221309185028076,0.03917492926120758,0.7258161902427673,0.1352272629737854,0.22215908765792847,,,,,,0.0392884835600853,,0.9
12,0.5640577673912048,9.065213203430176,-0.17931175231933594,5.449895717772354,0.7803925275802612,0.9597042798995972,0.7490225434303284,0.6484197378158569,384,384,0,0.4269852042198181,0.12563753128051758,0.031171074137091637,0.0336519330739975,0.6699100732803345,0.08380681276321411,0.15198862552642822,,,,,,0.03372132405638695,,0.9
13,0.539423406124115,8.842628479003906,-0.16055572032928467,5.207326997118246,0.8012832999229431,0.9618390202522278,0.7650278806686401,0.6851368546485901,416,416,0,0.41016870737075806,0.15515071153640747,0.028527135029435158,0.03141361102461815,0.6408053636550903,0.0940340906381607,0.16392044723033905,,,,,,0.03138239309191704,,0.9
14,0.44916650652885437,8.364434242248535,-0.11960852146148682,4.343098137279238,0.8446137309074402,0.964222252368927,0.8206793069839478,0.6954634189605713,448,448,0,0.5317243337631226,0.1346813440322876,0.027504201978445053,0.030798466876149178,0.7150173783302307,0.09147726744413376,0.17869317531585693,,,,,,0.030784880742430687,,0.9
15,0.44363412261009216,8.37315559387207,-0.11413639783859253,4.330482695287838,0.8515933752059937,0.9657297730445862,0.8224868178367615,0.7240430116653442,480,480,0,0.4898841381072998,0.16370761394500732,0.026454854756593704,0.02909006178379059,0.6843355894088745,0.06676135957241058,0.1255681812763214,,,,,,0.029114944860339165,,0.9
16,0.4029999077320099,8.298208236694336,-0.10829466581344604,4.2567631031763105,0.858453094959259,0.9667477607727051,0.8344148397445679,0.708034098148346,512,512,0,0.5260566473007202,0.14518070220947266,0.0266762413084507,0.02967313677072525,0.7090796232223511,0.08522727340459824,0.16221590340137482,,,,,,0.029679663479328156,,0.9
17,0.38827255368232727,8.317915916442871,-0.107552170753479,4.294425446532085,0.8598011136054993,0.9673532843589783,0.8337185978889465,0.7267199158668518,544,544,0,0.5180997550487518,0.15632343292236328,0.026055678725242615,0.02861740253865719,0.6966190934181213,0.09602272510528564,0.1670454442501068,,,,,,0.02858120948076248,,0.9
18,0.3810412585735321,8.487761497497559,-0.10674923658370972,4.354363404118235,0.8614267706871033,0.968176007270813,0.8327582478523254,0.7790476679801941,576,576,0,0.41817641258239746,0.17243683338165283,0.024433571845293045,0.02603359892964363,0.6489482522010803,0.07727272808551788,0.13238635659217834,,,,,,0.025990251451730728,,0.9
19,0.3111749589443207,8.180277824401855,-0.07935398817062378,3.701356015428911,0.8912703990936279,0.9706243872642517,0.8718978762626648,0.7875469923019409,608,608,0,0.5574010908603668,0.15094542503356934,0.023052716627717018,0.02516169846057892,0.7041181921958923,0.07670453935861588,0.15340907871723175,,,,,,0.025236066430807114,,0.9
20,0.28349769115448,8.143962860107422,-0.08079129457473755,3.612513515961845,0.8882839679718018,0.9690752625465393,0.871995747089386,0.7354059815406799,640,640,0,0.6091622710227966,0.12530243396759033,0.025349043309688568,0.027553625404834747,0.7452110648155212,0.0832386314868927,0.1724431812763214,,,,,,0.02767976187169552,,0.9
21,0.2682899832725525,8.015325546264648,-0.0796470046043396,3.6396881179415153,0.8901801109313965,0.9698271155357361,0.8749269247055054,0.6882457733154297,672,672,0,0.6835404336452484,0.12136846780776978,0.025517538189888,0.029275570064783096,0.7592566609382629,0.08664772659540176,0.1764204502105713,,,,,,0.029352108016610146,,0.9
22,0.28032541275024414,8.096582412719727,-0.08647036552429199,3.8966208499389023,0.8836774826049805,0.9701478481292725,0.8657086491584778,0.6834532022476196,704,704,0,0.6530238389968872,0.13318657875061035,0.02513156086206436,0.029635954648256302,0.7450487613677979,0.07698863744735718,0.15994317829608917,,,,,,0.0297152791172266,,0.9
23,0.24257831275463104,8.001863479614258,-0.07133746147155762,3.478420230852381,0.8998790979385376,0.9712165594100952,0.8872639536857605,0.7152655124664307,736,736,0,0.6860276758670807,0.11258101463317871,0.024921055883169174,0.028088178485631943,0.7565769553184509,0.061647724360227585,0.1411931812763214,,,,,,0.028245829045772552,,0.9
24,0.24843356013298035,8.161433219909668,-0.07063162326812744,3.5047442100346013,0.9011692404747009,0.9718008637428284,0.8843439221382141,0.7643499374389648,768,768,0,0.5676020383834839,0.14588850736618042,0.023461859673261642,0.025819655507802963,0.7083265781402588,0.0676136314868927,0.11676135659217834,,,,,,0.025821568444371223,,0.9
25,0.22006560862064362,7.960931777954102,-0.06275451183319092,3.2453433766543966,0.9092967510223389,0.9720512628555298,0.8951258063316345,0.7398293614387512,800,800,0,0.673211008310318,0.13538771867752075,0.022645242512226105,0.026969298720359802,0.7596309185028076,0.07443181425333023,0.145454540848732,,,,,,0.027054931968450546,,0.9
