step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
500,student_h,adjacent,0,500,0.759085,0.553274,0.205811,0.138141
500,teacher_h,adjacent,0,500,0.760192,0.553946,0.206246,0.138116
1000,student_h,adjacent,500,500,0.082942,0.041587,0.041356,0.629743
1000,student_h,vs_initial,0,1000,0.772842,0.552269,0.220574,0.173912
1000,teacher_h,adjacent,500,500,0.086249,0.041302,0.044947,0.631420
1000,teacher_h,vs_initial,0,1000,0.773401,0.552952,0.220449,0.170388
1500,student_h,adjacent,1000,500,0.048165,0.023971,0.024194,0.740634
1500,student_h,vs_initial,0,1500,0.771348,0.556374,0.214974,0.189886
1500,teacher_h,adjacent,1000,500,0.047061,0.024354,0.022707,0.734315
1500,teacher_h,vs_initial,0,1500,0.772237,0.556664,0.215573,0.189163
2000,student_h,adjacent,1500,500,0.025646,0.014114,0.011532,0.850953
2000,student_h,vs_initial,0,2000,0.773511,0.555340,0.218171,0.202076
2000,teacher_h,adjacent,1500,500,0.024456,0.014139,0.010317,0.849077
2000,teacher_h,vs_initial,0,2000,0.774007,0.556377,0.217631,0.202639
2500,student_h,adjacent,2000,500,0.016977,0.009465,0.007512,0.890876
2500,student_h,vs_initial,0,2500,0.776269,0.563210,0.213059,0.230934
2500,teacher_h,adjacent,2000,500,0.016229,0.009118,0.007111,0.894516
2500,teacher_h,vs_initial,0,2500,0.774712,0.563280,0.211431,0.231675
3000,student_h,adjacent,2500,500,0.012838,0.007151,0.005687,0.891902
3000,student_h,vs_initial,0,3000,0.779343,0.579678,0.199665,0.207331
3000,teacher_h,adjacent,2500,500,0.012387,0.007037,0.005351,0.889635
3000,teacher_h,vs_initial,0,3000,0.779172,0.579002,0.200170,0.210319
3500,student_h,adjacent,3000,500,0.011156,0.005990,0.005166,0.876047
3500,student_h,vs_initial,0,3500,0.785722,0.592570,0.193152,0.191311
3500,teacher_h,adjacent,3000,500,0.010830,0.005864,0.004966,0.881366
3500,teacher_h,vs_initial,0,3500,0.785702,0.592645,0.193058,0.190178
4000,student_h,adjacent,3500,500,0.009630,0.005196,0.004434,0.853500
4000,student_h,vs_initial,0,4000,0.794311,0.606215,0.188096,0.204852
4000,teacher_h,adjacent,3500,500,0.009112,0.005029,0.004084,0.864231
4000,teacher_h,vs_initial,0,4000,0.793286,0.605452,0.187834,0.206929
4500,student_h,adjacent,4000,500,0.008960,0.003328,0.005632,0.884155
4500,student_h,vs_initial,0,4500,0.799909,0.621038,0.178871,0.191632
4500,teacher_h,adjacent,4000,500,0.008789,0.003369,0.005420,0.885269
4500,teacher_h,vs_initial,0,4500,0.800225,0.621260,0.178965,0.191726
