step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau
1,9.589168548583984,23.02267074584961,-0.5144722163677216,6.665239430444468,0.39471569657325745,0.909187912940979,0.4350152015686035,0.1083536297082901,32,32,0,0.2958330512046814,-0.07235753536224365,0.04589986056089401,0.061583951115608215,0.6710610389709473,0.12784090638160706,0.21420453488826752,,,,,,0.06230255216360092,,0.900001
2,9.176253318786621,22.031158447265625,-0.5371763110160828,6.4475762116523905,0.3642153739929199,0.9013916850090027,0.4091099500656128,0.07385993748903275,64,64,0,0.29264819622039795,-0.0772172212600708,0.05327528715133667,0.08172571659088135,0.696693480014801,0.11363635957241058,0.20142044126987457,,,,,,0.08289197832345963,,0.900002
3,8.986684799194336,21.414941787719727,-0.5465347468852997,6.0267922341636275,0.3447408974170685,0.8912756443023682,0.3942318856716156,0.055318549275398254,96,96,0,0.29519033432006836,-0.08252108097076416,0.05988559126853943,0.09184528887271881,0.6861764788627625,0.15852272510528564,0.2508522570133209,,,,,,0.09434337168931961,,0.900003
4,8.367626190185547,20.5747013092041,-0.639199897646904,6.7010714500260224,0.24868084490299225,0.8878807425498962,0.2838229537010193,0.051408302038908005,128,128,0,0.19091922044754028,-0.05001473426818848,0.07476479560136795,0.1272258162498474,0.6430578827857971,0.12073863297700882,0.1974431723356247,,,,,,0.13151389360427856,,0.900004
5,8.552290916442871,20.568166732788086,-0.6160615384578705,6.198546782556562,0.2654319703578949,0.8814935088157654,0.31102603673934937,0.03535977005958557,160,160,0,0.22086584568023682,-0.06705522537231445,0.07083705812692642,0.12402081489562988,0.6595554351806641,0.1096590906381607,0.18380680680274963,,,,,,0.1316463053226471,,0.900005
6,8.582958221435547,20.674070358276367,-0.49031904339790344,4.945130326355418,0.3853963315486908,0.8757153749465942,0.4502415955066681,0.0442667119204998,192,192,0,0.3551691174507141,-0.1189652681350708,0.07110612094402313,0.13968656957149506,0.7560087442398071,0.17897726595401764,0.2815340757369995,,,,,,0.1504688262939453,,0.900006
7,8.141021728515625,20.117849349975586,-0.6045820713043213,6.447712039185357,0.2844388484954834,0.8890209197998047,0.3230280876159668,0.03439515456557274,224,224,0,0.24640512466430664,-0.05802631378173828,0.08516236394643784,0.15465065836906433,0.697206437587738,0.1724431812763214,0.2556818127632141,,,,,,0.15980498492717743,,0.900007
8,7.919336318969727,20.14250373840332,-0.5607759654521942,6.2159674166261025,0.33171263337135315,0.8924885988235474,0.3737006187438965,0.024113062769174576,256,256,0,0.3139565587043762,-0.06836497783660889,0.08389294147491455,0.15316133201122284,0.7318509221076965,0.1505681723356247,0.234375,,,,,,0.1624090075492859,,0.900008
9,7.921045303344727,20.25475311279297,-0.5665079951286316,6.14155519647551,0.3233097791671753,0.8898177742958069,0.36692407727241516,0.014492848888039589,288,288,0,0.26671355962753296,-0.07033789157867432,0.0784955620765686,0.1480264663696289,0.7246776223182678,0.18579544126987457,0.2906249761581421,,,,,,0.1583346128463745,,0.9000090000000001
10,7.53153133392334,20.35512924194336,-0.5738122463226318,6.212266051032386,0.3160989284515381,0.8899111747741699,0.36450809240341187,0.022554291412234306,320,320,0,0.29300159215927124,-0.07722866535186768,0.08207639306783676,0.208675816655159,0.725054144859314,0.17840908467769623,0.2599431872367859,,,,,,0.21610812842845917,,0.90001
11,7.6818437576293945,20.278749465942383,-0.5864070057868958,6.888736656742647,0.3140118718147278,0.9004188776016235,0.35028955340385437,0.028423748910427094,352,352,0,0.2536966800689697,-0.0561223030090332,0.0790957435965538,0.17583118379116058,0.7056254744529724,0.19630680978298187,0.27755680680274963,,,,,,0.18450048565864563,,0.900011
12,7.645789623260498,20.323219299316406,-0.6270120143890381,6.743147214773015,0.2638123035430908,0.8908243179321289,0.3004879951477051,0.02385648526251316,384,384,0,0.24667227268218994,-0.05330836772918701,0.08674713969230652,0.1723606288433075,0.6629542708396912,0.14318181574344635,0.24147726595401764,,,,,,0.18164454400539398,,0.900012
13,7.418174743652344,19.911640167236328,-0.7287173271179199,8.000696299078777,0.1671905517578125,0.8959078788757324,0.1877119541168213,0.01293092779815197,416,416,0,0.15990734100341797,-0.026175737380981445,0.09578639268875122,0.17972879111766815,0.6028037071228027,0.14176136255264282,0.20624999701976776,,,,,,0.19036871194839478,,0.9000130000000001
14,7.439940929412842,19.88445472717285,-0.5786129534244537,6.32695900922826,0.31276729702949524,0.891380250453949,0.35404595732688904,0.010413308627903461,448,448,0,0.29614919424057007,-0.06525743007659912,0.08980502933263779,0.18547162413597107,0.7158234715461731,0.16789771616458893,0.2562499940395355,,,,,,0.19833435118198395,,0.900014
15,7.319830894470215,19.8210506439209,-0.6816957294940948,7.250386107771341,0.20923969149589539,0.8909354209899902,0.24037949740886688,0.010530197992920876,480,480,0,0.17830395698547363,-0.04195594787597656,0.08530791103839874,0.19560518860816956,0.63959801197052,0.1255681812763214,0.18607954680919647,,,,,,0.20965948700904846,,0.900015
