cell,head,stop,panel,domain,n_configs,gm_rel_mase
arm6_v2_combab_alignS,teacher,100000,lowest5,Energy,32,1.4598
arm6_v2_combab_alignS,teacher,100000,lowest5,Web/CloudOps,20,1.2425
arm6_v2_combab_alignS,teacher,100000,lowest5,Transport,15,1.0234
arm6_v2_combab_alignS,teacher,100000,lowest5,Nature,15,0.8634
arm6_v2_combab_alignS,teacher,100000,lowest5,Econ/Fin,6,1.3814
arm6_v2_combab_alignS,teacher,100000,lowest5,Healthcare,5,1.1691
arm6_v2_combab_alignS,teacher,100000,lowest5,Sales,4,0.7885
arm5_combab_alignS,student,200000,lowest5,Energy,32,1.4411
arm5_combab_alignS,student,200000,lowest5,Web/CloudOps,20,1.2834
arm5_combab_alignS,student,200000,lowest5,Transport,15,1.0291
arm5_combab_alignS,student,200000,lowest5,Nature,15,0.8810
arm5_combab_alignS,student,200000,lowest5,Econ/Fin,6,1.4178
arm5_combab_alignS,student,200000,lowest5,Healthcare,5,1.1442
arm5_combab_alignS,student,200000,lowest5,Sales,4,0.7733
arm6_v2_combab_alignT,student,100000,lowest5,Energy,32,1.4343
arm6_v2_combab_alignT,student,100000,lowest5,Web/CloudOps,20,1.2630
arm6_v2_combab_alignT,student,100000,lowest5,Transport,15,1.0391
arm6_v2_combab_alignT,student,100000,lowest5,Nature,15,0.8665
arm6_v2_combab_alignT,student,100000,lowest5,Econ/Fin,6,1.4513
arm6_v2_combab_alignT,student,100000,lowest5,Healthcare,5,1.2339
arm6_v2_combab_alignT,student,100000,lowest5,Sales,4,0.8032
arm6_v2_combab_alignS,student,100000,lowest5,Energy,32,1.4808
arm6_v2_combab_alignS,student,100000,lowest5,Web/CloudOps,20,1.2566
arm6_v2_combab_alignS,student,100000,lowest5,Transport,15,1.0206
arm6_v2_combab_alignS,student,100000,lowest5,Nature,15,0.8655
arm6_v2_combab_alignS,student,100000,lowest5,Econ/Fin,6,1.4135
arm6_v2_combab_alignS,student,100000,lowest5,Healthcare,5,1.1706
arm6_v2_combab_alignS,student,100000,lowest5,Sales,4,0.8000
arm6_v2_combab_alignT,teacher,100000,lowest5,Energy,32,1.4334
arm6_v2_combab_alignT,teacher,100000,lowest5,Web/CloudOps,20,1.2758
arm6_v2_combab_alignT,teacher,100000,lowest5,Transport,15,1.0444
arm6_v2_combab_alignT,teacher,100000,lowest5,Nature,15,0.8696
arm6_v2_combab_alignT,teacher,100000,lowest5,Econ/Fin,6,1.4646
arm6_v2_combab_alignT,teacher,100000,lowest5,Healthcare,5,1.2261
arm6_v2_combab_alignT,teacher,100000,lowest5,Sales,4,0.8034
arm5_combab_alignS,student,200000,deepest,Energy,32,1.4411
arm5_combab_alignS,student,200000,deepest,Web/CloudOps,20,1.2834
arm5_combab_alignS,student,200000,deepest,Transport,15,1.0291
arm5_combab_alignS,student,200000,deepest,Nature,15,0.8810
arm5_combab_alignS,student,200000,deepest,Econ/Fin,6,1.4178
arm5_combab_alignS,student,200000,deepest,Healthcare,5,1.1442
arm5_combab_alignS,student,200000,deepest,Sales,4,0.7733
arm6_v2_nse_alignT,teacher,200000,deepest,Energy,32,1.6461
arm6_v2_nse_alignT,teacher,200000,deepest,Web/CloudOps,20,1.4447
arm6_v2_nse_alignT,teacher,200000,deepest,Transport,15,1.1360
arm6_v2_nse_alignT,teacher,200000,deepest,Nature,15,0.9434
arm6_v2_nse_alignT,teacher,200000,deepest,Econ/Fin,6,1.9843
arm6_v2_nse_alignT,teacher,200000,deepest,Healthcare,5,1.2545
arm6_v2_nse_alignT,teacher,200000,deepest,Sales,4,0.8233
arm6_v2_nse_alignT,student,200000,deepest,Energy,32,1.6360
arm6_v2_nse_alignT,student,200000,deepest,Web/CloudOps,20,1.4393
arm6_v2_nse_alignT,student,200000,deepest,Transport,15,1.1480
arm6_v2_nse_alignT,student,200000,deepest,Nature,15,0.9525
arm6_v2_nse_alignT,student,200000,deepest,Econ/Fin,6,2.1998
arm6_v2_nse_alignT,student,200000,deepest,Healthcare,5,1.3097
arm6_v2_nse_alignT,student,200000,deepest,Sales,4,0.8333
arm5_combab_alignT,student,200000,deepest,Energy,32,1.7487
arm5_combab_alignT,student,200000,deepest,Web/CloudOps,20,1.5735
arm5_combab_alignT,student,200000,deepest,Transport,15,1.1813
arm5_combab_alignT,student,200000,deepest,Nature,15,0.9653
arm5_combab_alignT,student,200000,deepest,Econ/Fin,6,2.0353
arm5_combab_alignT,student,200000,deepest,Healthcare,5,1.2239
arm5_combab_alignT,student,200000,deepest,Sales,4,0.8646
arm5_combab_alignT,teacher,200000,deepest,Energy,32,1.7406
arm5_combab_alignT,teacher,200000,deepest,Web/CloudOps,20,1.5600
arm5_combab_alignT,teacher,200000,deepest,Transport,15,1.1059
arm5_combab_alignT,teacher,200000,deepest,Nature,15,0.9608
arm5_combab_alignT,teacher,200000,deepest,Econ/Fin,6,2.1939
arm5_combab_alignT,teacher,200000,deepest,Healthcare,5,1.5264
arm5_combab_alignT,teacher,200000,deepest,Sales,4,0.9266
