cell,arm,align,stop,head,head_steps,ema_tau,gm_rel_mase
arm1_nse,arm1_nse,,40000,student,15000,0.940000,1.434700
arm1_nse,arm1_nse,,40000,teacher,15000,0.940000,1.451200
arm1_nse,arm1_nse,,100000,student,30000,1.000000,1.522700
arm1_nse,arm1_nse,,100000,teacher,30000,1.000000,1.560400
arm4_combab,arm4_combab,,40000,student,15000,0.940000,1.250300
arm4_combab,arm4_combab,,40000,teacher,15000,0.940000,1.287000
arm4_combab,arm4_combab,,100000,student,30000,1.000000,1.347900
arm4_combab,arm4_combab,,100000,teacher,30000,1.000000,1.318800
arm5_combab_alignS,arm5_combab,student,40000,student,15000,0.940000,1.259600
arm5_combab_alignS,arm5_combab,student,40000,teacher,15000,0.940000,1.234700
arm5_combab_alignS,arm5_combab,student,100000,student,30000,1.000000,1.210200
arm5_combab_alignS,arm5_combab,student,100000,teacher,30000,1.000000,1.240700
arm5_combab_alignT,arm5_combab,teacher,40000,student,15000,0.940000,1.333400
arm5_combab_alignT,arm5_combab,teacher,40000,teacher,15000,0.940000,1.319000
arm5_combab_alignT,arm5_combab,teacher,100000,student,30000,1.000000,1.279700
arm5_combab_alignT,arm5_combab,teacher,100000,teacher,30000,1.000000,1.277200
arm5_combab_alignT,arm5_combab,teacher,200000,student,30000,1.000000,1.414100
arm6_v2_combab_alignS,arm6_v2_combab,student,40000,student,15000,0.940000,1.160300
arm6_v2_combab_alignS,arm6_v2_combab,student,40000,teacher,15000,0.940000,1.154400
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,student,30000,1.000000,1.194500
arm6_v2_combab_alignS,arm6_v2_combab,student,100000,teacher,30000,1.000000,1.183700
arm6_v2_combab_alignT,arm6_v2_combab,teacher,40000,student,15000,0.940000,1.189500
arm6_v2_combab_alignT,arm6_v2_combab,teacher,40000,teacher,15000,0.940000,1.179300
arm6_v2_combab_alignT,arm6_v2_combab,teacher,100000,student,30000,1.000000,1.192100
arm6_v2_combab_alignT,arm6_v2_combab,teacher,100000,teacher,30000,1.000000,1.196300
arm6_v2_ncpc_alignS,arm6_v2_ncpc,student,40000,student,15000,0.940000,1.361100
arm6_v2_ncpc_alignS,arm6_v2_ncpc,student,40000,teacher,15000,0.940000,1.365600
arm6_v2_ncpc_alignS,arm6_v2_ncpc,student,100000,student,30000,1.000000,1.495100
arm6_v2_ncpc_alignS,arm6_v2_ncpc,student,100000,teacher,30000,1.000000,1.500700
arm6_v2_ncpc_alignT,arm6_v2_ncpc,teacher,40000,student,15000,0.940000,1.295500
arm6_v2_ncpc_alignT,arm6_v2_ncpc,teacher,40000,teacher,15000,0.940000,1.326600
arm6_v2_ncpc_alignT,arm6_v2_ncpc,teacher,100000,student,30000,1.000000,1.390400
arm6_v2_ncpc_alignT,arm6_v2_ncpc,teacher,100000,teacher,30000,1.000000,1.364600
arm6_v2_nse_alignS,arm6_v2_nse,student,40000,student,15000,0.940000,1.269000
arm6_v2_nse_alignS,arm6_v2_nse,student,40000,teacher,15000,0.940000,1.291700
arm6_v2_nse_alignS,arm6_v2_nse,student,100000,student,30000,1.000000,1.357200
arm6_v2_nse_alignS,arm6_v2_nse,student,100000,teacher,30000,1.000000,1.377000
arm6_v2_nse_alignT,arm6_v2_nse,teacher,40000,student,15000,0.940000,1.423800
arm6_v2_nse_alignT,arm6_v2_nse,teacher,40000,teacher,15000,0.940000,1.417700
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,student,30000,1.000000,1.391300
arm6_v2_nse_alignT,arm6_v2_nse,teacher,100000,teacher,30000,1.000000,1.374600
