step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.988632,0.407201,0.581431,0.356971
60000,teacher_h,adjacent,40000,20000,0.971123,0.403898,0.567225,0.396312
80000,student_h,adjacent,60000,20000,0.909122,0.388166,0.520956,0.452171
80000,student_h,vs_initial,40000,40000,1.003181,0.406547,0.596633,0.335192
80000,teacher_h,adjacent,60000,20000,0.908136,0.397035,0.511101,0.458327
80000,teacher_h,vs_initial,40000,40000,1.002721,0.412487,0.590234,0.360186
100000,student_h,adjacent,80000,20000,0.800776,0.381259,0.419517,0.441986
100000,student_h,vs_initial,40000,60000,1.014744,0.430324,0.584421,0.279535
100000,teacher_h,adjacent,80000,20000,0.816743,0.388697,0.428046,0.458993
100000,teacher_h,vs_initial,40000,60000,1.015111,0.428942,0.586169,0.313282
