step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
120000,student_h,adjacent,100000,20000,0.765311,0.244690,0.520621,0.323206
120000,teacher_h,adjacent,100000,20000,0.000036,0.000020,0.000016,0.999950
140000,student_h,adjacent,120000,20000,0.940932,0.240612,0.700321,0.421013
140000,student_h,vs_initial,100000,40000,1.067667,0.276675,0.790993,0.345246
140000,teacher_h,adjacent,120000,20000,0.000748,0.000574,0.000175,0.998697
140000,teacher_h,vs_initial,100000,40000,0.000936,0.000709,0.000226,0.998391
160000,student_h,adjacent,140000,20000,0.729149,0.199483,0.529666,0.494988
160000,student_h,vs_initial,100000,60000,1.080981,0.273258,0.807723,0.313345
160000,teacher_h,adjacent,140000,20000,0.000066,0.000040,0.000026,0.999897
160000,teacher_h,vs_initial,100000,60000,0.000586,0.000462,0.000124,0.998942
180000,student_h,adjacent,160000,20000,0.836746,0.251350,0.585396,0.386314
180000,student_h,vs_initial,100000,80000,0.963899,0.311035,0.652863,0.296716
180000,teacher_h,adjacent,160000,20000,0.000210,0.000170,0.000041,0.999643
180000,teacher_h,vs_initial,100000,80000,0.001025,0.000845,0.000179,0.998152
200000,student_h,adjacent,180000,20000,0.871227,0.302978,0.568249,0.325378
200000,student_h,vs_initial,100000,100000,0.965089,0.300248,0.664841,0.344305
200000,teacher_h,adjacent,180000,20000,0.000035,0.000022,0.000012,0.999936
200000,teacher_h,vs_initial,100000,100000,0.001120,0.000947,0.000173,0.997947
