step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,1.002012,0.383022,0.618990,0.356573
60000,teacher_h,adjacent,40000,20000,1.011894,0.378585,0.633310,0.355025
80000,student_h,adjacent,60000,20000,0.961597,0.407941,0.553656,0.267723
80000,student_h,vs_initial,40000,40000,1.061022,0.377033,0.683989,0.252226
80000,teacher_h,adjacent,60000,20000,0.940363,0.407097,0.533266,0.254599
80000,teacher_h,vs_initial,40000,40000,1.070636,0.363211,0.707425,0.263719
100000,student_h,adjacent,80000,20000,0.915364,0.372931,0.542433,0.269550
100000,student_h,vs_initial,40000,60000,1.048407,0.387996,0.660411,0.314515
100000,teacher_h,adjacent,80000,20000,0.908114,0.351794,0.556320,0.320480
100000,teacher_h,vs_initial,40000,60000,1.051705,0.396613,0.655093,0.269869
