step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
60000,student_h,adjacent,40000,20000,0.452876,0.089548,0.363328,0.805539
60000,teacher_h,adjacent,40000,20000,0.454282,0.088905,0.365377,0.809530
80000,student_h,adjacent,60000,20000,0.342396,0.107897,0.234499,0.759608
80000,student_h,vs_initial,40000,40000,0.649481,0.129551,0.519930,0.764003
80000,teacher_h,adjacent,60000,20000,0.329401,0.098135,0.231266,0.781237
80000,teacher_h,vs_initial,40000,40000,0.627348,0.122616,0.504732,0.771537
100000,student_h,adjacent,80000,20000,0.265305,0.076511,0.188794,0.831481
100000,student_h,vs_initial,40000,60000,0.745713,0.155087,0.590626,0.681107
100000,teacher_h,adjacent,80000,20000,0.238376,0.055497,0.182880,0.871962
100000,teacher_h,vs_initial,40000,60000,0.726487,0.149688,0.576800,0.693170
